case_id,bo_variant,query_index,trajectory_id,hip_delta,knee_delta,phase_delta,J_pred,J_truth,residual,truth_was_queried,posterior_residual_mean_before_query,posterior_std_before_query,posterior_total_J_mean_before_query,acquisition_EI,query_rule,incumbent_before_query,fitted_kernel_before_query,truth_authorization_token,unqueried_truth_used,subject_id,scenario_name,case_class,development_origin,mismatch_family,mismatch_level,model_mismatch_terms,truth_generator_parameters_json,truth_generator_seed
baseline__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.972959853968,0.972959853969,3.03312930328e-13,True,0,0.01,0.972959853968,,FIXED_MODEL_PREDICTED_C1,1,ZERO_RESIDUAL_PRIOR_BEFORE_FIRST_QUERY,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967633075336,0.967633075336,5.635492073e-13,True,6.38632953127e-14,9.77631429596e-05,0.967633075336,0.00532677863289,EXPECTED_IMPROVEMENT_MAXIMUM,0.972959853969,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",07857804fb0fc975babac4cf68cee347284dfa45b0ce4fda8575a4d3c71e23f6,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.01500,2,-5,0.015,0.967661965483,0.967661965484,5.41677813715e-13,True,2.80487703493e-13,8.50885742309e-05,0.967661965483,2.14384022414e-05,EXPECTED_IMPROVEMENT_MAXIMUM,0.967633075336,"0.0001**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",4fb1ea2d7e082f4e83ecafd59c5a35d90f1fcb3583aa20f8a7d236508d9210a0,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p+0.02750,2,-5,0.0275,0.967635628878,0.967635628879,5.60107515923e-13,True,5.64082414797e-13,2.13079628756e-06,0.967635628879,1.19936131962e-07,EXPECTED_IMPROVEMENT_MAXIMUM,0.967633075336,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",cf8e2016ad8a98ae39ad8becd8f4a702c78d9d4b47366a5e39aad5bf86199728,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02500,2,-5,0.025,0.967639322044,0.967639322045,5.56554802245e-13,True,5.58434422424e-13,1.77023460503e-06,0.967639322045,9.23043628521e-11,EXPECTED_IMPROVEMENT_MAXIMUM,0.967633075336,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",e73031894d9d795ae8df30ef274a37c2736fcddefdd56897b92e4f8f3583322d,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.972959853968,0.972959853969,3.03312930328e-13,True,0,0.01,0.972959853968,,FIXED_MODEL_PREDICTED_C1,1,ZERO_RESIDUAL_PRIOR_BEFORE_FIRST_QUERY,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.01750,-1,-5,0.0175,0.972986015998,0.972986015999,2.83661982792e-13,True,1.89190663476e-13,7.81665034643e-05,0.972986015998,1.98334193928e-05,EXPECTED_IMPROVEMENT_MAXIMUM,0.972959853969,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",6e5d00acdab5eb2bd218aaab3ce9b092ac45e25ba8b838f128e994d44f30a71b,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.02750,-1,-5,0.0275,0.972963196674,0.972963196674,2.99649194346e-13,True,3.01023496834e-13,1.9026074524e-06,0.972963196674,3.0249810322e-08,EXPECTED_IMPROVEMENT_MAXIMUM,0.972959853969,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",6842767892153bf0b3b706d67e636de39b364d1200bf52185d004e149c268fda,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_B_MODEL_SCREENED,4,asym_h-1.000_k-5.000_p-0.01500,-1,-5,-0.015,0.97315420388,0.97315420388,2.209343819e-13,True,1.969249616e-13,4.19350803134e-05,0.97315420388,1.49428237285e-11,EXPECTED_IMPROVEMENT_MAXIMUM,0.972959853969,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",54596108a09f67f7e4770b335712306e2fe4572c9264ae0cbab897c7462dd237,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
baseline__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.02500,-1,-5,0.025,0.972967708384,0.972967708384,2.9576341376e-13,True,2.96282237476e-13,1.552839456e-06,0.972967708384,6.0700162652e-14,EXPECTED_IMPROVEMENT_MAXIMUM,0.972959853969,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",74fd683afee47a41b2bc749ea2d722a187ee5afe3dea9488022b961cde0727e7,False,baseline,matched_linear,MATCHED,ORIGINAL_P2_DEVELOPMENT,matched_linear,MATCHED,,"{""b2_hip_nm_s2_per_rad2"":0.0,""b2_knee_nm_s2_per_rad2"":0.0,""k3_hip_nm_per_rad3"":0.0,""k3_knee_nm_per_rad3"":0.0,""k_coupling_asymmetry"":0.0,""k_coupling_nm_per_rad"":0.0,""residual_torque_frequency"":0.0,""residual_torque_scale_nm"":0.0}",20260802
