method,budget,case_count,mean_regret,median_regret,P95_regret,max_regret,bootstrap95_low,bootstrap95_high
B0_REFERENCE,0,15,0.0350418785898,0.0323669246638,0.0559295673417,0.0609777702223,0.0307476782905,0.0402455239507
B1_MODEL_ONLY,0,15,0.00231374754821,0.00142513963897,0.00662439971358,0.00698009389859,0.00127288913598,0.00352803433444
B3_MODEL_TOP1_VALIDATION,1,15,0.00231374754821,0.00142513963897,0.00662439971358,0.00698009389859,0.00127288913598,0.00352803433444
B4_FROZEN_TOP3_SEQUENTIAL,3,15,0.00231374754821,0.00142513963897,0.00662439971358,0.00698009389859,0.00127288913598,0.00352803433444
B5_ORACLE,,15,0,0,0,0,0,0
B2_RANDOM3_DISTRIBUTION,3,15,0.0147986162849,0.0133685341681,0.0324864750994,0.0609777702223,0.0143292919826,0.0152773681416
BO_A_FULL_FEASIBLE_K1,1,15,0.00231374754821,0.00142513963897,0.00662439971357,0.00698009389859,0.00127288913598,0.00352803433444
BO_A_FULL_FEASIBLE_K2,2,15,2.86903817289e-05,0,0.000126495490177,0.000229997540956,5.24187445293e-06,6.29143470114e-05
BO_A_FULL_FEASIBLE_K3,3,15,1.98473234334e-05,0,0.000102493436611,0.000229997540956,6.37436023891e-07,5.27492902447e-05
BO_A_FULL_FEASIBLE_K5,5,15,4.62897672996e-06,0,2.36725474486e-05,4.78488204629e-05,2.48571043097e-07,1.17010943938e-05
BO_B_MODEL_SCREENED_K1,1,15,0.00231374754821,0.00142513963897,0.00662439971357,0.00698009389859,0.00127288913598,0.00352803433444
BO_B_MODEL_SCREENED_K2,2,15,0.0022939509704,0.00142513963897,0.00662439971357,0.00698009389859,0.00124522246251,0.00351370921565
BO_B_MODEL_SCREENED_K3,3,15,0.0022939509704,0.00142513963897,0.00662439971357,0.00698009389859,0.00124522246251,0.00351370921565
BO_B_MODEL_SCREENED_K5,5,15,0.0022786930493,0.00142513963897,0.00662439971357,0.00698009389859,0.00122042934245,0.00350654766716
