case_id,scenario_name,mismatch_family,comparison,bo_regret,comparator_regret,adaptivity_gain,outcome
baseline__matched_linear,matched_linear,matched_linear,BO_K3_VS_MODEL_TOP1,0,0.00532677863239,0.00532677863239,BO_WIN
baseline__matched_linear,matched_linear,matched_linear,BO_K3_VS_FROZEN_TOP3,0,0.00532677863239,0.00532677863239,BO_WIN
baseline__matched_linear,matched_linear,matched_linear,BO_K3_VS_RANDOM3_MEAN,0,0.0151354860406,0.0151354860406,BO_WIN
hip_stiff__matched_linear,matched_linear,matched_linear,BO_K3_VS_MODEL_TOP1,0,0.000119909597779,0.000119909597779,BO_WIN
hip_stiff__matched_linear,matched_linear,matched_linear,BO_K3_VS_FROZEN_TOP3,0,0.000119909597779,0.000119909597779,BO_WIN
hip_stiff__matched_linear,matched_linear,matched_linear,BO_K3_VS_RANDOM3_MEAN,0,0.0104819409658,0.0104819409658,BO_WIN
knee_stiff__matched_linear,matched_linear,matched_linear,BO_K3_VS_MODEL_TOP1,0,0.0044735804462,0.0044735804462,BO_WIN
knee_stiff__matched_linear,matched_linear,matched_linear,BO_K3_VS_FROZEN_TOP3,0,0.0044735804462,0.0044735804462,BO_WIN
knee_stiff__matched_linear,matched_linear,matched_linear,BO_K3_VS_RANDOM3_MEAN,0,0.0118244166179,0.0118244166179,BO_WIN
heavy_leg__matched_linear,matched_linear,matched_linear,BO_K3_VS_MODEL_TOP1,0,0.00698009389859,0.00698009389859,BO_WIN
heavy_leg__matched_linear,matched_linear,matched_linear,BO_K3_VS_FROZEN_TOP3,0,0.00698009389859,0.00698009389859,BO_WIN
heavy_leg__matched_linear,matched_linear,matched_linear,BO_K3_VS_RANDOM3_MEAN,0,0.0168393196366,0.0168393196366,BO_WIN
baseline__nonlinear_stiffness_mild,nonlinear_stiffness_mild,nonlinear_stiffness,BO_K3_VS_MODEL_TOP1,1.33112875853e-05,0.00096190254152,0.000948591253935,BO_WIN
baseline__nonlinear_stiffness_mild,nonlinear_stiffness_mild,nonlinear_stiffness,BO_K3_VS_FROZEN_TOP3,1.33112875853e-05,0.00096190254152,0.000948591253935,BO_WIN
