case_id,bo_variant,access_order,trajectory_id,access_role,query_frozen_before_truth,truth_authorization_token
baseline__matched_linear,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h-1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc
baseline__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,07857804fb0fc975babac4cf68cee347284dfa45b0ce4fda8575a4d3c71e23f6
baseline__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.01500,SEQUENTIAL_BO_QUERY,True,4fb1ea2d7e082f4e83ecafd59c5a35d90f1fcb3583aa20f8a7d236508d9210a0
baseline__matched_linear,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,cf8e2016ad8a98ae39ad8becd8f4a702c78d9d4b47366a5e39aad5bf86199728
baseline__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02500,SEQUENTIAL_BO_QUERY,True,e73031894d9d795ae8df30ef274a37c2736fcddefdd56897b92e4f8f3583322d
baseline__matched_linear,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc
baseline__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.01750,SEQUENTIAL_BO_QUERY,True,6e5d00acdab5eb2bd218aaab3ce9b092ac45e25ba8b838f128e994d44f30a71b
baseline__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,6842767892153bf0b3b706d67e636de39b364d1200bf52185d004e149c268fda
baseline__matched_linear,BO_B_MODEL_SCREENED,4,asym_h-1.000_k-5.000_p-0.01500,SEQUENTIAL_BO_QUERY,True,54596108a09f67f7e4770b335712306e2fe4572c9264ae0cbab897c7462dd237
baseline__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.02500,SEQUENTIAL_BO_QUERY,True,74fd683afee47a41b2bc749ea2d722a187ee5afe3dea9488022b961cde0727e7
baseline__matched_linear,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
