case_id,subject_id,scenario_name,from_trial,to_trial,minimum_singular_value_improvement,condition_number_improvement,correlation_improvement,maximum_uncertainty_reduction,minimum_parameter_sensitivity_improvement,maximum_normalized_parameter_change,validation_rmse_improvement_nm,validation_e_j_improvement,selected_candidate_incremental_log_information_gain,plateau_threshold_applied,formal_stop_decision_from_this_row,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline__matched_linear,baseline,matched_linear,1,2,6.139428682362695,0.023666394255904777,-5.200630142032647e-06,0.01975535669436363,6.170588983974017,0.0,0.0,0.0,3.468835294100103,False,False,MATCHED_POSITIVE_CONTROL,True,False
baseline__matched_linear,baseline,matched_linear,2,3,3.7694991660570274,-1.3093359160031497,-0.00018982434113556934,0.00726996701930023,3.788041454794321,0.0,0.0,0.0,1.8727661791944357,False,False,MATCHED_POSITIVE_CONTROL,True,False
baseline__matched_linear,baseline,matched_linear,3,4,3.1597039683734884,-0.9490690412792304,0.0002120242822211127,0.004580043376832002,3.1749798554366286,0.0,0.0,0.0,1.350396958436896,False,False,MATCHED_POSITIVE_CONTROL,True,False
baseline__matched_linear,baseline,matched_linear,4,5,2.395006737755704,-1.1086081558670884,3.527199164687911e-06,0.0028349179467296592,2.406565080187093,0.0,0.0,0.0,1.0005528929838263,False,False,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,1,2,6.139428682122922,0.02366639002537596,-5.200631743862427e-06,0.019755356681209098,6.170588983796083,0.0,0.0,0.0,3.4688352938553493,False,False,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,2,3,3.7694991653054757,-1.3093359181903494,-0.0001898243393870236,0.007269967014673799,3.7880414539232916,0.0,0.0,0.0,1.8727661790745032,False,False,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,3,4,3.1597039684368937,-0.9490690417884906,0.00021202428251348993,0.004580043375323535,3.174979855596124,0.0,0.0,0.0,1.3503969583866748,False,False,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,4,5,2.395006737941987,-1.1086081558959577,3.527198598807235e-06,0.002834917946031766,2.4065650804012364,0.0,0.0,0.0,1.0005528929954153,False,False,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,1,2,6.13942868193133,0.02366639130966064,-5.200621829737351e-06,0.019755356685932174,6.170588983561071,0.0,0.0,0.0,3.4688352939989997,False,False,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,2,3,3.7694991649082894,-1.3093359183018691,-0.00018982433595948756,0.007269967015600412,3.7880414535809592,0.0,0.0,0.0,1.8727661790938654,False,False,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,3,4,3.159703967998059,-0.9490690419908105,0.0002120242820329854,0.004580043375757556,3.17497985512977,0.0,0.0,0.0,1.3503969583923237,False,False,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,4,5,2.3950067376448096,-1.1086081560630774,3.5271987329221766e-06,0.002834917946351108,2.4065650799838707,0.0,0.0,0.0,1.000552892954154,False,False,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,1,2,6.1394286808281215,0.023666390045896435,-5.200630899038217e-06,0.019755356685571386,6.170588982453763,0.0,0.0,0.0,3.4688352937835276,False,False,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,2,3,3.769499164620271,-1.3093359183052158,-0.00018982433857905878,0.0072699670164418015,3.78804145324818,0.0,0.0,0.0,1.8727661791159207,False,False,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,3,4,3.159703967798208,-0.9490690419772037,0.00021202428254435413,0.004580043376316886,3.1749798549500667,0.0,0.0,0.0,1.350396958392274,False,False,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,4,5,2.3950067385661384,-1.1086081547020257,3.5271979153539412e-06,0.0028349179478506237,2.406565080981803,0.0,0.0,0.0,1.0005528930104859,False,False,MATCHED_POSITIVE_CONTROL,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,1,2,6.139428683489307,0.02366639332085896,-5.20059260372685e-06,0.019755356688489843,6.170588984949594,0.0007452600781088966,-0.00026208337788169445,-3.9369580442372154e-05,3.4688352940231795,False,False,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,2,3,3.769499160652085,-1.309335925195036,-0.00018982436590930796,0.00726996700736679,3.788041449392935,0.0028270630745811745,0.003308363934044878,0.0003055610755136051,1.8727661790823618,False,False,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,4,3.1597039695571674,-0.9490690392509222,0.00021202428321415168,0.004580043378552931,3.1749798568921186,0.002106884338875107,-0.00545993276166401,-0.0006191344204171667,1.3503969584150468,False,False,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,4,5,2.3950067391581165,-1.1086081540969346,3.5272013049203466e-06,0.002834917948138088,2.4065650812317045,0.0025288336774506406,0.001002494360404893,-1.6590003686811627e-05,1.0005528930103935,False,False,MILD_MODEL_MISMATCH,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1,2,6.13942868057141,0.023666388893808232,-5.2006324799402925e-06,0.01975535668001608,6.170588982167068,0.0074691726528737235,-9.73641813138415e-05,3.5103142193015913e-06,3.4688352936524325,False,False,MILD_MODEL_MISMATCH,True,False
