case_id,subject_id,scenario_name,trial_id,temporary_parameter_name,validation_trajectory_count,validation_sample_count,validation_hip_rmse_nm,validation_knee_rmse_nm,validation_combined_rmse_nm,validation_combined_nrmse_percent,validation_nrmse_unreliable_small_range,validation_j_actual,validation_j_predicted,validation_e_j,validation_relative_e_j_percent,mechanical_objective_interpretation,gate,training_residual_used_by_gate,heldout_final_test_used,truth_parameters_used_by_decision,threshold_status,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline__matched_linear,baseline,matched_linear,1,theta_hat_ID_1,2,3002,4.365440634226609e-09,1.2061360733182371e-10,3.0880106519594794e-09,7.50995439879882e-09,False,1.0,1.0000000000086393,8.639311488423118e-12,8.639311488423118e-10,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline__matched_linear,baseline,matched_linear,2,theta_hat_ID_2,2,3002,4.365440634226609e-09,1.2061360733182371e-10,3.0880106519594794e-09,7.50995439879882e-09,False,1.0,1.0000000000086393,8.639311488423118e-12,8.639311488423118e-10,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline__matched_linear,baseline,matched_linear,3,theta_hat_ID_3,2,3002,4.365440634226609e-09,1.2061360733182371e-10,3.0880106519594794e-09,7.50995439879882e-09,False,1.0,1.0000000000086393,8.639311488423118e-12,8.639311488423118e-10,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline__matched_linear,baseline,matched_linear,4,theta_hat_ID_4,2,3002,4.365440634226609e-09,1.2061360733182371e-10,3.0880106519594794e-09,7.50995439879882e-09,False,1.0,1.0000000000086393,8.639311488423118e-12,8.639311488423118e-10,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
baseline__matched_linear,baseline,matched_linear,5,theta_hat_ID_5,2,3002,4.365440634226609e-09,1.2061360733182371e-10,3.0880106519594794e-09,7.50995439879882e-09,False,1.0,1.0000000000086393,8.639311488423118e-12,8.639311488423118e-10,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,1,theta_hat_ID_1,2,3002,1.6204735524293627e-14,1.588454495685626e-12,1.123265391240487e-12,2.14920182768945e-12,False,1.0,0.9999999999999906,9.43689570931383e-15,9.43689570931383e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,2,theta_hat_ID_2,2,3002,1.6204735524293627e-14,1.588454495685626e-12,1.123265391240487e-12,2.14920182768945e-12,False,1.0,0.9999999999999906,9.43689570931383e-15,9.43689570931383e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,3,theta_hat_ID_3,2,3002,1.6204735524293627e-14,1.588454495685626e-12,1.123265391240487e-12,2.14920182768945e-12,False,1.0,0.9999999999999906,9.43689570931383e-15,9.43689570931383e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,4,theta_hat_ID_4,2,3002,1.6204735524293627e-14,1.588454495685626e-12,1.123265391240487e-12,2.14920182768945e-12,False,1.0,0.9999999999999906,9.43689570931383e-15,9.43689570931383e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,5,theta_hat_ID_5,2,3002,1.6204735524293627e-14,1.588454495685626e-12,1.123265391240487e-12,2.14920182768945e-12,False,1.0,0.9999999999999906,9.43689570931383e-15,9.43689570931383e-13,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
