subject_id,scenario_name,case_id,trial_id,temporary_parameter_name,parameter,estimate,previous_estimate,previous_state,delta_theta,absolute_delta_theta,parameter_scale,normalized_parameter_change,parameter_interpretation,is_tissue_material_change,maximum_normalized_parameter_change_in_trial,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline,matched_linear,baseline__matched_linear,1,theta_hat_ID_1,mass_scale,1.0000000000345897,1.0,initial_guess,3.458966446601153e-11,3.458966446601153e-11,1.0,3.458966446601153e-11,local_equivalent_dynamics_parameter,False,0.33333334122995284,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,1,theta_hat_ID_1,k_hip_nm_per_rad,14.99999999980913,10.0,initial_guess,4.9999999998091305,4.9999999998091305,20.0,0.24999999999045652,local_equivalent_dynamics_parameter,False,0.33333334122995284,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,1,theta_hat_ID_1,k_knee_nm_per_rad,12.000000000127748,10.0,initial_guess,2.0000000001277485,2.0000000001277485,20.0,0.10000000000638742,local_equivalent_dynamics_parameter,False,0.33333334122995284,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,1,theta_hat_ID_1,b_hip_nm_s_per_rad,2.0000000236898585,1.0,initial_guess,1.0000000236898585,1.0000000236898585,3.0,0.33333334122995284,local_equivalent_dynamics_parameter,False,0.33333334122995284,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,1,theta_hat_ID_1,b_knee_nm_s_per_rad,1.4999999999917641,1.0,initial_guess,0.49999999999176414,0.49999999999176414,3.0,0.16666666666392138,local_equivalent_dynamics_parameter,False,0.33333334122995284,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,2,theta_hat_ID_2,mass_scale,1.0000000000345897,1.0000000000345897,theta_hat_ID_1,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,2,theta_hat_ID_2,k_hip_nm_per_rad,14.99999999980913,14.99999999980913,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,2,theta_hat_ID_2,k_knee_nm_per_rad,12.000000000127748,12.000000000127748,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,2,theta_hat_ID_2,b_hip_nm_s_per_rad,2.0000000236898585,2.0000000236898585,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,2,theta_hat_ID_2,b_knee_nm_s_per_rad,1.4999999999917641,1.4999999999917641,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,3,theta_hat_ID_3,mass_scale,1.0000000000345897,1.0000000000345897,theta_hat_ID_2,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,3,theta_hat_ID_3,k_hip_nm_per_rad,14.99999999980913,14.99999999980913,theta_hat_ID_2,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,3,theta_hat_ID_3,k_knee_nm_per_rad,12.000000000127748,12.000000000127748,theta_hat_ID_2,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,3,theta_hat_ID_3,b_hip_nm_s_per_rad,2.0000000236898585,2.0000000236898585,theta_hat_ID_2,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,3,theta_hat_ID_3,b_knee_nm_s_per_rad,1.4999999999917641,1.4999999999917641,theta_hat_ID_2,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,4,theta_hat_ID_4,mass_scale,1.0000000000345897,1.0000000000345897,theta_hat_ID_3,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,4,theta_hat_ID_4,k_hip_nm_per_rad,14.99999999980913,14.99999999980913,theta_hat_ID_3,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,4,theta_hat_ID_4,k_knee_nm_per_rad,12.000000000127748,12.000000000127748,theta_hat_ID_3,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,4,theta_hat_ID_4,b_hip_nm_s_per_rad,2.0000000236898585,2.0000000236898585,theta_hat_ID_3,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,4,theta_hat_ID_4,b_knee_nm_s_per_rad,1.4999999999917641,1.4999999999917641,theta_hat_ID_3,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
baseline,matched_linear,baseline__matched_linear,5,theta_hat_ID_5,mass_scale,1.0000000000345897,1.0000000000345897,theta_hat_ID_4,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
