case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,calibrated_uncertainty,research_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_executed_false_improvements,first_exploit_iteration,decision_latency_trials,latent_intermediate_nodes_skipped,intermediate_trajectory_executions,endpoint_executions,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_operating_alpha_hip,final_operating_alpha_knee,final_operating_alpha_phase,adaptive_horizon_usage,stop_reason,trial_budget,heldout_final_test_used,calibration_cases_used_for_policy_outcomes,prospective_cohort_run,new_policy_default_enabled,human_ready,robot_motion_approved,model_reliability_status,evaluated_decision_rounds,missed_improvement_rounds,premature_conservative_stops,correct_local_stops,final_selected_J_truth,truth_optimum_trajectory_id,truth_optimum_J,truth_optimum_alpha_hip,truth_optimum_alpha_knee,truth_optimum_alpha_phase,global_truth_regret,final_local_regret,post_policy_truth_fed_back,prototype_variant_id
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,12,4,8,0,2,1,16,0,4,1,0.971228759614,0.028771240386,0.184661545196,12,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,13,0,0,1,0.971233542624,asym_h+2.000_k-5.000_p+0.03000,0.967633075336,2,-5,0.03,0.00360046728743,0.000454501593502,False,H3_ADAPTIVE_HORIZON
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,12,4,8,0,2,1,16,0,4,1,0.971075819116,0.0289241808835,0.20038419542,12,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,13,0,0,1,0.971078595998,asym_h+1.250_k-5.000_p+0.03000,0.970905205669,1.25,-5,0.03,0.000173390328566,1.77300046094e-05,False,H3_ADAPTIVE_HORIZON
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,12,4,8,0,2,1,16,0,4,1,0.977952631223,0.0220473687773,0.14141953597,12,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,13,0,0,1,0.977957767831,asym_h+2.000_k-5.000_p+0.03000,0.974773873094,2,-5,0.03,0.00318389473674,0.000379615016165,False,H3_ADAPTIVE_HORIZON
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,12,4,8,0,2,1,14,0,4,1,0.970878927922,0.0291210720783,0.181589263266,12,0,-4.5,0,0,-4.5,0,"{'1': 0, '2': 0, '3': 1, '5': 3}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,13,0,0,1,0.970884344171,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.00768122700309,0.00155187459573,False,H3_ADAPTIVE_HORIZON
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.965580186606,0.0344198133936,0,4,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.965584790819,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.00190701518787,0.000253472103988,False,H3_ADAPTIVE_HORIZON
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.970184548874,0.0298154511256,0,4,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.970189195338,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.00377163704275,0.000478890998795,False,H3_ADAPTIVE_HORIZON
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.971232932129,0.0287670678709,0,4,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.971237715612,asym_h+2.000_k-5.000_p+0.03000,0.967637357491,2,-5,0.03,0.00360035812028,0.000454580579219,False,H3_ADAPTIVE_HORIZON
baseline__structured_residual,baseline,structured_residual,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.971515062695,0.028484937305,0,4,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.971519863561,asym_h+2.000_k-5.000_p+0.03000,0.967882188675,2,-5,0.03,0.00363767488693,0.000454778875281,False,H3_ADAPTIVE_HORIZON
baseline__combined_mild,baseline,combined_mild,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.966892394609,0.0331076053914,0,4,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.966896990161,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0027897543916,0.000362026154498,False,H3_ADAPTIVE_HORIZON
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,-1,,RESEARCH_ONLY,12,4,8,0,2,1,16,0,4,1,0.969202794811,0.030797205189,0.195131106049,12,0,-5,0,0,-5,0,"{'1': 0, '2': 0, '3': 0, '5': 4}",STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,13,0,0,1,0.969208014726,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.00427479418365,0.000551587562491,False,H3_ADAPTIVE_HORIZON
