case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,iteration,trial_purpose,selection_mode,trajectory_id,alpha_hip,alpha_knee,alpha_phase,operating_alpha_hip_before,operating_alpha_knee_before,operating_alpha_phase_before,operating_alpha_hip_after,operating_alpha_knee_after,operating_alpha_phase_after,J_pred,actual_J,operating_actual_J_before,best_actual_J_before,best_actual_J_after,delta_J_pred_endpoint,delta_J_actual_vs_operating,accepted_meaningful_improvement,executed_false_improvement,evaluated_horizon_sequence,adaptive_escalation_stop_reason,latent_intermediate_count,intermediate_execution_count,endpoint_execution_count,model_refit_after_execution,full_map_recomputed_after_execution,authorization_invalidated_after_execution,truth_accessed_before_selection,manifest_sha_verified_before_truth,execution_status,cumulative_regret_vs_best_before,stop_reason_after_iteration
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.99951047583,0.999510094092,1,1,1,-0.000489524170139,-0.000489905908342,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,2,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-1.250_p+0.00000,0,-1.25,0,0,0,0,0,-1.25,0,0.992627221956,0.99262256034,1,1,0.99262256034,-0.00737277804413,-0.00737743965957,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,3,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-2.500_p+0.00000,0,-2.5,0,0,-1.25,0,0,-2.5,0,0.985375814963,0.98537111356,0.99262256034,0.99262256034,0.98537111356,-0.00725140699248,-0.0072514467805,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,4,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-3.750_p+0.00000,0,-3.75,0,0,-2.5,0,0,-3.75,0,0.978244808332,0.978240066462,0.98537111356,0.98537111356,0.978240066462,-0.00713100663182,-0.00713104709818,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,5,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-3.75,0,0,-5,0,0.971233542623,0.971228759614,0.978240066462,0.978240066462,0.971228759614,-0.00701126570825,-0.00701130684771,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,6,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999028756608,0.999028374935,0.971228759614,0.971228759614,0.971228759614,0.0277952139849,0.027799615321,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.027799615321,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,7,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.998550239698,0.998549858084,0.971228759614,0.971228759614,0.971228759614,0.0273166970742,0.0273210984702,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0551207137913,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,8,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.998074939614,0.998074558055,0.971228759614,0.971228759614,0.971228759614,0.0268413969907,0.0268457984414,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0819665122326,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,9,EXPLORE,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.997602870784,0.997602489275,0.971228759614,0.971228759614,0.971228759614,0.0263693281611,0.0263737296612,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.108340241894,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,10,EXPLORE,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.997134047546,0.997133666081,0.971228759614,0.971228759614,0.971228759614,0.0259005049223,0.0259049064666,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.13424514836,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,11,EXPLORE,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.996668484144,0.996668102718,0.971228759614,0.971228759614,0.971228759614,0.025434941521,0.0254393431044,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.159684491465,
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,12,EXPLORE,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.996206194737,0.996205813345,0.971228759614,0.971228759614,0.971228759614,0.0249726521134,0.0249770537307,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.184661545196,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999931323653,0.999930463492,1,1,1,-6.86763465457e-05,-6.95365076068e-05,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0,
