case_id,subject_id,scenario_name,framework_id,horizon_steps,final_alpha_hip,final_alpha_knee,final_alpha_phase,truth_optimum_alpha_hip_posthoc,truth_optimum_alpha_knee_posthoc,truth_optimum_alpha_phase_posthoc,hip_grid_steps_from_truth_optimum,knee_grid_steps_from_truth_optimum,phase_grid_steps_from_truth_optimum,generator_grid_L1_steps_from_truth_optimum,final_alpha_is_neutral,final_J,global_regret,truth_used_for_selection,truth_attached_posthoc_only,distance_is_physical,distance_definition,unique_final_alpha_count_within_framework,source_framework_id,prototype_variant_id
baseline__matched_linear,baseline,matched_linear,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.03,-8,20,-12,40,True,1,0.0323669246638,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
baseline__matched_linear,baseline,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.971228759614,0.00360046728743,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
hip_stiff__matched_linear,hip_stiff,matched_linear,H1_SINGLE_STEP_ONLY,1,0,0,0,1.25,-5,0.03,-5,20,-12,37,True,1,0.029094794331,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
hip_stiff__matched_linear,hip_stiff,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,1.25,-5,0.03,-5,0,-12,17,False,0.971075819116,0.000173390328566,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
knee_stiff__matched_linear,knee_stiff,matched_linear,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.03,-8,20,-12,40,True,1,0.0252261269059,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
knee_stiff__matched_linear,knee_stiff,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.977952631223,0.00318389473674,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
heavy_leg__matched_linear,heavy_leg,matched_linear,H1_SINGLE_STEP_ONLY,1,2,0,0,2,-5,0.0025,0,20,-1,21,False,0.994959045386,0.0317565195707,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
heavy_leg__matched_linear,heavy_leg,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.0025,-8,0,-1,9,False,0.967782002335,0.00458432136862,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.0075,-8,20,-3,31,True,1,0.0363222243693,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.0075,-8,0,-3,11,False,0.965580186606,0.00190701518787,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.0275,-8,20,-11,39,True,1,0.0335824417044,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.0275,-8,0,-11,19,False,0.970184548874,0.00377163704275,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.03,-8,20,-12,40,True,1,0.0323626425087,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.971232932129,0.00360035812028,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
baseline__structured_residual,baseline,structured_residual,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.03,-8,20,-12,40,True,1,0.0321178113255,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
baseline__structured_residual,baseline,structured_residual,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.971515062695,0.00363767488693,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
baseline__combined_mild,baseline,combined_mild,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.0125,-8,20,-5,33,True,1,0.0358927642302,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
baseline__combined_mild,baseline,combined_mild,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.0125,-8,0,-5,13,False,0.966892394609,0.0027897543916,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.0125,-8,20,-5,33,True,1,0.0350667794579,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.0125,-8,0,-5,13,False,0.969202794811,0.00427479418365,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
