case_id,subject_id,scenario_name,iteration,decision_state,trajectory_id,axis_direction,coordinate,direction,hip_delta,knee_delta,phase_delta,predicted_cumulative_delta_J,calibrated_uncertainty,meaningful_improvement_component,decision_evidence_margin,truth_cumulative_delta_J_posthoc,magnitude_gate_pass,direction_gate_pass,all_nondecision_gates_available,authorized,authorized_prediction_rank,selected,truth_direction_supports_improvement,truth_meaningful_improvement,domain_coverage,model_supported,decision_guard_status,truth_used_for_authorization,truth_attached_posthoc_only
baseline__matched_linear,baseline,matched_linear,1,EXPLORE,asym_h-1.250_k+0.000_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,0.0,0.0,0.00246721562233,0.00400496043747,-0.00746721562233,-0.0064721760598,0.00246721562221,False,False,False,False,,False,False,False,81.04738154613467,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,1,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,0.0,0.0,-0.0023971292156,0.00400496043747,-0.0026028707844,-0.00160783122187,-0.00239712921548,False,False,False,False,,False,True,False,76.80798004987531,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,1,EXPLORE,asym_h+0.000_k-1.250_p+0.00000,KNEE_NEGATIVE,knee,NEGATIVE,0.0,-1.25,0.0,-0.00737277804413,0.00400496043747,0.00237277804413,0.00336781760666,-0.00737277804404,True,True,False,False,,False,True,True,81.54613466334165,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,1,EXPLORE,asym_h+0.000_k+1.250_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,1.25,0.0,0.00749354706133,0.00400496043747,-0.0124935470613,-0.0114985074988,0.00749354706123,False,False,False,False,,False,False,False,77.0573566084788,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,1,EXPLORE,asym_h+0.000_k+0.000_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,0.0,-0.0125,0.000126565989707,0.00400496043747,-0.00512656598971,-0.00413152642718,0.000126565989677,False,False,False,False,,False,False,False,78.55361596009975,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,1,EXPLORE,asym_h+0.000_k+0.000_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,0.0,0.0125,-0.00010715262485,0.00400496043747,-0.00489284737515,-0.00389780781262,-0.000107152624822,False,False,False,False,,False,True,False,78.55361596009975,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,2,EXPLOIT,asym_h-1.250_k+0.000_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,0.0,0.0,0.00246721562233,0.00400496043747,-0.00746721562233,-0.0064721760598,0.00246721562221,False,False,True,False,,False,False,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,2,EXPLOIT,asym_h+1.250_k+0.000_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,0.0,0.0,-0.0023971292156,0.00400496043747,-0.0026028707844,-0.00160783122187,-0.00239712921548,False,False,False,False,,False,True,False,81.79551122194513,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,2,EXPLOIT,asym_h+0.000_k-1.250_p+0.00000,KNEE_NEGATIVE,knee,NEGATIVE,0.0,-1.25,0.0,-0.00737277804413,0.00400496043747,0.00237277804413,0.00336781760666,-0.00737277804404,True,True,True,True,1,True,True,True,99.75062344139651,True,RESEARCH_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,2,EXPLOIT,asym_h+0.000_k+1.250_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,1.25,0.0,0.00749354706133,0.00400496043747,-0.0124935470613,-0.0114985074988,0.00749354706123,False,False,False,False,,False,False,False,80.0498753117207,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,2,EXPLOIT,asym_h+0.000_k+0.000_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,0.0,-0.0125,0.000126565989707,0.00400496043747,-0.00512656598971,-0.00413152642718,0.000126565989677,False,False,True,False,,False,False,False,100.0,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,2,EXPLOIT,asym_h+0.000_k+0.000_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,0.0,0.0125,-0.00010715262485,0.00400496043747,-0.00489284737515,-0.00389780781262,-0.000107152624822,False,False,True,False,,False,True,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,3,EXPLOIT,asym_h-1.250_k-1.250_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,-1.25,0.0,0.00242151905639,0.00400496043747,-0.00742151905639,-0.00642647949386,0.00242151905627,False,False,True,False,,False,False,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,3,EXPLOIT,asym_h+1.250_k-1.250_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,-1.25,0.0,-0.00235152393963,0.00400496043747,-0.00264847606037,-0.00165343649784,-0.00235152393952,False,False,False,False,,False,True,False,81.79551122194513,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,3,EXPLOIT,asym_h+0.000_k-2.500_p+0.00000,KNEE_NEGATIVE,knee,NEGATIVE,0.0,-2.5,0.0,-0.00725140699248,0.00400496043747,0.00225140699248,0.00324644655501,-0.0072514069924,True,True,True,True,1,True,True,True,99.75062344139651,True,RESEARCH_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,3,EXPLOIT,asym_h+0.000_k+0.000_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,0.0,0.0,0.00737277804413,0.00400496043747,-0.0123727780441,-0.0113777384816,0.00737277804404,False,False,True,False,,False,False,False,100.0,True,EXECUTED_ENDPOINT_NOT_REELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,3,EXPLOIT,asym_h+0.000_k-1.250_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,-1.25,-0.0125,0.000113983525634,0.00400496043747,-0.00511398352563,-0.0041189439631,0.000113983525605,False,False,True,False,,False,False,False,100.0,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,3,EXPLOIT,asym_h+0.000_k-1.250_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,-1.25,0.0125,-9.37128129824e-05,0.00400496043747,-0.00490628718702,-0.00391124762449,-9.37128129563e-05,False,False,True,False,,False,True,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,4,EXPLOIT,asym_h-1.250_k-2.500_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,-2.5,0.0,0.00237689960938,0.00400496043747,-0.00737689960938,-0.00638186004685,0.00237689960926,False,False,True,False,,False,False,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,4,EXPLOIT,asym_h+1.250_k-2.500_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,-2.5,0.0,-0.00230700302119,0.00400496043747,-0.00269299697881,-0.00169795741628,-0.00230700302107,False,False,False,False,,False,True,False,81.79551122194513,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,4,EXPLOIT,asym_h+0.000_k-3.750_p+0.00000,KNEE_NEGATIVE,knee,NEGATIVE,0.0,-3.75,0.0,-0.00713100663182,0.00400496043747,0.00213100663182,0.00312604619435,-0.00713100663173,True,True,True,True,1,True,True,True,99.75062344139651,True,RESEARCH_EXPLOIT_ELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,4,EXPLOIT,asym_h+0.000_k-1.250_p+0.00000,KNEE_POSITIVE,knee,POSITIVE,0.0,-1.25,0.0,0.00725140699248,0.00400496043747,-0.0122514069925,-0.01125636743,0.0072514069924,False,False,True,False,,False,False,False,100.0,True,EXECUTED_ENDPOINT_NOT_REELIGIBLE,False,True
baseline__matched_linear,baseline,matched_linear,4,EXPLOIT,asym_h+0.000_k-2.500_p-0.01250,PHASE_NEGATIVE,phase,NEGATIVE,0.0,-2.5,-0.0125,0.000101034084558,0.00400496043747,-0.00510103408456,-0.00410599452203,0.000101034084531,False,False,True,False,,False,False,False,100.0,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,4,EXPLOIT,asym_h+0.000_k-2.500_p+0.01250,PHASE_POSITIVE,phase,POSITIVE,0.0,-2.5,0.0125,-8.06706894242e-05,0.00400496043747,-0.00491932931058,-0.00392428974805,-8.06706893991e-05,False,False,True,False,,False,True,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h-1.250_k-3.750_p+0.00000,HIP_NEGATIVE,hip,NEGATIVE,-1.25,-3.75,0.0,0.00233339363753,0.00400496043747,-0.00733339363753,-0.006338354075,0.00233339363742,False,False,True,False,,False,False,False,99.75062344139651,True,ENDPOINT_MAGNITUDE_GATE_FAILED,False,True
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h+1.250_k-3.750_p+0.00000,HIP_POSITIVE,hip,POSITIVE,1.25,-3.75,0.0,-0.00226361175295,0.00400496043747,-0.00273638824705,-0.00174134868452,-0.00226361175284,False,False,False,False,,False,True,False,81.79551122194513,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,True
