case_id,trajectory_role,alpha_hip,alpha_knee,alpha_phase,trajectory_id,hip_rms_ratio,knee_rms_ratio,mechanical_cost_j_rms,hip_rms_torque_nm,knee_rms_torque_nm,hip_peak_abs_torque_nm,knee_peak_abs_torque_nm,hip_rms_torque_rate_nm_s,knee_rms_torque_rate_nm_s,reference_hip_rms_torque_nm,reference_knee_rms_torque_nm,reference_hip_peak_abs_torque_nm,reference_knee_peak_abs_torque_nm,reference_hip_rms_torque_rate_nm_s,reference_knee_rms_torque_rate_nm_s,hip_squared_ratio_reduction_vs_reference,knee_squared_ratio_reduction_vs_reference,knee_component_reduction_exceeds_hip,truth_role,used_for_policy_selection,hip_peak_ratio,knee_peak_ratio,combined_peak_ratio,hip_torque_rate_ratio,knee_torque_rate_ratio,combined_torque_rate_ratio,reference_deviation,reference_deviation_definition
baseline__matched_linear,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,30.0318613626,12.3590762994,36.7217569687,17.9359611003,1.91187424397,2.63423471675,30.0318613626,12.3590762994,36.7217569687,17.9359611003,1.91187424397,2.63423471675,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
baseline__matched_linear,TRUTH_GLOBAL_OPTIMUM,2,-5,0.03,asym_h+2.000_k-5.000_p+0.03000,0.996429345857,0.937953141518,0.967633075336,29.9246279724,11.5922344413,36.7211807423,16.7566256232,1.97603095199,2.53466698089,30.0318613626,12.3590762994,36.7217569687,17.9359611003,1.91187424397,2.63423471675,0.00712855871404,0.120243904317,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.999984308311,0.93424743338,0.967674243649,1.03355697072,0.962202405418,0.998517270935,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
baseline__matched_linear,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00154360304,0.939936709682,0.971228759614,30.0782186352,11.6167495116,36.7218579479,16.786047583,1.9068250569,2.50900433597,30.0318613626,12.3590762994,36.7217569687,17.9359611003,1.91187424397,2.63423471675,-0.0030895887956,0.116518981793,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00000274985,0.935887822741,0.968475997755,0.997359038082,0.952460431872,0.975168171426,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
hip_stiff__matched_linear,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
hip_stiff__matched_linear,TRUTH_GLOBAL_OPTIMUM,1.25,-5,0.03,asym_h+1.250_k-5.000_p+0.03000,1.00224811987,0.938516138913,0.970905205669,46.4613521879,11.5991925691,48.9240493367,16.7667147116,1.00286977688,2.53659720339,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,-0.00450129379053,0.119187457,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.0035147452,0.93480993953,0.969770969577,1.05713188939,0.962935150487,1.01113103394,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
hip_stiff__matched_linear,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00124695991,0.939936709682,0.971075819116,46.4149412797,11.6167495116,48.8385252394,16.786047583,0.970062036188,2.50900433597,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,-0.00249547473814,0.116518981793,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00176050175,0.935887822741,0.969383855763,1.02254902559,0.952460431872,0.988126354272,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
knee_stiff__matched_linear,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
knee_stiff__matched_linear,TRUTH_GLOBAL_OPTIMUM,2,-5,0.03,asym_h+2.000_k-5.000_p+0.03000,0.996429345857,0.952626246777,0.974773873094,29.9246279724,36.141228176,36.7211807423,51.2451044556,1.97603095199,6.29399597397,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,0.00712855871404,0.0925032339521,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,0.999984308311,0.949129556838,0.97488859172,1.03355697072,0.966970670641,1.00081773805,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
knee_stiff__matched_linear,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00154360304,0.953778333281,0.977952631223,30.0782186352,36.1849366307,36.7218579479,51.2728486912,1.9068250569,6.22230502764,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,-0.0030895887956,0.0903068909646,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00000274985,0.9496434181,0.975148224948,0.997359038082,0.955956516398,0.976877144806,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
heavy_leg__matched_linear,REFERENCE,0,0,0,REFERENCE_NORMALIZATION,1,1,1,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,0,0,False,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,,,,,,,,
heavy_leg__matched_linear,TRUTH_GLOBAL_OPTIMUM,2,-5,0.0025,asym_h+2.000_k-5.000_p+0.00250,0.99485868978,0.930471212458,0.963203117167,34.5774167061,10.3643686924,45.9927165064,14.8871911208,3.23715964798,2.51188116741,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,0.0102561873702,0.134223322788,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00003402527,0.924303654908,0.962913624938,1.02348550022,0.948472985876,0.986692346707,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
heavy_leg__matched_linear,H2_FINAL,0,-5,0,asym_h+0.000_k-5.000_p+0.00000,1.00153497541,0.93280850185,0.967782002335,34.8094584147,10.3904033818,45.9927025993,14.9252584692,3.15441451515,2.5176546524,34.7561086427,11.1388386375,45.9911516448,16.1063856469,3.16287787886,2.64834234059,-0.00307230696276,0.129868298876,True,POSTHOC_OBJECTIVE_DECOMPOSITION_ONLY,False,1.00003372289,0.926667149065,0.964048611863,0.997324157292,0.950653023142,0.974268095836,0,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg
