case_id,H1_final_J,H2_final_J,H2_gain_vs_H1,total_H2_trials,trial_reaching_50pct_final_gain,trial_reaching_80pct_final_gain,trial_reaching_90pct_final_gain,trial_reaching_95pct_final_gain,gain_fraction_at_25pct_trials,gain_fraction_at_50pct_trials,gain_fraction_at_75pct_trials,gain_fraction_at_100pct_trials
baseline__combined_mild,1,0.966892394609,0.033107605391,4,2,4,4,4,0.258162502576,0.510777839639,0.758038674983,1.00000000001
baseline__hip_knee_coupling_mild,1,0.970184548874,0.029815451126,4,2,4,4,4,0.256734685324,0.508884121858,0.756632272908,0.999999999985
baseline__matched_linear,1,0.971228759614,0.028771240386,12,3,5,5,5,0.508455188021,0.999999999999,0.999999999999,0.999999999999
baseline__nonlinear_damping_mild,1,0.971232932129,0.028767067871,4,2,4,4,4,0.256417243995,0.508455276158,0.756308550645,0.999999999998
baseline__nonlinear_stiffness_mild,1,0.965580186606,0.034419813394,4,2,4,4,4,0.258686703588,0.511470345671,0.758551234562,0.99999999999
baseline__structured_residual,1,0.971515062695,0.028484937305,4,2,4,4,4,0.256687001041,0.508807597389,0.756568229353,0.999999999999
heavy_leg__matched_linear,0.994959045386,0.967782002335,0.027177043051,12,4,5,5,5,0.420113833371,1,1,1
hip_stiff__matched_linear,1,0.971075819116,0.028924180884,12,3,5,5,5,0.508504600981,0.999999999984,0.999999999984,0.999999999984
knee_stiff__matched_linear,1,0.977952631223,0.022047368777,12,3,5,5,5,0.50429059782,1.00000000001,1.00000000001,1.00000000001
prospective_subject_001__matched_linear,1,0.969202794811,0.030797205189,12,3,5,5,5,0.509799402312,0.999999999999,0.999999999999,0.999999999999
prospective_subject_001__nonlinear_stiffness_strong,1,0.950858011384,0.049141988616,4,2,4,4,4,0.262896118018,0.517064232814,0.762716098139,1
prospective_subject_002__hip_knee_coupling_strong,1,0.972657012595,0.027342987405,4,2,4,4,4,0.255813509058,0.50768932422,0.755752135768,0.999999999987
prospective_subject_002__matched_linear,1,0.975317392642,0.024682607358,12,3,5,5,5,0.505943592672,1,1,1
prospective_subject_003__combined_strong,1,0.956725642694,0.043274357306,4,2,4,4,4,0.262510604877,0.516582517935,0.762376949217,0.999999999993
prospective_subject_003__matched_linear,1,0.973706313745,0.026293686255,12,3,5,5,5,0.506918905012,0.999999999982,0.999999999982,0.999999999982
