case_id_A,case_id_B,truth_optimum_full_alpha_differs,H2_final_full_alpha_differs,truth_optimum_J_absolute_difference,pair_classification,truth_used_for_policy_selection
baseline__combined_mild,baseline__hip_knee_coupling_mild,True,False,0.00231032252583,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,baseline__matched_linear,True,False,0.00352583956647,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,baseline__nonlinear_damping_mild,True,False,0.00353012172159,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,baseline__nonlinear_stiffness_mild,True,False,0.000429460139044,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,baseline__structured_residual,True,False,0.00377495290479,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,heavy_leg__matched_linear,True,False,0.000904118602305,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,hip_stiff__matched_linear,True,False,0.00679796989926,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,knee_stiff__matched_linear,True,False,0.0106666373244,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,prospective_subject_001__matched_linear,False,False,0.000825984772357,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__combined_mild,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.025085005992,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,prospective_subject_002__hip_knee_coupling_strong,True,False,0.00679157976861,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,prospective_subject_002__matched_linear,True,False,0.0100664560117,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,prospective_subject_003__combined_strong,True,False,0.0178732875913,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__combined_mild,prospective_subject_003__matched_linear,True,False,0.00876529243696,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,baseline__matched_linear,True,False,0.00121551704064,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,baseline__nonlinear_damping_mild,True,False,0.00121979919576,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,baseline__nonlinear_stiffness_mild,True,False,0.00273978266488,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,baseline__structured_residual,True,False,0.00146463037895,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,heavy_leg__matched_linear,True,False,0.00321444112814,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,hip_stiff__matched_linear,True,False,0.00448764737343,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,knee_stiff__matched_linear,True,False,0.00835631479853,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,prospective_subject_001__matched_linear,True,False,0.00148433775348,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.0273953285178,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,prospective_subject_002__hip_knee_coupling_strong,True,False,0.00448125724278,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,prospective_subject_002__matched_linear,True,False,0.00775613348592,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,prospective_subject_003__combined_strong,True,False,0.0201836101171,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__hip_knee_coupling_mild,prospective_subject_003__matched_linear,True,False,0.00645496991113,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__matched_linear,baseline__nonlinear_damping_mild,False,False,4.28215512005e-06,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__matched_linear,baseline__nonlinear_stiffness_mild,True,False,0.00395529970551,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__matched_linear,baseline__structured_residual,False,False,0.000249113338317,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__matched_linear,heavy_leg__matched_linear,True,False,0.00442995816877,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__matched_linear,hip_stiff__matched_linear,True,False,0.00327213033279,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__matched_linear,knee_stiff__matched_linear,False,False,0.00714079775789,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__matched_linear,prospective_subject_001__matched_linear,True,False,0.00269985479411,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__matched_linear,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.0286108455585,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__matched_linear,prospective_subject_002__hip_knee_coupling_strong,False,False,0.00326574020214,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__matched_linear,prospective_subject_002__matched_linear,False,False,0.00654061644528,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__matched_linear,prospective_subject_003__combined_strong,True,False,0.0213991271577,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__matched_linear,prospective_subject_003__matched_linear,False,False,0.0052394528705,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__nonlinear_damping_mild,baseline__nonlinear_stiffness_mild,True,False,0.00395958186063,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_damping_mild,baseline__structured_residual,False,False,0.000244831183197,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__nonlinear_damping_mild,heavy_leg__matched_linear,True,False,0.00443424032389,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_damping_mild,hip_stiff__matched_linear,True,False,0.00326784817767,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_damping_mild,knee_stiff__matched_linear,False,False,0.00713651560277,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__nonlinear_damping_mild,prospective_subject_001__matched_linear,True,False,0.00270413694923,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_damping_mild,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.0286151277136,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_damping_mild,prospective_subject_002__hip_knee_coupling_strong,False,False,0.00326145804702,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__nonlinear_damping_mild,prospective_subject_002__matched_linear,False,False,0.00653633429016,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__nonlinear_damping_mild,prospective_subject_003__combined_strong,True,False,0.0214034093129,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_damping_mild,prospective_subject_003__matched_linear,False,False,0.00523517071538,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__nonlinear_stiffness_mild,baseline__structured_residual,True,False,0.00420441304383,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,heavy_leg__matched_linear,True,False,0.000474658463261,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,hip_stiff__matched_linear,True,False,0.00722743003831,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,knee_stiff__matched_linear,True,False,0.0110960974634,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,prospective_subject_001__matched_linear,True,False,0.0012554449114,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.024655545853,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,prospective_subject_002__hip_knee_coupling_strong,True,False,0.00722103990765,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,prospective_subject_002__matched_linear,True,False,0.0104959161508,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,prospective_subject_003__combined_strong,True,False,0.0174438274522,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__nonlinear_stiffness_mild,prospective_subject_003__matched_linear,True,False,0.00919475257601,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__structured_residual,heavy_leg__matched_linear,True,False,0.00467907150709,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__structured_residual,hip_stiff__matched_linear,True,False,0.00302301699448,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__structured_residual,knee_stiff__matched_linear,False,False,0.00689168441957,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__structured_residual,prospective_subject_001__matched_linear,True,False,0.00294896813243,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__structured_residual,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.0288599588968,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__structured_residual,prospective_subject_002__hip_knee_coupling_strong,False,False,0.00301662686382,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__structured_residual,prospective_subject_002__matched_linear,False,False,0.00629150310696,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
baseline__structured_residual,prospective_subject_003__combined_strong,True,False,0.0216482404961,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
baseline__structured_residual,prospective_subject_003__matched_linear,False,False,0.00499033953218,NO_TRUTH_DISCRIMINATION_TO_PRESERVE,False
heavy_leg__matched_linear,hip_stiff__matched_linear,True,False,0.00770208850157,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
heavy_leg__matched_linear,knee_stiff__matched_linear,True,False,0.0115707559267,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
heavy_leg__matched_linear,prospective_subject_001__matched_linear,True,False,0.00173010337466,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
heavy_leg__matched_linear,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.0241808873897,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
heavy_leg__matched_linear,prospective_subject_002__hip_knee_coupling_strong,True,False,0.00769569837091,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
heavy_leg__matched_linear,prospective_subject_002__matched_linear,True,False,0.0109705746141,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
heavy_leg__matched_linear,prospective_subject_003__combined_strong,True,False,0.016969168989,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
heavy_leg__matched_linear,prospective_subject_003__matched_linear,True,False,0.00966941103927,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
hip_stiff__matched_linear,knee_stiff__matched_linear,True,False,0.0038686674251,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
hip_stiff__matched_linear,prospective_subject_001__matched_linear,True,False,0.00597198512691,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
hip_stiff__matched_linear,prospective_subject_001__nonlinear_stiffness_strong,True,False,0.0318829758913,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
hip_stiff__matched_linear,prospective_subject_002__hip_knee_coupling_strong,True,False,6.39013065462e-06,SUBJECT_DIFFERENCE_COLLAPSED_BY_POLICY,False
