case_id,subject_id,scenario_name,iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,actual_J,best_actual_J_before,best_actual_J_after,actual_best_J_improvement,changed_best_alpha,accepted_meaningful_improvement,J_pred_at_execution,best_executed_J_pred_so_far,map_best_supported_J_pred_after,eligible_endpoint_ids_before,eligible_endpoint_ids_after,changed_future_exploit_eligibility,future_eligibility_added,future_eligibility_removed,parameter_delta_json,parameter_changed_exactly,prediction_map_change_rms,prediction_map_change_max_abs,prediction_map_changed_exactly,supported_point_count_before,supported_point_count_after,support_point_increase,model_refit_after_execution,full_map_recomputed_after_execution,frozen_history_row_verified,truth_used_to_select_or_stop,trial_value_classification,classification_is_posthoc_only,classification_used_to_stop_policy
baseline__matched_linear,baseline,matched_linear,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999510094092,1,1,0,False,False,0.99951047583,0.99951047583,0.970684619912,,asym_h+0.000_k-1.250_p+0.00000,True,asym_h+0.000_k-1.250_p+0.00000,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,7650,12100,4450,True,True,True,False,MULTIPLE_VALUES,True,False
baseline__matched_linear,baseline,matched_linear,2,EXPLOIT,asym_h+0.000_k-1.250_p+0.00000,0,-1.25,0,0,0,0,0,-1.25,0,0.99262256034,1,0.99262256034,0.00737743965957,True,True,0.992627221956,0.992627221956,0.970684619912,asym_h+0.000_k-1.250_p+0.00000,asym_h+0.000_k-2.500_p+0.00000,True,asym_h+0.000_k-2.500_p+0.00000,asym_h+0.000_k-1.250_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,3,EXPLOIT,asym_h+0.000_k-2.500_p+0.00000,0,-2.5,0,0,-1.25,0,0,-2.5,0,0.98537111356,0.99262256034,0.98537111356,0.0072514467805,True,True,0.985375814963,0.985375814963,0.970684619912,asym_h+0.000_k-2.500_p+0.00000,asym_h+0.000_k-3.750_p+0.00000,True,asym_h+0.000_k-3.750_p+0.00000,asym_h+0.000_k-2.500_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,4,EXPLOIT,asym_h+0.000_k-3.750_p+0.00000,0,-3.75,0,0,-2.5,0,0,-3.75,0,0.978240066462,0.98537111356,0.978240066462,0.00713104709818,True,True,0.978244808332,0.978244808332,0.970684619912,asym_h+0.000_k-3.750_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,True,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-3.750_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,5,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-3.75,0,0,-5,0,0.971228759614,0.978240066462,0.971228759614,0.00701130684771,True,True,0.971233542623,0.971233542623,0.970684619912,asym_h+0.000_k-5.000_p+0.00000,,True,,asym_h+0.000_k-5.000_p+0.00000,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12100,0,True,True,True,False,DIRECT_DECISION_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,6,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999028374935,0.971228759614,0.971228759614,0,False,False,0.999028756608,0.971233542623,0.970239039812,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12100,12650,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,7,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.998549858084,0.971228759614,0.971228759614,0,False,False,0.998550239698,0.971233542623,0.969796650251,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,12650,13200,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,8,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.998074558055,0.971228759614,0.971228759614,0,False,False,0.998074939614,0.971233542623,0.969357466031,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,13200,13750,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,9,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.997602489275,0.971228759614,0.971228759614,0,False,False,0.997602870784,0.971233542623,0.968921501861,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,13750,14300,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
baseline__matched_linear,baseline,matched_linear,10,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.997133666081,0.971228759614,0.971228759614,0,False,False,0.997134047546,0.971233542623,0.968488772357,,,False,,,"{""b_hip_nm_s_per_rad"": 0.0, ""b_knee_nm_s_per_rad"": 0.0, ""k_hip_nm_per_rad"": 0.0, ""k_knee_nm_per_rad"": 0.0, ""mass_scale"": 0.0}",False,0,0,False,14300,14850,550,True,True,True,False,POST_OPTIMUM_LOW_VALUE,True,False
