case_id,axis,direction,alpha_hip,alpha_knee,alpha_phase,axis_alpha,distance_in_existing_grid_steps,J_truth,delta_J_truth_vs_reference,model_supported_at_initial_state,domain_coverage_at_initial_state,reference_near_local_delta_J,best_axis_direction_alpha,best_axis_direction_J,best_axis_direction_improvement,best_axis_direction_at_generator_boundary,truth_monotonic_improvement_from_reference_to_boundary,truth_used_for_policy_selection
baseline__combined_mild,HIP,NEGATIVE,-0.25,0,0,-0.25,1,1.00039016272,0.000390162720743,True,100,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-0.5,0,0,-0.5,2,1.00078779343,0.000787793432934,True,100,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-0.75,0,0,-0.75,3,1.00118847562,0.00118847562289,True,100,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-1,0,0,-1,4,1.00159219499,0.00159219498839,True,100,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-1.25,0,0,-1.25,5,1.00199893718,0.00199893717641,True,100,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-1.5,0,0,-1.5,6,1.00240868778,0.00240868778303,True,100,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-1.75,0,0,-1.75,7,1.00282143235,0.00282143235344,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-2,0,0,-2,8,1.00323715638,0.0032371563819,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-2.25,0,0,-2.25,9,1.00365584531,0.00365584531173,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-2.5,0,0,-2.5,10,1.00407748454,0.00407748453529,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-2.75,0,0,-2.75,11,1.00450205939,0.00450205939399,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-3,0,0,-3,12,1.00492955518,0.00492955517832,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-3.25,0,0,-3.25,13,1.00535995713,0.00535995712783,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-3.5,0,0,-3.5,14,1.00579325043,0.0057932504312,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-3.75,0,0,-3.75,15,1.00622942023,0.00622942022628,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-4,0,0,-4,16,1.0066684516,0.00666845160008,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-4.25,0,0,-4.25,17,1.00711032959,0.00711032958892,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-4.5,0,0,-4.5,18,1.00755503918,0.00755503917842,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-4.75,0,0,-4.75,19,1.0080025653,0.00800256530362,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,NEGATIVE,-5,0,0,-5,20,1.00845289285,0.00845289284903,True,99.7506234414,0.000390162720743,-0.25,1.00039016272,-0.000390162720743,False,False,False
baseline__combined_mild,HIP,POSITIVE,0.25,0,0,0.25,1,0.999604112685,-0.000395887315305,True,100,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,HIP,POSITIVE,0.5,0,0,0.5,2,0.999215721712,-0.000784278288342,True,100,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,HIP,POSITIVE,0.75,0,0,0.75,3,0.998830438918,-0.00116956108183,True,100,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,HIP,POSITIVE,1,0,0,1,4,0.998448278353,-0.00155172164669,True,100,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,HIP,POSITIVE,1.25,0,0,1.25,5,0.998069254016,-0.00193074598425,False,86.0349127182,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,HIP,POSITIVE,1.5,0,0,1.5,6,0.997693379854,-0.00230662014606,False,84.0399002494,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,HIP,POSITIVE,1.75,0,0,1.75,7,0.997320669766,-0.00267933023382,False,82.7930174564,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,HIP,POSITIVE,2,0,0,2,8,0.996951137601,-0.00304886239927,False,81.7955112219,-0.000395887315305,2,0.996951137601,0.00304886239927,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-0.25,0,-0.25,1,0.998276876686,-0.00172312331363,True,100,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-0.5,0,-0.5,2,0.996561196555,-0.00343880344522,True,100,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-0.75,0,-0.75,3,0.994852717749,-0.00514728225123,True,100,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-1,0,-1,4,0.993151426953,-0.00684857304666,True,100,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-1.25,0,-1.25,5,0.991457310726,-0.00854268927411,True,100,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-1.5,0,-1.5,6,0.989770355497,-0.0102296445033,True,100,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-1.75,0,-1.75,7,0.988090547569,-0.0119094524307,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-2,0,-2,8,0.986417873121,-0.0135821268786,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-2.25,0,-2.25,9,0.984752318205,-0.015247681795,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-2.5,0,-2.5,10,0.983093868747,-0.0169061312529,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-2.75,0,-2.75,11,0.98144251055,-0.0185574894496,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-3,0,-3,12,0.979798229294,-0.0202017707062,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-3.25,0,-3.25,13,0.978161010533,-0.0218389894672,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-3.5,0,-3.5,14,0.9765308397,-0.0234691602995,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-3.75,0,-3.75,15,0.974907702108,-0.0250922978923,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-4,0,-4,16,0.973291582944,-0.0267084170559,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-4.25,0,-4.25,17,0.971682467279,-0.0283175327214,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-4.5,0,-4.5,18,0.97008034006,-0.0299196599402,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-4.75,0,-4.75,19,0.968485186117,-0.0315148138828,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,NEGATIVE,0,-5,0,-5,20,0.966896990161,-0.0331030098386,True,99.7506234414,-0.00172312331363,-5,0.966896990161,0.0331030098386,True,True,False
baseline__combined_mild,KNEE,POSITIVE,0,0.25,0,0.25,1,1.00172989355,0.00172989354503,True,93.7655860349,0.00172989354503,0.25,1.00172989355,-0.00172989354503,False,False,False
baseline__combined_mild,KNEE,POSITIVE,0,0.5,0,0.5,2,1.00346725626,0.00346725625949,False,84.5386533666,0.00172989354503,0.25,1.00172989355,-0.00172989354503,False,False,False
