case_id,subject_id,scenario_name,truth_global_trajectory_id,truth_global_alpha_hip,truth_global_alpha_knee,truth_global_alpha_phase,truth_global_J,truth_local_trajectory_id,truth_local_alpha_hip,truth_local_alpha_knee,truth_local_alpha_phase,truth_local_J,truth_local_candidate_count,H2_final_alpha_hip,H2_final_alpha_knee,H2_final_alpha_phase,J_truth_at_H2_final,H2_minus_truth_hip,H2_minus_truth_knee,H2_minus_truth_phase,global_regret,H2_full_alpha_matches_truth_global,truth_hip_at_boundary,truth_knee_at_boundary,truth_phase_at_boundary,truth_used_for_policy_selection,truth_role
baseline__combined_mild,baseline,combined_mild,asym_h+2.000_k-5.000_p+0.01250,2,-5,0.0125,0.96410723577,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998276876686,7,0,-5,0,0.966896990161,-2,0,-0.0125,0.0027897543916,False,True,True,False,False,POSTHOC_AUDIT_ONLY
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h+2.000_k-5.000_p+0.02750,2,-5,0.0275,0.966417558296,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.99845904356,7,0,-5,0,0.970189195338,-2,0,-0.0275,0.00377163704275,False,True,True,False,False,POSTHOC_AUDIT_ONLY
baseline__matched_linear,baseline,matched_linear,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967633075336,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998515437305,7,0,-5,0,0.971233542624,-2,0,-0.03,0.00360046728743,False,True,True,True,False,POSTHOC_AUDIT_ONLY
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967637357491,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998515652167,7,0,-5,0,0.971237715612,-2,0,-0.03,0.00360035812028,False,True,True,True,False,POSTHOC_AUDIT_ONLY
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,asym_h+2.000_k-5.000_p+0.00750,2,-5,0.0075,0.963677775631,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.99820399024,7,0,-5,0,0.965584790819,-2,0,-0.0075,0.00190701518787,False,True,True,False,False,POSTHOC_AUDIT_ONLY
baseline__structured_residual,baseline,structured_residual,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967882188675,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998528219172,7,0,-5,0,0.971519863561,-2,0,-0.03,0.00363767488693,False,True,True,True,False,POSTHOC_AUDIT_ONLY
heavy_leg__matched_linear,heavy_leg,matched_linear,asym_h+2.000_k-5.000_p+0.00250,2,-5,0.0025,0.963203117167,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998322740095,7,0,-5,0,0.967787438536,-2,0,-0.0025,0.00458432136862,False,True,True,False,False,POSTHOC_AUDIT_ONLY
hip_stiff__matched_linear,hip_stiff,matched_linear,asym_h+1.250_k-5.000_p+0.03000,1.25,-5,0.03,0.970905205669,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998506600518,7,0,-5,0,0.971078595998,-1.25,0,-0.03,0.000173390328566,False,False,True,True,False,POSTHOC_AUDIT_ONLY
knee_stiff__matched_linear,knee_stiff,matched_linear,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.974773873094,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998880841206,7,0,-5,0,0.977957767831,-2,0,-0.03,0.00318389473674,False,True,True,True,False,POSTHOC_AUDIT_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,asym_h+2.000_k-5.000_p+0.01250,2,-5,0.0125,0.964933220542,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998402918578,7,0,-5,0,0.969208014726,-2,0,-0.0125,0.00427479418365,False,True,True,False,False,POSTHOC_AUDIT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,asym_h-5.000_k-5.000_p-0.02500,-5,-5,-0.025,0.939022229778,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.997382679983,7,0,-5,0,0.950861828753,5,0,0.025,0.011839598975,False,True,True,False,False,POSTHOC_AUDIT_ONLY
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.970898815538,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998593169267,7,0,-5,0,0.972660373707,-2,0,-0.03,0.00176155816821,False,True,True,True,False,POSTHOC_AUDIT_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.974173691782,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998738331599,7,0,-5,0,0.975320990929,-2,0,-0.03,0.0011472991471,False,True,True,True,False,POSTHOC_AUDIT_ONLY
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,asym_h-5.000_k-5.000_p+0.00000,-5,-5,0,0.946233948178,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.997699279074,7,0,-5,0,0.956728368078,5,0,0,0.0104944198993,False,True,True,False,False,POSTHOC_AUDIT_ONLY
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.972872528207,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,0.998650791163,7,0,-5,0,0.973709602551,-2,0,-0.03,0.000837074344438,False,True,True,True,False,POSTHOC_AUDIT_ONLY
