case_id,semantic_id,iteration,event_type,predicted_delta_J,truth_delta_J,predicted_meaningful_improvement,truth_meaningful_improvement,false_improvement,truth_attached_posthoc,truth_used_for_selection
baseline__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,2,DIRECT_ONE_STEP,-0.00590799515335,-0.005912648893,True,True,False,False,False
baseline__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,3,DIRECT_ONE_STEP,-0.00583010987863,-0.00583014154556,True,True,False,False,False
baseline__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,4,DIRECT_ONE_STEP,-0.00575289522019,-0.00575292732249,True,True,False,False,False
baseline__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,5,DIRECT_ONE_STEP,-0.00567600159601,-0.00567603413118,True,True,False,False,False
baseline__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,6,DIRECT_ONE_STEP,-0.0055994555285,-0.00559948849373,True,True,False,False,False
baseline__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,2,DIRECT_ONE_STEP,-0.00590799515335,-0.005912648893,True,True,False,False,False
baseline__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,3,DIRECT_ONE_STEP,-0.00583010987863,-0.00583014154556,True,True,False,False,False
baseline__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,4,DIRECT_ONE_STEP,-0.00575289522019,-0.00575292732249,True,True,False,False,False
baseline__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,5,DIRECT_ONE_STEP,-0.00567600159601,-0.00567603413118,True,True,False,False,False
baseline__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,6,DIRECT_ONE_STEP,-0.0055994555285,-0.00559948849373,True,True,False,False,False
baseline__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,2,DIRECT_ONE_STEP,-0.00590799515335,-0.005912648893,True,True,False,False,False
baseline__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,3,DIRECT_ONE_STEP,-0.00583010987863,-0.00583014154556,True,True,False,False,False
baseline__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,4,DIRECT_ONE_STEP,-0.00575289522019,-0.00575292732249,True,True,False,False,False
baseline__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,5,DIRECT_ONE_STEP,-0.00567600159601,-0.00567603413118,True,True,False,False,False
baseline__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,6,DIRECT_ONE_STEP,-0.0055994555285,-0.00559948849373,True,True,False,False,False
baseline__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,2,DIRECT_ONE_STEP,-0.00590799515335,-0.005912648893,True,True,False,False,False
baseline__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,3,DIRECT_ONE_STEP,-0.00583010987863,-0.00583014154556,True,True,False,False,False
baseline__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,4,DIRECT_ONE_STEP,-0.00575289522019,-0.00575292732249,True,True,False,False,False
baseline__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,5,DIRECT_ONE_STEP,-0.00567600159601,-0.00567603413118,True,True,False,False,False
baseline__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,6,DIRECT_ONE_STEP,-0.0055994555285,-0.00559948849373,True,True,False,False,False
hip_stiff__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,2,DIRECT_ONE_STEP,-0.00594152473249,-0.00594423855895,True,True,False,False,False
hip_stiff__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,3,DIRECT_ONE_STEP,-0.00586212927914,-0.00586214441739,True,True,False,False,False
hip_stiff__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,4,DIRECT_ONE_STEP,-0.00578383630714,-0.00578385186107,True,True,False,False,False
hip_stiff__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,5,DIRECT_ONE_STEP,-0.00570581642967,-0.00570583240124,True,True,False,False,False
hip_stiff__matched_linear,S0_CURRENT_ADDITIVE_MARGIN,6,DIRECT_ONE_STEP,-0.00562809725397,-0.00562811364489,True,True,False,False,False
hip_stiff__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,2,DIRECT_ONE_STEP,-0.00594152473249,-0.00594423855895,True,True,False,False,False
hip_stiff__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,3,DIRECT_ONE_STEP,-0.00586212927914,-0.00586214441739,True,True,False,False,False
hip_stiff__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,4,DIRECT_ONE_STEP,-0.00578383630714,-0.00578385186107,True,True,False,False,False
hip_stiff__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,5,DIRECT_ONE_STEP,-0.00570581642967,-0.00570583240124,True,True,False,False,False
hip_stiff__matched_linear,S1_TWO_GATE_DIRECTION_AND_MAGNITUDE,6,DIRECT_ONE_STEP,-0.00562809725397,-0.00562811364489,True,True,False,False,False
hip_stiff__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,2,DIRECT_ONE_STEP,-0.00594152473249,-0.00594423855895,True,True,False,False,False
hip_stiff__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,3,DIRECT_ONE_STEP,-0.00586212927914,-0.00586214441739,True,True,False,False,False
hip_stiff__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,4,DIRECT_ONE_STEP,-0.00578383630714,-0.00578385186107,True,True,False,False,False
hip_stiff__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,5,DIRECT_ONE_STEP,-0.00570581642967,-0.00570583240124,True,True,False,False,False
hip_stiff__matched_linear,S2_UNCERTAINTY_INTERVAL_DIRECTION_GATE,6,DIRECT_ONE_STEP,-0.00562809725397,-0.00562811364489,True,True,False,False,False
hip_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,2,DIRECT_ONE_STEP,-0.00594152473249,-0.00594423855895,True,True,False,False,False
hip_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,3,DIRECT_ONE_STEP,-0.00586212927914,-0.00586214441739,True,True,False,False,False
hip_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,4,DIRECT_ONE_STEP,-0.00578383630714,-0.00578385186107,True,True,False,False,False
hip_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,5,DIRECT_ONE_STEP,-0.00570581642967,-0.00570583240124,True,True,False,False,False
hip_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,6,DIRECT_ONE_STEP,-0.00562809725397,-0.00562811364489,True,True,False,False,False
knee_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,2,BUNDLE_AUTHORIZED_NEXT_STEP,-0.00111915879411,-0.0011241311424,False,False,False,False,False
knee_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,3,BUNDLE_AUTHORIZED_NEXT_STEP,-0.00111786435651,-0.0011178728633,False,False,False,False,False
knee_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,4,BUNDLE_AUTHORIZED_NEXT_STEP,-0.00111600943987,-0.00111601796227,False,False,False,False,False
knee_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,5,BUNDLE_AUTHORIZED_NEXT_STEP,-0.00111415534056,-0.00111416387853,False,False,False,False,False
knee_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,6,BUNDLE_AUTHORIZED_NEXT_STEP,-0.00111230207189,-0.0011123106254,False,False,False,False,False
knee_stiff__matched_linear,S3_BUNDLE_ENDPOINT_TWO_GATE,7,BUNDLE_AUTHORIZED_NEXT_STEP,-0.00111044964699,-0.00111045821599,False,False,False,False,False
