case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,iteration,trial_purpose,selection_mode,trajectory_id,alpha_hip,alpha_knee,alpha_phase,operating_alpha_hip_before,operating_alpha_knee_before,operating_alpha_phase_before,operating_alpha_hip_after,operating_alpha_knee_after,operating_alpha_phase_after,J_pred,actual_J,operating_actual_J_before,best_actual_J_before,best_actual_J_after,delta_J_pred_endpoint,delta_J_actual_vs_operating,accepted_meaningful_improvement,executed_false_improvement,latent_intermediate_count,intermediate_execution_count,endpoint_execution_count,model_refit_after_execution,full_map_recomputed_after_execution,authorization_invalidated_after_execution,truth_accessed_before_selection,manifest_sha_verified_before_truth,execution_status,cumulative_regret_vs_best_before,stop_reason_after_iteration
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.99951047583,0.999510094092,1,1,1,-0.000489524170139,-0.000489905908342,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,2,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,0,0,0,0,0,0.999028756608,0.999028374935,1,1,1,-0.000971243391789,-0.000971625064923,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,3,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,0,0,0,0,0,0.998550239698,0.998549858084,1,1,1,-0.00144976030245,-0.00145014191572,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,4,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,0,0,0,0,0,0.998074939614,0.998074558055,1,1,1,-0.00192506038597,-0.00192544194458,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,5,EXPLORE,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,0,0,0,0,0,0.997602870784,0.997602489275,1,1,1,-0.0023971292156,-0.00239751072475,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,6,EXPLORE,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,0,0,0,0,0,0.997134047546,0.997133666081,1,1,1,-0.00286595245441,-0.00286633391931,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,7,EXPLORE,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,0,0,0,0,0,0.996668484144,0.996668102718,1,1,1,-0.00333151585568,-0.00333189728153,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,SINGLE_STEP,1,8,EXPLORE,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,0,0,0,0,0,0.996206194737,0.996205813345,1,1,1,-0.00379380526327,-0.00379418665526,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.99951047583,0.999510094092,1,1,1,-0.000489524170139,-0.000489905908342,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,2,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,0,0,0,0,0,0.999028756608,0.999028374935,1,1,1,-0.000971243391789,-0.000971625064923,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,3,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,0,0,0,0,0,0.998550239698,0.998549858084,1,1,1,-0.00144976030245,-0.00145014191572,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,4,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,0,0,0,0,0,0.998074939614,0.998074558055,1,1,1,-0.00192506038597,-0.00192544194458,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,5,EXPLORE,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,0,0,0,0,0,0.997602870784,0.997602489275,1,1,1,-0.0023971292156,-0.00239751072475,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,6,EXPLORE,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,0,0,0,0,0,0.997134047546,0.997133666081,1,1,1,-0.00286595245441,-0.00286633391931,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,7,EXPLORE,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,0,0,0,0,0,0.996668484144,0.996668102718,1,1,1,-0.00333151585568,-0.00333189728153,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,BUNDLE_2,2,8,EXPLORE,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,0,0,0,0,0,0.996206194737,0.996205813345,1,1,1,-0.00379380526327,-0.00379418665526,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_3,BUNDLE_3,3,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.99951047583,0.999510094092,1,1,1,-0.000489524170139,-0.000489905908342,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_3,BUNDLE_3,3,2,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,0,0,0,0,0,0.999028756608,0.999028374935,1,1,1,-0.000971243391789,-0.000971625064923,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
baseline__matched_linear,baseline,matched_linear,BUNDLE_3,BUNDLE_3,3,3,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,0,0,0,0,0,0.998550239698,0.998549858084,1,1,1,-0.00144976030245,-0.00145014191572,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
