case_id,subject_id,scenario_name,framework_id,horizon_steps,number_of_executed_trials,number_of_explore_trials,number_of_exploit_trials,first_exploit_iteration,decision_latency_trials,latent_intermediate_nodes_skipped,intermediate_trajectory_executions,endpoint_executions,accepted_meaningful_improvements,wrong_direction_executions,accepted_improvements_per_trial,intermediate_execution_policy,evidence_level
baseline__matched_linear,baseline,matched_linear,SINGLE_STEP,1,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__matched_linear,baseline,matched_linear,BUNDLE_2,2,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__matched_linear,baseline,matched_linear,BUNDLE_3,3,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__matched_linear,baseline,matched_linear,BUNDLE_5,5,12,8,4,2,1,16,0,4,4,7,0.333333333333,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
hip_stiff__matched_linear,hip_stiff,matched_linear,SINGLE_STEP,1,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_2,2,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,3,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,5,12,8,4,2,1,16,0,4,4,7,0.333333333333,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
knee_stiff__matched_linear,knee_stiff,matched_linear,SINGLE_STEP,1,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_2,2,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_3,3,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_5,5,12,8,4,2,1,16,0,4,4,7,0.333333333333,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,1,8,8,0,,8,0,0,0,1,0,0.125,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,2,8,8,0,,8,0,0,0,1,0,0.125,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,3,9,8,1,2,1,2,0,1,1,6,0.111111111111,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,5,12,8,4,2,1,16,0,4,4,7,0.333333333333,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__structured_residual,baseline,structured_residual,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__structured_residual,baseline,structured_residual,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__structured_residual,baseline,structured_residual,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__combined_mild,baseline,combined_mild,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__combined_mild,baseline,combined_mild,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
