case_id,subject_id,scenario_name,calibration_category,data_split,data_role,subject_selection_hash,subject_selection_seed,parameter_signature,mass_scale,damping_scale,k_hip_nm_per_rad,k_knee_nm_per_rad,virtual_parameter_source,mismatch_mechanism_source,truth_used_for_case_selection,truth_optimum_used_for_case_selection,error_used_for_case_selection,old_development_case,rejected_prospective_case,reserved_for_future_prospective,heldout_final_test,calibration_only
calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,00cb1e27b4dd344ece1e9d7de1b2306737a3e848668640c9110cde4f1ec28799,20260824,0.88|27|26|1.1,0.88,1.1,27,26,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,NONE_MATCHED_LINEAR,False,False,False,False,False,False,False,True
calibration_subject_001__nonlinear_stiffness_strong,calibration_subject_001,nonlinear_stiffness_strong,MISMATCH,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,00cb1e27b4dd344ece1e9d7de1b2306737a3e848668640c9110cde4f1ec28799,20260824,0.88|27|26|1.1,0.88,1.1,27,26,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,PREEXISTING_FROZEN_MISMATCH_SCENARIO:nonlinear_stiffness_strong,False,False,False,False,False,False,False,True
calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,041bf7cc7f4846a8d7efb143bdb6ae9d9cf5b1e3400d66f3c83612e55a71604a,20260824,0.96|11|21|0.9,0.96,0.9,11,21,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,PREEXISTING_FROZEN_MISMATCH_SCENARIO:hip_knee_coupling_strong,False,False,False,False,False,False,False,True
calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,041bf7cc7f4846a8d7efb143bdb6ae9d9cf5b1e3400d66f3c83612e55a71604a,20260824,0.96|11|21|0.9,0.96,0.9,11,21,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,NONE_MATCHED_LINEAR,False,False,False,False,False,False,False,True
calibration_subject_003__combined_strong,calibration_subject_003,combined_strong,MISMATCH,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,05c78c79cec6dae2e2b58fefa523c3f87454060fe4180fd40db660266e7f9bc4,20260824,1.04|24|26|0.9,1.04,0.9,24,26,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,PREEXISTING_FROZEN_MISMATCH_SCENARIO:combined_strong,False,False,False,False,False,False,False,True
calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,05c78c79cec6dae2e2b58fefa523c3f87454060fe4180fd40db660266e7f9bc4,20260824,1.04|24|26|0.9,1.04,0.9,24,26,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,NONE_MATCHED_LINEAR,False,False,False,False,False,False,False,True
calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,069e729ba4ce84def7f332cac5bd4d7794c765a8ec48903963b503441bdea52e,20260824,1.04|11|26|0.9,1.04,0.9,11,26,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,NONE_MATCHED_LINEAR,False,False,False,False,False,False,False,True
calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,069e729ba4ce84def7f332cac5bd4d7794c765a8ec48903963b503441bdea52e,20260824,1.04|11|26|0.9,1.04,0.9,11,26,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,PREEXISTING_FROZEN_MISMATCH_SCENARIO:nonlinear_stiffness_strong,False,False,False,False,False,False,False,True
calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,06e61b56152405052906cb5ab99b49fcf9e3d32323c7b6b1c8213c270bd3c8b7,20260824,1.04|18|21|0.9,1.04,0.9,18,21,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,PREEXISTING_FROZEN_MISMATCH_SCENARIO:hip_knee_coupling_strong,False,False,False,False,False,False,False,True
calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,INDEPENDENT_CALIBRATION,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,06e61b56152405052906cb5ab99b49fcf9e3d32323c7b6b1c8213c270bd3c8b7,20260824,1.04|18|21|0.9,1.04,0.9,18,21,PREEXISTING_FIXED_RESEARCH_SYNTHETIC_PARAMETER_GRID_UNUSED_COMBINATION,NONE_MATCHED_LINEAR,False,False,False,False,False,False,False,True
