case_id,subject_id,scenario_name,calibration_category,selected_identification_trial_id,identification_dataset_sha256,identification_domain_valid_samples,estimated_mass_scale,estimated_k_hip_nm_per_rad,estimated_k_knee_nm_per_rad,estimated_b_hip_nm_s_per_rad,estimated_b_knee_nm_s_per_rad,truth_used_for_pair_assignment,pair_endpoint_truth_used_for_model_fitting,personalization_executed,data_role
calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,2,768f49ad5edd177ad2d27e83b1a4007edebd567a312b5cddf02b831a151d97a3,802,0.879999999992,26.9999999998,25.9999999999,2.19999998991,1.64999999997,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_001__nonlinear_stiffness_strong,calibration_subject_001,nonlinear_stiffness_strong,MISMATCH,5,44d430d0f8f09e96f97988e9a22bbf91d4cce489fcc53e34affb67d738051303,2005,0.699555703072,37.7112823691,36.8145173941,2.97012813211,3.15315705339,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,5,1e4d4604f020e2e046b85148c69b0b4765f682b9c3357ef97334aace7bb629cc,2005,0.978066266018,13.1611986638,19.9261254562,2.8965035751,0.795874554067,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,2,25f0569ca2d34322efd28ab41a54f6aabb7772a78ce190e908afde3217e0897a,802,0.96,11,21,1.8,1.3500000001,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_003__combined_strong,calibration_subject_003,combined_strong,MISMATCH,5,c0feec540aea842894839c05eb6a8b18c623dcb1b01f4c4725f2d444771f58ce,2005,0.875315444798,33.8553790586,34.8532150639,4.76098936806,1.96983763513,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,2,f5922d93b3c96e1e2e14f09c3afd5726d471f6e1ede79ec0a78e226abf7caf7e,802,1.04,24,26,1.8,1.35,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,2,8ab80f97133be4824cfd29eea603e6d437978b0be5b5522ac9e2ff04ffa416e2,802,1.04,11,26,1.8,1.35000000047,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,5,ad596e0e3f7e3136393d959621033e11dbe89c09208b8e70794026fe5c6b0047,2005,0.861434454677,21.8755264568,36.8214268565,3.13490691153,2.85220162867,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,5,0ff5c2cef18a67cce08e453b1208bfc930f7fde80eb7b37f95028ab7251bc270,2005,1.05771265288,20.1632994065,19.9248179335,2.89521529663,0.796023920303,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,2,758fab532347c1848e5adda61fd1f3c644ccdff892a653b9a1397f868a83f55b,802,1.04,18,21,1.8,1.35000000043,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,5,e16cb7b9070952b146d9a17ed57a31d7199045495a13b4a96773370d4d6e5b71,2005,0.800041763869,33.825835406,17.890485854,5.15945971219,2.34154448642,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,2,983912e6df007210d43852955c50b9b48fa9f4a0d5c095a12fedc69feedbffcf,802,0.96,24,8.99999999993,2.19999999997,1.64999999637,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
