case_id,stage,manifest_sha256,manifest_verified_before_truth,truth_used_for_selection_or_assignment
calibration_subject_001__matched_linear,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_001__matched_linear,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_001__nonlinear_stiffness_strong,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_001__nonlinear_stiffness_strong,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_002__hip_knee_coupling_strong,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_002__hip_knee_coupling_strong,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_002__matched_linear,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_002__matched_linear,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_003__combined_strong,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_003__combined_strong,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_003__matched_linear,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_003__matched_linear,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_004__matched_linear,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_004__matched_linear,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_004__nonlinear_stiffness_strong,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_004__nonlinear_stiffness_strong,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_005__hip_knee_coupling_strong,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_005__hip_knee_coupling_strong,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_005__matched_linear,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_005__matched_linear,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_006__combined_strong,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_006__combined_strong,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_006__matched_linear,FROZEN_SEQUENTIAL_IDENTIFICATION_FIXTURE,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
calibration_subject_006__matched_linear,FROZEN_PAIR_ENDPOINT_TRUTH_EVALUATION,08f930692704c24f10f85f094eabf45fc5e0842ec3f479345e62bee892df1729,True,False
