bundle_pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,bundle_length,location_class,start_trajectory_id,endpoint_trajectory_id,intermediate_trajectory_ids,deltaJ_pred,deltaJ_truth,e_deltaJ_bundle,residual_column,residual_computation,n_times_one_step_uncertainty_used,sqrt_n_times_one_step_uncertainty_used,analytic_scaling_formula_used,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dbv_bundle_0001ae972382b74244ad175a,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,hip,POSITIVE,2,INTERIOR,asym_h+1.000_k-4.750_p+0.02250,asym_h+1.500_k-4.750_p+0.02250,asym_h+1.250_k-4.750_p+0.02250,-0.0003353786636,-0.000335378663588,1.22124532709e-14,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000230672c459863bce43ded,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,hip,POSITIVE,2,INTERIOR,asym_h-1.250_k-3.750_p-0.02500,asym_h-0.750_k-3.750_p-0.02500,asym_h-1.000_k-3.750_p-0.02500,-0.000281569271259,-0.000281569271259,1.11022302463e-16,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0002e122bc7eb40de69059a8,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,hip,POSITIVE,2,INTERIOR,asym_h-1.500_k-4.250_p-0.02250,asym_h-1.000_k-4.250_p-0.02250,asym_h-1.250_k-4.250_p-0.02250,0.000527945158771,0.000993919579395,0.000465974420624,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000306fe845e9ab098230ea7,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,phase,POSITIVE,2,INTERIOR,asym_h-0.750_k-4.000_p+0.00000,asym_h-0.750_k-4.000_p+0.00500,asym_h-0.750_k-4.000_p+0.00250,-4.70883240528e-05,1.86771322179e-05,6.57654562707e-05,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00033391f321dcb7f1120c75,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,hip,POSITIVE,2,INTERIOR,asym_h-0.500_k-4.500_p+0.02500,asym_h+0.000_k-4.500_p+0.02500,asym_h-0.250_k-4.500_p+0.02500,-0.000994810243024,-0.000994810243024,0,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00038d7d5cb79037368858c2,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,hip,NEGATIVE,2,INTERIOR,asym_h+1.000_k-1.000_p+0.01250,asym_h+0.500_k-1.000_p+0.01250,asym_h+0.750_k-1.000_p+0.01250,0.000880487864912,0.00105404233592,0.000173554471012,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00040b3f10b2169df7533398,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,NEGATIVE,2,INTERIOR,asym_h-3.500_k-3.000_p-0.01500,asym_h-4.000_k-3.000_p-0.01500,asym_h-3.750_k-3.000_p-0.01500,0.000705483341099,0.000705483341099,2.22044604925e-16,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0004250b21652e05ad9b3b82,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,hip,NEGATIVE,2,INTERIOR,asym_h-1.750_k-4.250_p+0.00500,asym_h-2.250_k-4.250_p+0.00500,asym_h-2.000_k-4.250_p+0.00500,0.000451373564715,0.0004513735647,1.55431223448e-14,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0004c4aab2834370ec311dc2,calibration_subject_001__nonlinear_stiffness_strong,calibration_subject_001,nonlinear_stiffness_strong,MISMATCH,phase,NEGATIVE,2,INTERIOR,asym_h-4.750_k-0.500_p+0.02250,asym_h-4.750_k-0.500_p+0.01750,asym_h-4.750_k-0.500_p+0.02000,5.62654206029e-05,8.98526071214e-06,4.72801598908e-05,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0005a15f9930d278ea4f524e,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,knee,POSITIVE,2,LOWER_BOUNDARY,asym_h-2.250_k-5.000_p-0.01750,asym_h-2.250_k-4.500_p-0.01750,asym_h-2.250_k-4.750_p-0.01750,0.00220410439091,0.00220410439092,3.77475828373e-15,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0005c26658af09492120b471,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,hip,NEGATIVE,2,INTERIOR,asym_h-0.750_k-4.250_p-0.00500,asym_h-1.250_k-4.250_p-0.00500,asym_h-1.000_k-4.250_p-0.00500,-0.000532033880648,-0.00101152076985,0.000479486889202,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000608548862b1339b0fce53,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,phase,NEGATIVE,2,LOWER_BOUNDARY,asym_h-5.000_k+0.500_p-0.02500,asym_h-5.000_k+0.500_p-0.03000,asym_h-5.000_k+0.500_p-0.02750,6.13659232672e-05,9.94298270069e-05,3.80639037397e-05,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0006f3d7eccb1f0f548d1672,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,hip,NEGATIVE,2,INTERIOR,asym_h-0.250_k-1.250_p-0.02750,asym_h-0.750_k-1.250_p-0.02750,asym_h-0.500_k-1.250_p-0.02750,-0.000123423202796,-0.000123423202792,4.10782519111e-15,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00074091c735734a86fa1e6a,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,knee,NEGATIVE,2,INTERIOR,asym_h-4.000_k-1.500_p+0.00000,asym_h-4.000_k-2.000_p+0.00000,asym_h-4.000_k-1.750_p+0.00000,-0.00237809319637,-0.00237809319637,1.11022302463e-16,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000781bc58ba48a652a88ea7,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,knee,NEGATIVE,2,INTERIOR,asym_h+1.250_k+1.750_p+0.01750,asym_h+1.250_k+1.250_p+0.01750,asym_h+1.250_k+1.500_p+0.01750,-0.0023563454323,-0.0023563454323,2.22044604925e-16,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000782a5e51ddc7b62abcdb8,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,phase,NEGATIVE,2,UPPER_BOUNDARY,asym_h-3.500_k-3.500_p+0.03000,asym_h-3.500_k-3.500_p+0.02500,asym_h-3.500_k-3.500_p+0.02750,4.64194630986e-05,4.64194631007e-05,2.10942374679e-15,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0008329bdb747c6661821cac,calibration_subject_001__nonlinear_stiffness_strong,calibration_subject_001,nonlinear_stiffness_strong,MISMATCH,knee,POSITIVE,2,INTERIOR,asym_h-4.000_k+1.000_p-0.00500,asym_h-4.000_k+1.500_p-0.00500,asym_h-4.000_k+1.250_p-0.00500,0.00213832995477,0.00378440300845,0.00164607305368,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000915e94a92125a1e0e35cf,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,phase,NEGATIVE,2,INTERIOR,asym_h-3.250_k-3.500_p-0.01000,asym_h-3.250_k-3.500_p-0.01500,asym_h-3.250_k-3.500_p-0.01250,4.58281558714e-05,4.5828155844e-05,2.74225087082e-14,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000984a32d2896d3b71e91cc,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,knee,POSITIVE,2,INTERIOR,asym_h-0.500_k-2.750_p+0.00000,asym_h-0.500_k-2.250_p+0.00000,asym_h-0.500_k-2.500_p+0.00000,0.0022287569961,0.0022287569961,3.99680288865e-15,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000a9025dc8c87fe140921ac,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,hip,POSITIVE,2,INTERIOR,asym_h-3.750_k-1.250_p-0.02500,asym_h-3.250_k-1.250_p-0.02500,asym_h-3.500_k-1.250_p-0.02500,-0.000112217388946,0.00071095804072,0.000823175429667,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000aa8f3f5ba9191a658bba7,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,POSITIVE,2,INTERIOR,asym_h+0.500_k+0.500_p-0.00250,asym_h+1.000_k+0.500_p-0.00250,asym_h+0.750_k+0.500_p-0.00250,-0.000661772648765,-0.000661772648765,0,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000b2fe088c0f0b7b0f0943a,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,knee,NEGATIVE,2,INTERIOR,asym_h-3.000_k-3.250_p-0.01500,asym_h-3.000_k-3.750_p-0.01500,asym_h-3.000_k-3.500_p-0.01500,-0.00240393771601,-0.00240393771601,3.33066907388e-16,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000bacfa407ccf843bd3f891,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,knee,POSITIVE,2,UPPER_BOUNDARY,asym_h+0.750_k+1.500_p-0.01500,asym_h+0.750_k+2.000_p-0.01500,asym_h+0.750_k+1.750_p-0.01500,0.0022923768796,0.0022923768796,4.21884749358e-15,e_deltaJ_2,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
