bundle_pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,bundle_length,location_class,start_trajectory_id,endpoint_trajectory_id,intermediate_trajectory_ids,deltaJ_pred,deltaJ_truth,e_deltaJ_bundle,residual_column,residual_computation,n_times_one_step_uncertainty_used,sqrt_n_times_one_step_uncertainty_used,analytic_scaling_formula_used,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dbv_bundle_0000a1c3d4e3596701160aa8,calibration_subject_003__combined_strong,calibration_subject_003,combined_strong,MISMATCH,knee,POSITIVE,3,INTERIOR,asym_h-1.750_k-2.250_p-0.01250,asym_h-1.750_k-1.500_p-0.01250,asym_h-1.750_k-2.000_p-0.01250;asym_h-1.750_k-1.750_p-0.01250,0.00322279595418,0.00532933918874,0.00210654323457,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000171c4ba945d19914d0081,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,phase,NEGATIVE,3,INTERIOR,asym_h-4.000_k+0.250_p+0.00000,asym_h-4.000_k+0.250_p-0.00750,asym_h-4.000_k+0.250_p-0.00250;asym_h-4.000_k+0.250_p-0.00500,7.38929912247e-05,7.38929912252e-05,4.4408920985e-16,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0001c8c398f5492b53235573,calibration_subject_003__combined_strong,calibration_subject_003,combined_strong,MISMATCH,knee,NEGATIVE,3,INTERIOR,asym_h-1.500_k-3.000_p-0.01750,asym_h-1.500_k-3.750_p-0.01750,asym_h-1.500_k-3.250_p-0.01750;asym_h-1.500_k-3.500_p-0.01750,-0.00319307204433,-0.00515064914502,0.00195757710069,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0001cde8233ee6d2ae6c6d93,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,hip,POSITIVE,3,INTERIOR,asym_h-1.750_k+1.500_p-0.02750,asym_h-1.000_k+1.500_p-0.02750,asym_h-1.500_k+1.500_p-0.02750;asym_h-1.250_k+1.500_p-0.02750,-0.00090999626593,-0.0009099962659,2.99760216649e-14,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00020168f36e563e89fe73f9,calibration_subject_003__combined_strong,calibration_subject_003,combined_strong,MISMATCH,hip,POSITIVE,3,INTERIOR,asym_h-2.500_k-2.000_p-0.01000,asym_h-1.750_k-2.000_p-0.01000,asym_h-2.250_k-2.000_p-0.01000;asym_h-2.000_k-2.000_p-0.01000,0.000684893367536,0.00166152141924,0.000976628051707,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00029f202c9071c22758877f,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,phase,POSITIVE,3,INTERIOR,asym_h-1.750_k-3.500_p-0.00750,asym_h-1.750_k-3.500_p+0.00000,asym_h-1.750_k-3.500_p-0.00500;asym_h-1.750_k-3.500_p-0.00250,-6.36319600926e-05,-6.53926541549e-05,1.76069406232e-06,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0002a2bce6827b5b9a00b813,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,knee,POSITIVE,3,INTERIOR,asym_h-4.250_k+1.000_p+0.01750,asym_h-4.250_k+1.750_p+0.01750,asym_h-4.250_k+1.250_p+0.01750;asym_h-4.250_k+1.500_p+0.01750,0.00365750768222,0.00365750768222,0,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000405cc5f5d09b2c4f2fd58,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,phase,POSITIVE,3,INTERIOR,asym_h+1.750_k-1.000_p+0.01500,asym_h+1.750_k-1.000_p+0.02250,asym_h+1.750_k-1.000_p+0.01750;asym_h+1.750_k-1.000_p+0.02000,-6.47741016695e-05,-3.40441786129e-05,3.07299230566e-05,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000442b9e3fef61e632b79cb,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,phase,POSITIVE,3,INTERIOR,asym_h-4.750_k+2.000_p+0.01250,asym_h-4.750_k+2.000_p+0.02000,asym_h-4.750_k+2.000_p+0.01500;asym_h-4.750_k+2.000_p+0.01750,-6.32875914395e-05,-6.3287591394e-05,4.55191440096e-14,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0004907047e980b485b91b32,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,hip,NEGATIVE,3,INTERIOR,asym_h+1.500_k-2.250_p-0.02250,asym_h+0.750_k-2.250_p-0.02250,asym_h+1.250_k-2.250_p-0.02250;asym_h+1.000_k-2.250_p-0.02250,-0.000806070179689,-0.00157769411656,0.000771623936871,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
