bundle_pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,bundle_length,location_class,start_trajectory_id,endpoint_trajectory_id,intermediate_trajectory_ids,deltaJ_pred,deltaJ_truth,e_deltaJ_bundle,residual_column,residual_computation,n_times_one_step_uncertainty_used,sqrt_n_times_one_step_uncertainty_used,analytic_scaling_formula_used,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dbv_bundle_000087ef11ca09c6a198f6eb,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,phase,POSITIVE,5,INTERIOR,asym_h+0.250_k-4.500_p+0.00250,asym_h+0.250_k-4.500_p+0.01500,asym_h+0.250_k-4.500_p+0.00500;asym_h+0.250_k-4.500_p+0.00750;asym_h+0.250_k-4.500_p+0.01000;asym_h+0.250_k-4.500_p+0.01250,-9.4766549641e-05,-7.58546797046e-05,1.89118699364e-05,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00039040bf2cfe579b38c140,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,hip,NEGATIVE,5,UPPER_BOUNDARY,asym_h+2.000_k-0.750_p+0.02250,asym_h+0.750_k-0.750_p+0.02250,asym_h+1.750_k-0.750_p+0.02250;asym_h+1.500_k-0.750_p+0.02250;asym_h+1.250_k-0.750_p+0.02250;asym_h+1.000_k-0.750_p+0.02250,0.0021767055897,0.00261702974361,0.00044032415391,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0003df9490fd350fdd59b6d4,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,knee,NEGATIVE,5,INTERIOR,asym_h-0.250_k-2.750_p+0.01750,asym_h-0.250_k-4.000_p+0.01750,asym_h-0.250_k-3.000_p+0.01750;asym_h-0.250_k-3.250_p+0.01750;asym_h-0.250_k-3.500_p+0.01750;asym_h-0.250_k-3.750_p+0.01750,-0.00584768157375,-0.00584768157375,2.22044604925e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_000486500f4443f75c1c1477,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,hip,NEGATIVE,5,INTERIOR,asym_h+0.250_k+0.250_p+0.02000,asym_h-1.000_k+0.250_p+0.02000,asym_h+0.000_k+0.250_p+0.02000;asym_h-0.250_k+0.250_p+0.02000;asym_h-0.500_k+0.250_p+0.02000;asym_h-0.750_k+0.250_p+0.02000,0.00225590930459,0.00269155253772,0.000435643233125,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0004ad32a4fe8e30234c0ec9,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,POSITIVE,5,INTERIOR,asym_h-2.000_k-3.000_p-0.02750,asym_h-0.750_k-3.000_p-0.02750,asym_h-1.750_k-3.000_p-0.02750;asym_h-1.500_k-3.000_p-0.02750;asym_h-1.250_k-3.000_p-0.02750;asym_h-1.000_k-3.000_p-0.02750,-0.0016908243151,-0.0016908243151,5.55111512313e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0005d94ae660cdb502eed0a8,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,phase,POSITIVE,5,INTERIOR,asym_h-3.750_k-1.250_p+0.00500,asym_h-3.750_k-1.250_p+0.01750,asym_h-3.750_k-1.250_p+0.00750;asym_h-3.750_k-1.250_p+0.01000;asym_h-3.750_k-1.250_p+0.01250;asym_h-3.750_k-1.250_p+0.01500,-6.81692670604e-05,-6.81692669886e-05,7.18314296932e-14,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0006651d03ef5f2e88a32f85,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,knee,POSITIVE,5,INTERIOR,asym_h+1.500_k-4.000_p-0.00500,asym_h+1.500_k-2.750_p-0.00500,asym_h+1.500_k-3.750_p-0.00500;asym_h+1.500_k-3.500_p-0.00500;asym_h+1.500_k-3.250_p-0.00500;asym_h+1.500_k-3.000_p-0.00500,0.00595662202278,0.00627651017497,0.000319888152194,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0007b833184c04f53cc5277f,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,knee,POSITIVE,5,INTERIOR,asym_h-0.250_k-4.000_p-0.02500,asym_h-0.250_k-2.750_p-0.02500,asym_h-0.250_k-3.750_p-0.02500;asym_h-0.250_k-3.500_p-0.02500;asym_h-0.250_k-3.250_p-0.02500;asym_h-0.250_k-3.000_p-0.02500,0.00522623603814,0.00865034249549,0.00342410645734,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0007e23ec1306b63d0102754,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,phase,NEGATIVE,5,INTERIOR,asym_h-4.750_k+0.750_p+0.01250,asym_h-4.750_k+0.750_p+0.00000,asym_h-4.750_k+0.750_p+0.01000;asym_h-4.750_k+0.750_p+0.00750;asym_h-4.750_k+0.750_p+0.00500;asym_h-4.750_k+0.750_p+0.00250,0.000134469459034,0.000142438184356,7.96872532249e-06,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00085dbbaea4825fdd16c1a1,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,hip,NEGATIVE,5,INTERIOR,asym_h-3.000_k-1.500_p+0.02750,asym_h-4.250_k-1.500_p+0.02750,asym_h-3.250_k-1.500_p+0.02750;asym_h-3.500_k-1.500_p+0.02750;asym_h-3.750_k-1.500_p+0.02750;asym_h-4.000_k-1.500_p+0.02750,0.0014381411752,0.00143814117515,4.55191440096e-14,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
