pair_id,selection_hash,coordinate,trust_level,trust_step,location_class,trajectory_i,trajectory_j,alpha_i_hip,alpha_i_knee,alpha_i_phase,alpha_j_hip,alpha_j_knee,alpha_j_phase,delta_alpha_hip,delta_alpha_knee,delta_alpha_phase,alpha_distance_formal_grid_steps,alpha_distance_definition,canonical_orientation,reverse_pair_error_is_symmetric,inside_existing_generator_bounds,geometrically_admissible_pair,search_range_expanded,truth_used_for_pair_enumeration,final_truth_landscape_used_for_pair_enumeration,within_stratum_hash_rank,predicted_delta_J,truth_delta_J,e_delta_J,outcome_status,used_for_model_fitting,used_for_adaptation_update,heldout_final_test,used_by_P2_V1,formal_P2_V2_guard_input,threshold_frozen,plan_must_be_hashed_before_outcome_evaluation
dlv_pair_000006b9f8a79d69f2a134ae,000006b9f8a79d69f2a134ae37e355db3021429855329cd90ae766b797f1d3f9,hip,MINIMUM,0.25,INTERIOR,asym_h-4.500_k+1.750_p+0.01250,asym_h-4.250_k+1.750_p+0.01250,-4.5,1.75,0.0125,-4.25,1.75,0.0125,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,1,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0002c2bd3b8c023d56d971c8,0002c2bd3b8c023d56d971c8233059f7d020fbdf8a5c707dac86fed81fa626ca,hip,MINIMUM,0.25,INTERIOR,asym_h-1.000_k-4.500_p-0.02250,asym_h-0.750_k-4.500_p-0.02250,-1,-4.5,-0.0225,-0.75,-4.5,-0.0225,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,2,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0007d9a4359c85bfa322d8e5,0007d9a4359c85bfa322d8e5a381be00df9af6360dff734b8ad7a996233aa321,hip,MINIMUM,0.25,INTERIOR,asym_h-1.000_k-0.250_p-0.00750,asym_h-0.750_k-0.250_p-0.00750,-1,-0.25,-0.0075,-0.75,-0.25,-0.0075,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,3,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0008d1722a8105961d9aa864,0008d1722a8105961d9aa864fb950a06d9e4e9033b71f3172ab24868d94c6946,hip,MINIMUM,0.25,INTERIOR,asym_h-4.750_k-1.750_p-0.02750,asym_h-4.500_k-1.750_p-0.02750,-4.75,-1.75,-0.0275,-4.5,-1.75,-0.0275,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,4,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_000e1ef173e2bdbdbd200e8d,000e1ef173e2bdbdbd200e8dca5faee19c65c8e2b6ded8a5f6cb439df01e65e7,hip,MINIMUM,0.25,INTERIOR,asym_h-4.500_k+1.500_p-0.01750,asym_h-4.250_k+1.500_p-0.01750,-4.5,1.5,-0.0175,-4.25,1.5,-0.0175,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,5,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_00118fd29c54553f43bfa711,00118fd29c54553f43bfa7118f0f1e74e50819c0d5ab7407014e467159e64be3,hip,MINIMUM,0.25,INTERIOR,asym_h-0.750_k-1.750_p-0.00750,asym_h-0.500_k-1.750_p-0.00750,-0.75,-1.75,-0.0075,-0.5,-1.75,-0.0075,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,6,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0014706d4a38ce22d514586e,0014706d4a38ce22d514586ed7d1c0060010ac4b8e63012933a1e9744f9e4e4a,hip,MINIMUM,0.25,INTERIOR,asym_h+1.250_k-3.250_p-0.02000,asym_h+1.500_k-3.250_p-0.02000,1.25,-3.25,-0.02,1.5,-3.25,-0.02,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,7,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0014c1b3e9ed44d74d09f93d,0014c1b3e9ed44d74d09f93d710e6814505614fcaef8a7195eac2ad91c56fa18,hip,MINIMUM,0.25,INTERIOR,asym_h+0.500_k+1.750_p-0.02750,asym_h+0.750_k+1.750_p-0.02750,0.5,1.75,-0.0275,0.75,1.75,-0.0275,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,8,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_001906d19b5de7552c3326a1,001906d19b5de7552c3326a10575bc11fa98b25e1b019dfd5e73a084c758508d,hip,MINIMUM,0.25,INTERIOR,asym_h+0.750_k-1.250_p-0.01500,asym_h+1.000_k-1.250_p-0.01500,0.75,-1.25,-0.015,1,-1.25,-0.015,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,9,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_00191fb932b34acbe9eaa5da,00191fb932b34acbe9eaa5da095610ce2a9d8ddb1a6a7be16dde3517cb42c44b,hip,MINIMUM,0.25,INTERIOR,asym_h-4.250_k-2.250_p-0.02250,asym_h-4.000_k-2.250_p-0.02250,-4.25,-2.25,-0.0225,-4,-2.25,-0.0225,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,10,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
