pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,trust_level,trust_step,location_class,trajectory_i,trajectory_j,deltaJ_pred,deltaJ_truth,e_deltaJ_1,reverse_deltaJ_pred,reverse_deltaJ_truth,reverse_e_deltaJ_1,residual_computation,reverse_pair_error_is_symmetric,negative_direction_is_independent_pair,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dlv_pair_000006b9f8a79d69f2a134ae,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,POSITIVE_CANONICAL,MINIMUM,0.25,INTERIOR,asym_h-4.500_k+1.750_p+0.01250,asym_h-4.250_k+1.750_p+0.01250,-0.000365905305659,-0.000365905305659,2.22044604925e-16,0.000365905305659,0.000365905305659,2.22044604925e-16,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000045af365e954bc2b0f73c,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,phase,POSITIVE_CANONICAL,HALF,0.005,INTERIOR,asym_h+0.750_k-4.250_p+0.00500,asym_h+0.750_k-4.250_p+0.01000,-3.32330987536e-05,-3.32330987538e-05,2.22044604925e-16,3.32330987536e-05,3.32330987538e-05,2.22044604925e-16,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0001081c8581c60034d25557,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,phase,POSITIVE_CANONICAL,MINIMUM,0.0025,UPPER_EDGE,asym_h-4.250_k+0.000_p+0.02750,asym_h-4.250_k+0.000_p+0.03000,-2.28882146045e-05,-2.28882146045e-05,0,2.28882146045e-05,2.28882146045e-05,0,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_00019cf4a53fbf4be440df91,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,POSITIVE_CANONICAL,INITIAL,1,INTERIOR,asym_h-3.750_k-3.500_p-0.00250,asym_h-2.750_k-3.500_p-0.00250,-0.00139473928823,-0.00139473928823,3.33066907388e-16,0.00139473928823,0.00139473928823,3.33066907388e-16,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0001aa159b8440e38116209e,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,knee,POSITIVE_CANONICAL,INITIAL,1,INTERIOR,asym_h-1.750_k-4.000_p-0.00250,asym_h-1.750_k-3.000_p-0.00250,0.00443765551527,0.00443765551527,7.43849426499e-15,-0.00443765551527,-0.00443765551527,7.43849426499e-15,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0002c2bd3b8c023d56d971c8,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,hip,POSITIVE_CANONICAL,MINIMUM,0.25,INTERIOR,asym_h-1.000_k-4.500_p-0.02250,asym_h-0.750_k-4.500_p-0.02250,-0.000495811171773,-0.000495811171773,0,0.000495811171773,0.000495811171773,0,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0002c70b5d52c25bbd3d03aa,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,POSITIVE_CANONICAL,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k+1.250_p-0.01000,asym_h-4.750_k+1.250_p-0.01000,-0.000367903626673,-0.000367903626673,2.22044604925e-16,0.000367903626673,0.000367903626673,2.22044604925e-16,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000453ae3e7fb394f0969b24,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,knee,POSITIVE_CANONICAL,HALF,0.5,INTERIOR,asym_h+0.250_k+0.250_p-0.02000,asym_h+0.250_k+0.750_p-0.02000,0.00234528043276,0.00234528043276,4.4408920985e-16,-0.00234528043276,-0.00234528043276,4.4408920985e-16,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0004c49febb111b2e9bb07fa,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,hip,POSITIVE_CANONICAL,HALF,0.5,INTERIOR,asym_h-4.250_k-1.500_p-0.00250,asym_h-3.750_k-1.500_p-0.00250,0.000467758456696,0.000737511683654,0.000269753226958,-0.000467758456696,-0.000737511683654,0.000269753226958,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0005c90608d3de5086a94fa7,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,knee,POSITIVE_CANONICAL,MINIMUM,0.25,INTERIOR,asym_h-0.750_k-3.000_p-0.01750,asym_h-0.750_k-2.750_p-0.01750,0.00122980756749,0.00131721866765,8.74111001579e-05,-0.00122980756749,-0.00131721866765,8.74111001579e-05,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000642d4ed7ec403aa2df7f7,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,phase,POSITIVE_CANONICAL,MINIMUM,0.0025,INTERIOR,asym_h+1.750_k+0.000_p-0.01250,asym_h+1.750_k+0.000_p-0.01000,-2.73080091333e-05,-2.73080091195e-05,1.37667655054e-14,2.73080091333e-05,2.73080091195e-05,1.37667655054e-14,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000649940aacd97d9a4a09bb,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,hip,POSITIVE_CANONICAL,HALF,0.5,INTERIOR,asym_h-3.000_k-1.000_p+0.01500,asym_h-2.500_k-1.000_p+0.01500,-0.000305862275314,-0.000305862275314,0,0.000305862275314,0.000305862275314,0,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_00075f2e6c465570d20dbfa4,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,hip,POSITIVE_CANONICAL,HALF,0.5,INTERIOR,asym_h-0.250_k+1.250_p+0.02250,asym_h+0.250_k+1.250_p+0.02250,-9.58214242905e-05,0.000864879160199,0.000960700584489,9.58214242905e-05,-0.000864879160199,0.000960700584489,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0007d9a4359c85bfa322d8e5,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,hip,POSITIVE_CANONICAL,MINIMUM,0.25,INTERIOR,asym_h-1.000_k-0.250_p-0.00750,asym_h-0.750_k-0.250_p-0.00750,-0.000294060163086,-0.000401101844911,0.000107041681825,0.000294060163086,0.000401101844911,0.000107041681825,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000846dbdf42b4d5401683ce,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,hip,POSITIVE_CANONICAL,INITIAL,1,INTERIOR,asym_h-0.500_k+0.500_p-0.02250,asym_h+0.500_k+0.500_p-0.02250,-0.000574626221499,-0.000574626221499,0,0.000574626221499,0.000574626221499,0,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0008703ccf4ffc243694551c,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,phase,POSITIVE_CANONICAL,INITIAL,0.01,INTERIOR,asym_h+1.750_k-5.000_p+0.01250,asym_h+1.750_k-5.000_p+0.02250,-6.77271080151e-05,-1.8304680917e-05,4.9422427098e-05,6.77271080151e-05,1.8304680917e-05,4.9422427098e-05,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0008d1722a8105961d9aa864,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,hip,POSITIVE_CANONICAL,MINIMUM,0.25,INTERIOR,asym_h-4.750_k-1.750_p-0.02750,asym_h-4.500_k-1.750_p-0.02750,-0.000481257665129,-0.00055859914964,7.73414845101e-05,0.000481257665129,0.00055859914964,7.73414845101e-05,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_00097d643d4fd0153d035a32,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,knee,POSITIVE_CANONICAL,MINIMUM,0.25,INTERIOR,asym_h-1.250_k+0.000_p-0.02750,asym_h-1.250_k+0.250_p-0.02750,0.00117523198222,0.00117523198222,2.22044604925e-16,-0.00117523198222,-0.00117523198222,2.22044604925e-16,DIRECT_PAIRED_ENDPOINT_DIFFERENCE,True,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
