summary_scope,n,mean,median,P90,P95,P99,max,decision_scale,percentile_method,threshold_selected,data_role,coordinate,location_class,calibration_category,direction,direction_evidence_status
OVERALL,324,0.000360508367097,2.48469401165e-08,0.00127184341262,0.00196762280892,0.0036585815112,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,,,
AXIS,108,0.000290292974216,3.27988327315e-05,0.000883040136383,0.00146039632888,0.00196441586535,0.00209818913571,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,hip,,,,
AXIS,108,0.000774712834337,3.12217687499e-05,0.00271852962202,0.00331381595855,0.00642200129589,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,,,,
AXIS,108,1.65192927363e-05,2.48469383402e-08,4.99050485801e-05,6.40277032798e-05,0.000107478068908,0.00018280106643,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,,,,
LOCATION,108,0.000360606801196,2.48469390063e-08,0.00136360903247,0.00185939635696,0.00338864506472,0.00648979433594,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,INTERIOR,,,
LOCATION,108,0.00030435691615,1.7632510661e-06,0.00110956922095,0.00144942035711,0.0026610137199,0.0055213223352,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,LOWER_EDGE,,,
LOCATION,108,0.000416561383943,2.44137539152e-06,0.00156259812453,0.00202707315293,0.00370106451294,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,UPPER_EDGE,,,
MATCHED_MISMATCH,162,5.65048693706e-15,3.33066907388e-16,1.79301018477e-14,3.52384788016e-14,5.80291370511e-14,6.10622663544e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,MATCHED,,
MATCHED_MISMATCH,162,0.000721016734188,0.000241645111805,0.00197189470277,0.0029738006789,0.00589902641549,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,MISMATCH,,
DIRECTION,324,0.000360508367097,2.48469401165e-08,0.00127184341262,0.00196762280892,0.0036585815112,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
DIRECTION,324,0.000360508367097,2.48469401165e-08,0.00127184341262,0.00196762280892,0.0036585815112,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,4.63209717496e-15,2.22044604925e-16,1.30784272301e-14,2.35644836977e-14,3.37563310637e-14,3.63042929052e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,hip,INTERIOR,MATCHED,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,0.000581799885759,0.000340597881886,0.00143799744868,0.00168647902338,0.00192164659705,0.00198043849047,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,hip,INTERIOR,MISMATCH,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
