row_type,decision_scale,coordinate,scale_only_P95,scale_axis_P95,difference_axis_minus_scale,policy_id,trials,missed_improvement,false_improvement,final_J,regret,winner_selected
UNCERTAINTY_CANDIDATE,2-step,hip,0.00164217053717,0.00085683249595,-0.00078533804122,,,,,,,False
UNCERTAINTY_CANDIDATE,2-step,knee,0.00164217053717,0.00279673276554,0.00115456222837,,,,,,,False
UNCERTAINTY_CANDIDATE,2-step,phase,0.00164217053717,6.27649060742e-05,-0.0015794056311,,,,,,,False
UNCERTAINTY_CANDIDATE,3-step,hip,0.00244544326845,0.00134716249484,-0.00109828077361,,,,,,,False
UNCERTAINTY_CANDIDATE,3-step,knee,0.00244544326845,0.00428166669801,0.00183622342956,,,,,,,False
UNCERTAINTY_CANDIDATE,3-step,phase,0.00244544326845,9.18674196924e-05,-0.00235357584876,,,,,,,False
UNCERTAINTY_CANDIDATE,5-step,hip,0.00400496043747,0.00212597118685,-0.00187898925062,,,,,,,False
UNCERTAINTY_CANDIDATE,5-step,knee,0.00400496043747,0.00706344672104,0.00305848628357,,,,,,,False
UNCERTAINTY_CANDIDATE,5-step,phase,0.00400496043747,0.000163489330986,-0.00384147110648,,,,,,,False
POLICY_OUTCOME,ALL,ALL,,,,R2_G0_BUNDLE_SCALE_P95_S2,51,13,0,0.987946423796,0.0229902885925,False
POLICY_OUTCOME,ALL,ALL,,,,R4_G0_BUNDLE_SCALE_AXIS_P95_S2,51,13,0,0.987946423796,0.0229902885925,False
