authorization_id,iteration,policy_id,bundle_policy_id,coordinate,direction,bundle_length,start_trajectory_id,first_step_trajectory_id,endpoint_trajectory_id,start_alpha_hip,start_alpha_knee,start_alpha_phase,first_step_alpha_hip,first_step_alpha_knee,first_step_alpha_phase,endpoint_alpha_hip,endpoint_alpha_knee,endpoint_alpha_phase,intermediate_trajectory_ids,predicted_cumulative_delta_J,calibrated_uncertainty,uncertainty_percentile,uncertainty_stratification,meaningful_improvement_tolerance,bundle_lower_bound_margin,path_exists,formal_neighbor_continuous,same_axis,direction_consistent,mixed_axis,direction_reversal,all_intermediate_nodes_admissible,patient_envelope_compliant,all_nodes_model_supported,support_gate_percent,reference_provenance_valid,bundle_evidence_authorizes_next_step,selected_authorization,authorized_execution_count,queued_later_steps,authorization_lifetime,authorization_invalidated_after_execution,truth_used_for_authorization,case_id,subject_id,scenario_name,start_J_truth_posthoc,endpoint_J_truth_posthoc,truth_cumulative_delta_J_posthoc,truth_bundle_meaningful_improvement,bundle_induced_false_improvement,posthoc_truth_fed_back_to_policy
bundle_auth_c53f7234558cf2ed4ad4c3ac,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,NEGATIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h-0.250_k+0.000_p+0.00000,asym_h-0.500_k+0.000_p+0.00000,0,0,0,-0.25,0,0,-0.5,0,0,asym_h-0.250_k+0.000_p+0.00000,0.000974700866361,0.00164217053717,P95,SCALE_ONLY,0.005,-0.00761687140353,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00097470087,0.000974700866313,False,False,False
bundle_auth_85b02a3202107e90e0e98ead,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,NEGATIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h-0.250_k+0.000_p+0.00000,asym_h-0.750_k+0.000_p+0.00000,0,0,0,-0.25,0,0,-0.75,0,0,asym_h-0.250_k+0.000_p+0.00000;asym_h-0.500_k+0.000_p+0.00000,0.00146908239629,0.00244544326845,P95,SCALE_ONLY,0.005,-0.00891452566474,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.0014690824,0.00146908239621,False,False,False
bundle_auth_ba3be85e37dbef2f2ef13e7d,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,NEGATIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h-0.250_k+0.000_p+0.00000,asym_h-1.250_k+0.000_p+0.00000,0,0,0,-0.25,0,0,-1.25,0,0,asym_h-0.250_k+0.000_p+0.00000;asym_h-0.500_k+0.000_p+0.00000;asym_h-0.750_k+0.000_p+0.00000;asym_h-1.000_k+0.000_p+0.00000,0.00246721562233,0.00400496043747,P95,SCALE_ONLY,0.005,-0.0114721760598,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00246721562,0.00246721562221,False,False,False
bundle_auth_95dfd04c66348c409a20485b,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,POSITIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.250_k+0.000_p+0.00000,asym_h+0.500_k+0.000_p+0.00000,0,0,0,0.25,0,0,0.5,0,0,asym_h+0.250_k+0.000_p+0.00000,-0.000971243391789,0.00164217053717,P95,SCALE_ONLY,0.005,-0.00567092714538,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.999028756608,-0.000971243391742,False,False,False
bundle_auth_ee82ae95c3b4c504cdfc44eb,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,POSITIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.250_k+0.000_p+0.00000,asym_h+0.750_k+0.000_p+0.00000,0,0,0,0.25,0,0,0.75,0,0,asym_h+0.250_k+0.000_p+0.00000;asym_h+0.500_k+0.000_p+0.00000,-0.00144976030245,0.00244544326845,P95,SCALE_ONLY,0.005,-0.005995682966,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.998550239698,-0.00144976030238,False,False,False
bundle_auth_756f687f615e3826574cf42e,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,POSITIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.250_k+0.000_p+0.00000,asym_h+1.250_k+0.000_p+0.00000,0,0,0,0.25,0,0,1.25,0,0,asym_h+0.250_k+0.000_p+0.00000;asym_h+0.500_k+0.000_p+0.00000;asym_h+0.750_k+0.000_p+0.00000;asym_h+1.000_k+0.000_p+0.00000,-0.0023971292156,0.00400496043747,P95,SCALE_ONLY,0.005,-0.00660783122187,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.997602870785,-0.00239712921548,False,False,False
bundle_auth_0bcd1d5881b731a83aa4cde4,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,knee,NEGATIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-0.250_p+0.00000,asym_h+0.000_k-0.500_p+0.00000,0,0,0,0,-0.25,0,0,-0.5,0,asym_h+0.000_k-0.250_p+0.00000,-0.00296389175414,0.00164217053717,P95,SCALE_ONLY,0.005,-0.00367827878303,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.997036108246,-0.0029638917541,False,False,False
bundle_auth_2cb972ef495b91d972140b3d,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,knee,NEGATIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-0.250_p+0.00000,asym_h+0.000_k-0.750_p+0.00000,0,0,0,0,-0.25,0,0,-0.75,0,asym_h+0.000_k-0.250_p+0.00000;asym_h+0.000_k-0.500_p+0.00000,-0.00443836783305,0.00244544326845,P95,SCALE_ONLY,0.005,-0.0030070754354,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.995561632167,-0.004438367833,False,False,False
bundle_auth_b957b32fbf7262eeb5a841a1,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,knee,NEGATIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-0.250_p+0.00000,asym_h+0.000_k-1.250_p+0.00000,0,0,0,0,-0.25,0,0,-1.25,0,asym_h+0.000_k-0.250_p+0.00000;asym_h+0.000_k-0.500_p+0.00000;asym_h+0.000_k-0.750_p+0.00000;asym_h+0.000_k-1.000_p+0.00000,-0.00737277804413,0.00400496043747,P95,SCALE_ONLY,0.005,-0.00163218239334,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.992627221956,-0.00737277804404,True,False,False
bundle_auth_b843bccceaecd5f0b8dbaf45,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,knee,POSITIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.250_p+0.00000,asym_h+0.000_k+0.500_p+0.00000,0,0,0,0,0.25,0,0,0.5,0,asym_h+0.000_k+0.250_p+0.00000,0.00298258296694,0.00164217053717,P95,SCALE_ONLY,0.005,-0.00962475350411,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00298258297,0.0029825829669,False,False,False
