policy_id,case_class,case_count,trials,EXPLORE,EXPLOIT,bundle_authorizations,missed_improvement,executed_false_improvement,bundle_endpoint_false_improvement,final_J,regret
R0_P2_V1_G0_NO_BUNDLE_S0,MATCHED,7,82,56,26,0,6,0,0,0.978280489258,0.00849910323312
R1_G0_BUNDLE_SCALE_P95_S0,MATCHED,7,82,56,26,0,6,0,0,0.978280489258,0.00849910323312
R2_G0_BUNDLE_SCALE_P95_S2,MATCHED,7,46,20,26,0,6,0,0,0.978280489258,0.00849910323312
R3_G0_BUNDLE_SCALE_P99_S2,MATCHED,7,46,20,26,0,6,0,0,0.978280489258,0.00849910323312
R4_G0_BUNDLE_SCALE_AXIS_P95_S2,MATCHED,7,46,20,26,0,6,0,0,0.978280489258,0.00849910323312
R0_P2_V1_G0_NO_BUNDLE_S0,MISMATCH,8,5,0,5,0,7,0,0,0.996404116516,0.0356700757819
R1_G0_BUNDLE_SCALE_P95_S0,MISMATCH,8,5,0,5,0,7,0,0,0.996404116516,0.0356700757819
R2_G0_BUNDLE_SCALE_P95_S2,MISMATCH,8,5,0,5,0,7,0,0,0.996404116516,0.0356700757819
R3_G0_BUNDLE_SCALE_P99_S2,MISMATCH,8,5,0,5,0,7,0,0,0.996404116516,0.0356700757819
R4_G0_BUNDLE_SCALE_AXIS_P95_S2,MISMATCH,8,5,0,5,0,7,0,0,0.996404116516,0.0356700757819
