case_id,subject_id,scenario_name,policy_id,policy_role,iteration,trial_purpose,selection_mode,trajectory_id,alpha_hip,alpha_knee,alpha_phase,operating_alpha_hip_before,operating_alpha_knee_before,operating_alpha_phase_before,operating_alpha_hip_after,operating_alpha_knee_after,operating_alpha_phase_after,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,operating_actual_J_before,best_actual_J_before,best_actual_J_after,delta_J_pred_one_step,delta_J_actual_vs_operating,direct_decision_uncertainty,accepted_meaningful_improvement,executed_false_improvement,bundle_step_harmful,bundle_authorization_id,bundle_length,bundle_authorized_execution_count,queued_later_bundle_steps,bundle_authorization_invalidated,model_refit_after_execution,full_map_recomputed_after_execution,support_growth,decision_value_zero,consecutive_zero_decision_value,cumulative_regret_vs_best_before,truth_accessed_before_selection,selection_token,manifest_sha_verified_before_truth,execution_status,stop_reason_after_iteration
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99951047583,0.999510094092,1,1,1,-0.000489524170139,-0.000489905908342,1.7386980744e-11,False,False,False,,,0,False,False,True,True,4450,False,0,0,False,92a82647cefa61bfc1d499bd122f9cf86d436e1728c1359bb58edf2750c10931,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,2,EXPLOIT,DIRECT_ONE_STEP,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0.994092004847,0.994087351107,1,1,0.994087351107,-0.00590799515335,-0.005912648893,1.7386980744e-11,True,False,False,,,0,False,False,True,True,0,False,0,0,False,ac190ff03a3187088d7e2c971a4d601446cdb6f28ff0701364e1dbcb00898113,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,3,EXPLOIT,DIRECT_ONE_STEP,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0,-1,0,0,-2,0,0.988261894968,0.988257209561,0.994087351107,0.994087351107,0.988257209561,-0.00583010987863,-0.00583014154556,1.7386980744e-11,True,False,False,,,0,False,False,True,True,0,False,0,0,False,4ae5f24047c6250c59a6a732efcaaf55b47815d7938a93a51eccd2f8807224a2,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,4,EXPLOIT,DIRECT_ONE_STEP,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0,-2,0,0,-3,0,0.982508999748,0.982504282239,0.988257209561,0.988257209561,0.982504282239,-0.00575289522019,-0.00575292732249,1.7386980744e-11,True,False,False,,,0,False,False,True,True,0,False,0,0,False,9fe80a3b81a62aceafa38530bd8f957c1e35ca5c16dcc66a7f4fc568cf4f1357,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,5,EXPLOIT,DIRECT_ONE_STEP,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0,-3,0,0,-4,0,0.976832998152,0.976828248108,0.982504282239,0.982504282239,0.976828248108,-0.00567600159601,-0.00567603413118,1.7386980744e-11,True,False,False,,,0,False,False,True,True,0,False,0,0,False,40ae9668373d65d165498f103062a9694eb325eefca434cbca48aba1fcb7c34c,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,6,EXPLOIT,DIRECT_ONE_STEP,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0,-4,0,0,-5,0,0.971233542623,0.971228759614,0.976828248108,0.976828248108,0.971228759614,-0.0055994555285,-0.00559948849373,1.7386980744e-11,True,False,False,,,0,False,False,True,True,0,False,0,0,False,b70208a63792431249b96b388503db7cf4f812f9ccb594ecfc0f69665a10c102,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,7,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0,-5,0,0,-5,0,0.999028756608,0.999028374935,0.971228759614,0.971228759614,0.971228759614,0.0277952139849,0.027799615321,1.7386980744e-11,False,False,False,,,0,False,False,True,True,550,True,1,0.027799615321,False,ff0309bff5bc891778c21fcaa00392b1a30f5b0736d43f6a1d525151fb5aac28,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,8,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0,-5,0,0,-5,0,0.998550239698,0.998549858084,0.971228759614,0.971228759614,0.971228759614,0.0273166970742,0.0273210984702,1.7386980744e-11,False,False,False,,,0,False,False,True,True,550,True,2,0.0551207137913,False,1f8a8dee1965793367baba21da26ff9c693f9534590c9f0cb80907c461ad11ac,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,9,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0,-5,0,0,-5,0,0.998074939614,0.998074558055,0.971228759614,0.971228759614,0.971228759614,0.0268413969907,0.0268457984414,1.7386980744e-11,False,False,False,,,0,False,False,True,True,550,True,3,0.0819665122326,False,79c44f503d2c804ddd07f1ab9da9a199444d37ce6435183e6ee85b2cf652fca3,True,EXECUTED,
baseline__matched_linear,baseline,matched_linear,R0_P2_V1_G0_NO_BUNDLE_S0,P2_V1_COMPARATOR,10,EXPLORE,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0,-5,0,0,-5,0,0.997602870784,0.997602489275,0.971228759614,0.971228759614,0.971228759614,0.0263693281611,0.0263737296612,1.7386980744e-11,False,False,False,,,0,False,False,True,True,550,True,4,0.108340241894,False,08e00de48526a18b2402e77d844c08f99c7811bf19e3e4bed6993388dab96e89,True,EXECUTED,
