subject_id,candidate_role,alpha_hip,alpha_knee,alpha_phase,reference_hip_rms_torque_nm,reference_knee_rms_torque_nm,candidate_hip_rms_torque_nm,candidate_knee_rms_torque_nm,candidate_minus_reference_hip_rms_nm,candidate_minus_reference_knee_rms_nm,R_h,R_k,J_unchanged_formula,normalization_removes_absolute_subject_scale_by_design,objective_modified,truth_role,reference_hip_scale_vs_baseline,reference_knee_scale_vs_baseline
baseline,REFERENCE,0,0,0,30.0318613626,12.3590762994,30.0318613626,12.3590762994,0,0,1,1,1,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,1
baseline,P2_SHARED_FINAL,0,-5,0,30.0318613626,12.3590762994,30.0785403106,11.6167306178,0.0466789480342,-0.742345681615,1.00155431418,0.939935180945,0.971233542624,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,1
baseline,TRUTH_LOCAL_MINIMUM,0,-0.25,0,30.0318613626,12.3590762994,30.0346368453,12.321207622,0.00277548274682,-0.0378686774133,1.00009241794,0.996935962163,0.998515437305,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,1
baseline,TRUTH_GLOBAL_MINIMUM,2,-5,0.03,30.0318613626,12.3590762994,29.9246279724,11.5922344413,-0.107233390182,-0.766841858119,0.996429345857,0.937953141518,0.967633075336,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,1
hip_stiff,REFERENCE,0,0,0,46.3571357897,12.3590762994,46.3571357897,12.3590762994,0,0,1,1,1,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.54359848795,1
hip_stiff,P2_SHARED_FINAL,0,-5,0,46.3571357897,12.3590762994,46.4152575058,11.6167306178,0.0581217160892,-0.742345681615,1.00125378143,0.939935180945,0.971078595998,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.54359848795,1
hip_stiff,TRUTH_LOCAL_MINIMUM,0,-0.25,0,46.3571357897,12.3590762994,46.3606020127,12.321207622,0.0034662230212,-0.0378686774133,1.00007477216,0.996935962163,0.998506600518,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.54359848795,1
hip_stiff,TRUTH_GLOBAL_MINIMUM,1.25,-5,0.03,46.3571357897,12.3590762994,46.4613521879,11.5991925691,0.10421639826,-0.759883730359,1.00224811987,0.938516138913,0.970905205669,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.54359848795,1
knee_stiff,REFERENCE,0,0,0,30.0318613626,37.9385181736,30.0318613626,37.9385181736,0,0,1,1,1,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,3.06968880638
knee_stiff,P2_SHARED_FINAL,0,0,0,30.0318613626,37.9385181736,30.0318613626,37.9385181736,0,0,1,1,1,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,3.06968880638
knee_stiff,TRUTH_LOCAL_MINIMUM,0,-0.25,0,30.0318613626,37.9385181736,30.0346368453,37.8500377006,0.00277548274682,-0.0884804729616,1.00009241794,0.997667793124,0.998880841206,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,3.06968880638
knee_stiff,TRUTH_GLOBAL_MINIMUM,2,-5,0.03,30.0318613626,37.9385181736,29.9246279724,36.141228176,-0.107233390182,-1.79728999761,0.996429345857,0.952626246777,0.974773873094,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1,3.06968880638
heavy_leg,REFERENCE,0,0,0,34.7561086427,11.1388386375,34.7561086427,11.1388386375,0,0,1,1,1,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.15730784126,0.901267891519
heavy_leg,P2_SHARED_FINAL,0,-5,0,34.7561086427,11.1388386375,34.8098716847,10.3903868223,0.0537630420685,-0.748451815169,1.00154686598,0.932807015208,0.967787438536,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.15730784126,0.901267891519
heavy_leg,TRUTH_LOCAL_MINIMUM,0,-0.25,0,34.7561086427,11.1388386375,34.7592991339,11.1004156953,0.00319049123521,-0.0384229422355,1.00009179656,0.99655054324,0.998322740095,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.15730784126,0.901267891519
heavy_leg,TRUTH_GLOBAL_MINIMUM,2,-5,0.0025,34.7561086427,11.1388386375,34.5774167061,10.3643686924,-0.178691936588,-0.774469945096,0.99485868978,0.930471212458,0.963203117167,True,False,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY,1.15730784126,0.901267891519
