subject_id,trajectory_id,axis_value,J_truth,profile_axis,axis_step,truth_role
baseline,asym_h-5.000_k+0.000_p+0.00000,-5,1.01033967806,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-4.750_k+0.000_p+0.00000,-4.75,1.00979421723,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-4.500_k+0.000_p+0.00000,-4.5,1.00925163402,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-4.250_k+0.000_p+0.00000,-4.25,1.0087119447,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-4.000_k+0.000_p+0.00000,-4,1.00817516549,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-3.750_k+0.000_p+0.00000,-3.75,1.0076413125,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-3.500_k+0.000_p+0.00000,-3.5,1.0071104018,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-3.250_k+0.000_p+0.00000,-3.25,1.00658244935,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-3.000_k+0.000_p+0.00000,-3,1.00605747103,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-2.750_k+0.000_p+0.00000,-2.75,1.00553548264,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-2.500_k+0.000_p+0.00000,-2.5,1.00501649992,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-2.250_k+0.000_p+0.00000,-2.25,1.0045005385,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-2.000_k+0.000_p+0.00000,-2,1.00398761393,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-1.750_k+0.000_p+0.00000,-1.75,1.00347774168,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-1.500_k+0.000_p+0.00000,-1.5,1.00297093714,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-1.250_k+0.000_p+0.00000,-1.25,1.00246721562,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-1.000_k+0.000_p+0.00000,-1,1.00196659233,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-0.750_k+0.000_p+0.00000,-0.75,1.0014690824,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-0.500_k+0.000_p+0.00000,-0.5,1.00097470087,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h-0.250_k+0.000_p+0.00000,-0.25,1.0004834627,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p+0.00000,0,1,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.250_k+0.000_p+0.00000,0.25,0.99951047583,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.500_k+0.000_p+0.00000,0.5,0.999028756608,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.750_k+0.000_p+0.00000,0.75,0.998550239698,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+1.000_k+0.000_p+0.00000,1,0.998074939614,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+1.250_k+0.000_p+0.00000,1.25,0.997602870785,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+1.500_k+0.000_p+0.00000,1.5,0.997134047546,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+1.750_k+0.000_p+0.00000,1.75,0.996668484144,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+2.000_k+0.000_p+0.00000,2,0.996206194737,hip_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-5.000_p+0.00000,-5,0.971233542624,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-4.750_p+0.00000,-4.75,0.972626250303,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-4.500_p+0.00000,-4.5,0.974023724875,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-4.250_p+0.00000,-4.25,0.975425972229,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-4.000_p+0.00000,-4,0.976832998152,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-3.750_p+0.00000,-3.75,0.978244808332,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-3.500_p+0.00000,-3.5,0.979661408353,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-3.250_p+0.00000,-3.25,0.981082803698,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-3.000_p+0.00000,-3,0.982508999748,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-2.750_p+0.00000,-2.75,0.983940001779,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-2.500_p+0.00000,-2.5,0.985375814964,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-2.250_p+0.00000,-2.25,0.986816444372,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-2.000_p+0.00000,-2,0.988261894968,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-1.750_p+0.00000,-1.75,0.989712171612,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-1.500_p+0.00000,-1.5,0.991167279059,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-1.250_p+0.00000,-1.25,0.992627221956,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-1.000_p+0.00000,-1,0.994092004847,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-0.750_p+0.00000,-0.75,0.995561632167,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-0.500_p+0.00000,-0.5,0.997036108246,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k-0.250_p+0.00000,-0.25,0.998515437305,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p+0.00000,0,1,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.250_p+0.00000,0.25,1.00148867071,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.500_p+0.00000,0.5,1.00298258297,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.750_p+0.00000,0.75,1.00448136401,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+1.000_p+0.00000,1,1.00598501752,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+1.250_p+0.00000,1.25,1.00749354706,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+1.500_p+0.00000,1.5,1.00900695611,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+1.750_p+0.00000,1.75,1.010525248,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+2.000_p+0.00000,2,1.01204842598,knee_delta,0.25,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.03000,-0.03,1.00033579089,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.02750,-0.0275,1.00030386685,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.02500,-0.025,1.0002726515,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.02250,-0.0225,1.00024209097,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.02000,-0.02,1.00021201795,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.01750,-0.0175,1.00018274048,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.01500,-0.015,1.00015421523,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.01250,-0.0125,1.00012656599,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
baseline,asym_h+0.000_k+0.000_p-0.01000,-0.01,1.00009965399,phase_delta,0.0025,POST_HOC_ROOT_CAUSE_AND_COUNTERFACTUAL_ONLY
