candidate_id,calibration_scope,excluded_evaluation_case_id,calibration_pair_count,calibration_case_count,candidate_uncertainty_bound,evidence_role,candidate_status,threshold_frozen,current_P2_modified,heldout_final_test_used
LOCAL_MAX_UNCERTAINTY_CANDIDATE,POOLED_RETROSPECTIVE,,341,9,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,POOLED_RETROSPECTIVE,,341,9,2.412448282e-05,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,POOLED_RETROSPECTIVE,,341,9,0.000863147481512,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__combined_mild,335,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__combined_mild,335,8,1.3708585372e-06,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__combined_mild,335,8,0.000288370176732,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__hip_knee_coupling_mild,335,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__hip_knee_coupling_mild,335,8,1.0535658215e-05,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__hip_knee_coupling_mild,335,8,0.000914114535507,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__matched_linear,265,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__matched_linear,265,8,4.450408659e-05,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__matched_linear,265,8,0.00122023734259,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__nonlinear_damping_mild,306,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__nonlinear_damping_mild,306,8,3.55236551682e-05,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__nonlinear_damping_mild,306,8,0.00116045529648,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__nonlinear_stiffness_mild,335,8,0.00125100978901,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__nonlinear_stiffness_mild,335,8,1.3708585372e-06,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__nonlinear_stiffness_mild,335,8,0.000177847502888,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
