case_id,subject_id,scenario_name,iteration,trajectory_id,alpha_hip,alpha_knee,alpha_phase,information_gain,new_supported_points,theta_delta_mass_scale,theta_delta_k_hip_nm_per_rad,theta_delta_k_knee_nm_per_rad,theta_delta_b_hip_nm_s_per_rad,theta_delta_b_knee_nm_s_per_rad,theta_change_l2,theta_changed_exactly,validation_deltaJ_error_change,validation_error_changed_exactly,RMS_prediction_map_change,max_prediction_map_change,prediction_map_changed_exactly,newly_enabled_exploit_candidates,newly_enabled_exploit_trajectory_ids,enabled_exploit_within_1_round,enabled_exploit_within_2_rounds,best_J_change,best_changed_under_existing_0p005_rule,MODEL_INFORMATION_VALUE,SUPPORT_PROVENANCE_VALUE,DECISION_VALUE,support_only_exploration,diagnostic_label,support_growth_used_as_reliability_score,new_meaningful_threshold_created,truth_used_as_future_stopping_feature,MODEL_VALUE,SUPPORT_VALUE,support_is_decision_value,exact_zero_decision_value_round,stopping_feature_uses_truth,new_numeric_threshold_created
baseline__matched_linear,baseline,matched_linear,7,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0.560015947566,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
baseline__matched_linear,baseline,matched_linear,8,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0.503674225549,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
baseline__matched_linear,baseline,matched_linear,9,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0.45789598458,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
baseline__matched_linear,baseline,matched_linear,10,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0.419934400545,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
baseline__matched_linear,baseline,matched_linear,11,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0.387926374787,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
baseline__matched_linear,baseline,matched_linear,12,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0.360561521225,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
baseline__matched_linear,baseline,matched_linear,13,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0.336890230185,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,7,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0.560015947591,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,8,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0.503674225558,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,9,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0.45789598451,550,0,0,0,0,0,0,False,0,False,0,0,False,0,,False,False,0,False,False,True,False,True,SUPPORT_ONLY_EXPLORATION,False,False,False,False,True,False,True,False,False
