case_id,iteration,neighborhood_role,trajectory_id,current_alpha_hip,current_alpha_knee,current_alpha_phase,candidate_alpha_hip,candidate_alpha_knee,candidate_alpha_phase,delta_alpha_hip,delta_alpha_knee,delta_alpha_phase,changed_coordinate_count,changed_coordinate,signed_coordinate_direction,alpha_distance_formal_grid_steps,alpha_distance_definition,physical_distance_used,trust_step_hip,trust_step_knee,trust_step_phase,inside_existing_generator_bounds,formal_lattice_member,geometrically_admissible,formal_neighbor_relationship_valid,included_as_local_validation_neighbor,pointwise_clipping_applied,search_range_expanded,current_P2_modified,trust_level_label,example_only_not_policy_input
PROTOCOL_EXAMPLE_INITIAL,0,CURRENT,asym_h+0.000_k+0.000_p+0.00000,0,0,0,0,0,0,0,0,0,0,CURRENT,CURRENT,0,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,1,1,0.01,True,True,True,True,False,False,False,False,INITIAL,True
PROTOCOL_EXAMPLE_INITIAL,0,NEIGHBOR,asym_h+1.000_k+0.000_p+0.00000,0,0,0,1,0,0,1,0,0,1,hip,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,1,1,0.01,True,True,True,True,True,False,False,False,INITIAL,True
PROTOCOL_EXAMPLE_INITIAL,0,NEIGHBOR,asym_h-1.000_k+0.000_p+0.00000,0,0,0,-1,0,0,-1,0,0,1,hip,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,1,1,0.01,True,True,True,True,True,False,False,False,INITIAL,True
PROTOCOL_EXAMPLE_INITIAL,0,NEIGHBOR,asym_h+0.000_k+1.000_p+0.00000,0,0,0,0,1,0,0,1,0,1,knee,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,1,1,0.01,True,True,True,True,True,False,False,False,INITIAL,True
PROTOCOL_EXAMPLE_INITIAL,0,NEIGHBOR,asym_h+0.000_k-1.000_p+0.00000,0,0,0,0,-1,0,0,-1,0,1,knee,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,1,1,0.01,True,True,True,True,True,False,False,False,INITIAL,True
PROTOCOL_EXAMPLE_INITIAL,0,NEIGHBOR,asym_h+0.000_k+0.000_p+0.01000,0,0,0,0,0,0.01,0,0,0.01,1,phase,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,1,1,0.01,True,True,True,True,True,False,False,False,INITIAL,True
PROTOCOL_EXAMPLE_INITIAL,0,NEIGHBOR,asym_h+0.000_k+0.000_p-0.01000,0,0,0,0,0,-0.01,0,0,-0.01,1,phase,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,1,1,0.01,True,True,True,True,True,False,False,False,INITIAL,True
PROTOCOL_EXAMPLE_HALF,0,CURRENT,asym_h+0.000_k+0.000_p+0.00000,0,0,0,0,0,0,0,0,0,0,CURRENT,CURRENT,0,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.5,0.5,0.005,True,True,True,True,False,False,False,False,HALF,True
PROTOCOL_EXAMPLE_HALF,0,NEIGHBOR,asym_h+0.500_k+0.000_p+0.00000,0,0,0,0.5,0,0,0.5,0,0,1,hip,POSITIVE,2,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.5,0.5,0.005,True,True,True,True,True,False,False,False,HALF,True
PROTOCOL_EXAMPLE_HALF,0,NEIGHBOR,asym_h-0.500_k+0.000_p+0.00000,0,0,0,-0.5,0,0,-0.5,0,0,1,hip,NEGATIVE,2,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.5,0.5,0.005,True,True,True,True,True,False,False,False,HALF,True
PROTOCOL_EXAMPLE_HALF,0,NEIGHBOR,asym_h+0.000_k+0.500_p+0.00000,0,0,0,0,0.5,0,0,0.5,0,1,knee,POSITIVE,2,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.5,0.5,0.005,True,True,True,True,True,False,False,False,HALF,True
PROTOCOL_EXAMPLE_HALF,0,NEIGHBOR,asym_h+0.000_k-0.500_p+0.00000,0,0,0,0,-0.5,0,0,-0.5,0,1,knee,NEGATIVE,2,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.5,0.5,0.005,True,True,True,True,True,False,False,False,HALF,True
PROTOCOL_EXAMPLE_HALF,0,NEIGHBOR,asym_h+0.000_k+0.000_p+0.00500,0,0,0,0,0,0.005,0,0,0.005,1,phase,POSITIVE,2,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.5,0.5,0.005,True,True,True,True,True,False,False,False,HALF,True
PROTOCOL_EXAMPLE_HALF,0,NEIGHBOR,asym_h+0.000_k+0.000_p-0.00500,0,0,0,0,0,-0.005,0,0,-0.005,1,phase,NEGATIVE,2,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.5,0.5,0.005,True,True,True,True,True,False,False,False,HALF,True
PROTOCOL_EXAMPLE_MINIMUM,0,CURRENT,asym_h+0.000_k+0.000_p+0.00000,0,0,0,0,0,0,0,0,0,0,CURRENT,CURRENT,0,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,0.25,0.25,0.0025,True,True,True,True,False,False,False,False,MINIMUM,True
