case_id,subject_id,scenario_name,strategy_id,consecutive_zero_value_K,trigger_observed,shadow_stop_after_iteration,exploration_count,exploration_reduction_vs_current,final_best_trajectory,current_final_best_trajectory,missed_opportunity,later_exploit_count,later_accepted_improvement_count,support_increase,support_increase_current,support_increase_not_used_as_decision_value,automatic_stop_executed,candidate_frozen,truth_feature_used,formal_policy_modified
baseline__matched_linear,baseline,matched_linear,CURRENT_P2_V1_HISTORY,,False,,8,0,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,8300,8300,True,False,False,False,False
baseline__matched_linear,baseline,matched_linear,K1_DECISION_VALUE_STOP_SHADOW,1,True,7,2,6,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,5000,8300,True,False,False,False,False
baseline__matched_linear,baseline,matched_linear,K2_DECISION_VALUE_STOP_SHADOW,2,True,8,3,5,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,5550,8300,True,False,False,False,False
baseline__matched_linear,baseline,matched_linear,K3_DECISION_VALUE_STOP_SHADOW,3,True,9,4,4,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,6100,8300,True,False,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,CURRENT_P2_V1_HISTORY,,False,,8,0,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,8300,8300,True,False,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,K1_DECISION_VALUE_STOP_SHADOW,1,True,7,2,6,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,5000,8300,True,False,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,K2_DECISION_VALUE_STOP_SHADOW,2,True,8,3,5,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,5550,8300,True,False,False,False,False
heavy_leg__matched_linear,heavy_leg,matched_linear,K3_DECISION_VALUE_STOP_SHADOW,3,True,9,4,4,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,6100,8300,True,False,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,CURRENT_P2_V1_HISTORY,,False,,8,0,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,8300,8300,True,False,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,K1_DECISION_VALUE_STOP_SHADOW,1,True,7,2,6,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,5000,8300,True,False,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,K2_DECISION_VALUE_STOP_SHADOW,2,True,8,3,5,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,5550,8300,True,False,False,False,False
hip_stiff__matched_linear,hip_stiff,matched_linear,K3_DECISION_VALUE_STOP_SHADOW,3,True,9,4,4,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.00000,False,0,0,6100,8300,True,False,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,CURRENT_P2_V1_HISTORY,,False,,8,0,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00000,False,0,0,8300,8300,True,False,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,K1_DECISION_VALUE_STOP_SHADOW,1,True,1,1,7,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00000,False,0,0,4450,8300,True,False,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,K2_DECISION_VALUE_STOP_SHADOW,2,True,2,2,6,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00000,False,0,0,5000,8300,True,False,False,False,False
knee_stiff__matched_linear,knee_stiff,matched_linear,K3_DECISION_VALUE_STOP_SHADOW,3,True,3,3,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00000,False,0,0,5550,8300,True,False,False,False,False
