case_id,subject_id,scenario_name,policy_id,iteration,trajectory_id,support_growth,information_gain,parameter_change_observed,parameter_delta_norm,prediction_map_change_observed,predicted_ranking_changed,predicted_best_trajectory_changed,validation_uncertainty_changed,exploit_eligibility_after,decision_value_zero,consecutive_zero_decision_value,support_alone_used_as_decision_value,future_truth_used_by_stopping,future_exploit_used_by_stopping,future_best_used_by_stopping
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077198,False,0,False,False,False,False,True,False,0,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,7,asym_h+0.500_k+0.000_p+0.00000,550,0.560015947556,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,8,asym_h+0.750_k+0.000_p+0.00000,550,0.503674225514,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,9,asym_h+1.000_k+0.000_p+0.00000,550,0.457895984562,False,0,False,False,False,False,False,True,3,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,10,asym_h+1.250_k+0.000_p+0.00000,550,0.419934400561,False,0,False,False,False,False,False,True,4,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,11,asym_h+1.500_k+0.000_p+0.00000,550,0.387926374771,False,0,False,False,False,False,False,True,5,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,12,asym_h+1.750_k+0.000_p+0.00000,550,0.36056152122,False,0,False,False,False,False,False,True,6,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,13,asym_h+2.000_k+0.000_p+0.00000,550,0.336890230175,False,0,False,False,False,False,False,True,7,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077198,False,0,False,False,False,False,True,False,0,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,7,asym_h+0.500_k+0.000_p+0.00000,550,0.560015947556,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,8,asym_h+0.750_k+0.000_p+0.00000,550,0.503674225514,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,9,asym_h+1.000_k+0.000_p+0.00000,550,0.457895984562,False,0,False,False,False,False,False,True,3,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,10,asym_h+1.250_k+0.000_p+0.00000,550,0.419934400561,False,0,False,False,False,False,False,True,4,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,11,asym_h+1.500_k+0.000_p+0.00000,550,0.387926374771,False,0,False,False,False,False,False,True,5,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,12,asym_h+1.750_k+0.000_p+0.00000,550,0.36056152122,False,0,False,False,False,False,False,True,6,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,13,asym_h+2.000_k+0.000_p+0.00000,550,0.336890230175,False,0,False,False,False,False,False,True,7,False,False,False,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A2_G0_C0_S2,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077198,False,0,False,False,False,False,True,False,0,False,False,False,False
