case_id,metric,A0,A1,A2,A3,A3_minus_A0_total,guard_effect_at_S0_A1_minus_A0,guard_effect_at_S2_A3_minus_A2,stopping_effect_at_G0_A2_minus_A0,stopping_effect_at_G2_A3_minus_A1,factorial_guard_main_effect,factorial_stopping_main_effect,guard_stopping_interaction,dominant_direct_effect,complex_statistical_model_used,data_role
prospective_subject_001__matched_linear,number_of_executed_trials,13,13,8,8,-5,0,0,-5,-5,0,-5,0,STOPPING_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,number_of_explore_trials,8,8,3,3,-5,0,0,-5,-5,0,-5,0,STOPPING_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,number_of_exploit_trials,5,5,5,5,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,missed_improvement_rounds,1,1,1,1,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,premature_conservative_stops,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,number_of_executed_false_improvements,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,final_best_actual_J,0.969202794811,0.969202794811,0.969202794811,0.969202794811,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,global_truth_regret,0.00427479418365,0.00427479418365,0.00427479418365,0.00427479418365,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,low_decision_value_exploration_count,7,7,2,2,-5,0,0,-5,-5,0,-5,0,STOPPING_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,correct_local_stops,1,1,1,1,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
