case_id,subject_id,scenario,policy_id,factorial_variant_id,evidence_role,historical_prospective_primary,iteration,current_alpha_hip,current_alpha_knee,current_alpha_phase,candidate_alpha_hip,candidate_alpha_knee,candidate_alpha_phase,deltaJ_pred,deltaJ_truth_posthoc,equivalence_tolerance_contribution,G0_uncertainty_contribution,G0_contribution_role,G2_uncertainty_contribution,model_supported,domain_coverage,S0_would_continue,S0_counterfactual_basis,S2_would_continue,S2_counterfactual_basis,guard_rejection_reason,mechanism_components,rejection_mechanism,truth_fed_back_to_historical_decision,data_role
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V1_G0_C0_S0,A0_G0_C0_S0_ORIGINAL_P2_V1,HISTORICAL_PROSPECTIVE_PRIMARY,True,1,0,0,0,0,-1,0,-0.00635061106775,-0.00635061106775,0.005,3.17301740438e-13,ACTUAL_VARIANT_BOUND,0.000430956758924,False,81.7955112219,True,MATCHED_OBSERVED_FACTORIAL_STATE,True,MATCHED_OBSERVED_FACTORIAL_STATE,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,SUPPORT_PROVENANCE_BLOCKED,SUPPORT_PROVENANCE_BLOCKED,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A1_G2_C0_S0,A1_G2_C0_S0_POST_HOC,POST_HOC_COUNTERFACTUAL_ONLY,False,1,0,0,0,0,-1,0,-0.00635061106775,-0.00635061106775,0.005,3.17301740438e-13,SAME_CASE_ITERATION_OTHER_G0_PATH_NOT_STATE_IDENTICAL,0.000430956758924,False,81.7955112219,True,MATCHED_OBSERVED_FACTORIAL_STATE,True,MATCHED_OBSERVED_FACTORIAL_STATE,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,SUPPORT_PROVENANCE_BLOCKED,SUPPORT_PROVENANCE_BLOCKED,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,POST_HOC_A2_G0_C0_S2,A2_G0_C0_S2_POST_HOC,POST_HOC_COUNTERFACTUAL_ONLY,False,1,0,0,0,0,-1,0,-0.00635061106775,-0.00635061106775,0.005,3.17301740438e-13,ACTUAL_VARIANT_BOUND,0.000430956758924,False,81.7955112219,True,MATCHED_OBSERVED_FACTORIAL_STATE,True,MATCHED_OBSERVED_FACTORIAL_STATE,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,SUPPORT_PROVENANCE_BLOCKED,SUPPORT_PROVENANCE_BLOCKED,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,P2_V2A_G2_C0_S2,A3_G2_C0_S2_REJECTED_V2A,HISTORICAL_PROSPECTIVE_PRIMARY,True,1,0,0,0,0,-1,0,-0.00635061106775,-0.00635061106775,0.005,3.17301740438e-13,SAME_CASE_ITERATION_OTHER_G0_PATH_NOT_STATE_IDENTICAL,0.000430956758924,False,81.7955112219,True,MATCHED_OBSERVED_FACTORIAL_STATE,True,MATCHED_OBSERVED_FACTORIAL_STATE,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,SUPPORT_PROVENANCE_BLOCKED,SUPPORT_PROVENANCE_BLOCKED,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,P2_V1_G0_C0_S0,A0_G0_C0_S0_ORIGINAL_P2_V1,HISTORICAL_PROSPECTIVE_PRIMARY,True,1,0,0,0,0,-1,0,-0.00455342931488,-0.0103667049484,0.005,0.832083003983,ACTUAL_VARIANT_BOUND,0.000430956758924,True,100,False,MATCHED_OBSERVED_FACTORIAL_STATE,False,MATCHED_OBSERVED_FACTORIAL_STATE,SUPPORTED_BUT_DECISION_UNRELIABLE,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,POST_HOC_A1_G2_C0_S0,A1_G2_C0_S0_POST_HOC,POST_HOC_COUNTERFACTUAL_ONLY,False,1,0,0,0,0,-1,0,-0.00455342931488,-0.0103667049484,0.005,0.832083003983,SAME_CASE_ITERATION_OTHER_G0_PATH_NOT_STATE_IDENTICAL,0.000430956758924,True,100,False,MATCHED_OBSERVED_FACTORIAL_STATE,False,MATCHED_OBSERVED_FACTORIAL_STATE,SUPPORTED_BUT_DECISION_UNRELIABLE,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,POST_HOC_A2_G0_C0_S2,A2_G0_C0_S2_POST_HOC,POST_HOC_COUNTERFACTUAL_ONLY,False,1,0,0,0,0,-1,0,-0.00455342931488,-0.0103667049484,0.005,0.832083003983,ACTUAL_VARIANT_BOUND,0.000430956758924,True,100,False,MATCHED_OBSERVED_FACTORIAL_STATE,False,MATCHED_OBSERVED_FACTORIAL_STATE,SUPPORTED_BUT_DECISION_UNRELIABLE,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,P2_V2A_G2_C0_S2,A3_G2_C0_S2_REJECTED_V2A,HISTORICAL_PROSPECTIVE_PRIMARY,True,1,0,0,0,0,-1,0,-0.00455342931488,-0.0103667049484,0.005,0.832083003983,SAME_CASE_ITERATION_OTHER_G0_PATH_NOT_STATE_IDENTICAL,0.000430956758924,True,100,False,MATCHED_OBSERVED_FACTORIAL_STATE,False,MATCHED_OBSERVED_FACTORIAL_STATE,SUPPORTED_BUT_DECISION_UNRELIABLE,SINGLE_STEP_TOLERANCE_BLOCKED;EXPLORATION_STOPPED_BEFORE_REACHING_CANDIDATE,MULTIPLE_FACTORS,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,P2_V1_G0_C0_S0,A0_G0_C0_S0_ORIGINAL_P2_V1,HISTORICAL_PROSPECTIVE_PRIMARY,True,1,0,0,0,0,-1,0,-0.00502876000514,-0.00502876000524,0.005,1.86932691548e-11,ACTUAL_VARIANT_BOUND,0.000430956758924,False,81.7955112219,True,MATCHED_OBSERVED_FACTORIAL_STATE,True,MATCHED_OBSERVED_FACTORIAL_STATE,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,SUPPORT_PROVENANCE_BLOCKED,SUPPORT_PROVENANCE_BLOCKED,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,A1_G2_C0_S0_POST_HOC,POST_HOC_COUNTERFACTUAL_ONLY,False,1,0,0,0,0,-1,0,-0.00502876000514,-0.00502876000524,0.005,1.86932691548e-11,SAME_CASE_ITERATION_OTHER_G0_PATH_NOT_STATE_IDENTICAL,0.000430956758924,False,81.7955112219,True,MATCHED_OBSERVED_FACTORIAL_STATE,True,MATCHED_OBSERVED_FACTORIAL_STATE,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,SUPPORT_PROVENANCE_BLOCKED,SUPPORT_PROVENANCE_BLOCKED,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
