path_id,case_id,coordinate,direction,detected_bundle_length,step_number,step_alpha_hip,step_alpha_knee,step_alpha_phase,J_pred,J_truth_posthoc,single_step_deltaJ_pred,single_step_deltaJ_truth,cumulative_endpoint_deltaJ_pred,cumulative_endpoint_deltaJ_truth,single_step_pred_passes_0p005,single_step_truth_passes_0p005,minimum_steps_for_truth_cumulative_gt_0p005,within_original_detected_bundle,same_formal_parameter_direction,mixed_axis_or_turn_required,truth_used_to_modify_policy,data_role
prospective_accumulation_01,prospective_subject_001__matched_linear,knee,NEGATIVE,5,1,0,-0.25,0,0.998402918578,0.998402918578,-0.00159708142236,-0.00159708142236,-0.00159708142236,-0.00159708142236,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_01,prospective_subject_001__matched_linear,knee,NEGATIVE,5,2,0,-0.5,0,0.996812377339,0.996812377339,-0.00159054123866,-0.00159054123866,-0.00318762266102,-0.00318762266102,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_01,prospective_subject_001__matched_linear,knee,NEGATIVE,5,3,0,-0.75,0,0.99522786943,0.99522786943,-0.0015845079092,-0.0015845079092,-0.00477213057022,-0.00477213057022,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_01,prospective_subject_001__matched_linear,knee,NEGATIVE,5,4,0,-1,0,0.993649388932,0.993649388932,-0.00157848049753,-0.00157848049753,-0.00635061106775,-0.00635061106775,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_01,prospective_subject_001__matched_linear,knee,NEGATIVE,5,5,0,-1.25,0,0.992076929776,0.992076929776,-0.00157245915619,-0.00157245915619,-0.00792307022394,-0.00792307022393,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_02,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,2,1,0,-0.25,0,0.998858598221,0.997382679983,-0.00114140177918,-0.00261732001732,-0.00114140177918,-0.00261732001732,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_02,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,2,2,0,-0.5,0,0.997719232828,0.994782382129,-0.00113936539265,-0.00260029785401,-0.00228076717183,-0.00521761787133,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_02,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,2,3,0,-0.75,0,0.99658189038,0.992199271984,-0.0011373424477,-0.00258311014475,-0.00341810961953,-0.00780072801608,False,False,2,False,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_02,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,2,4,0,-1,0,0.995446570685,0.989633295052,-0.00113531969535,-0.00256597693235,-0.00455342931488,-0.0103667049484,False,False,2,False,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_02,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,2,5,0,-1.25,0,0.99431327353,0.987084396448,-0.00113329715541,-0.0025488986031,-0.00568672647028,-0.0129156035515,False,False,2,False,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_03,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,3,1,0,-0.25,0,0.998858598221,0.997382679983,-0.00114140177918,-0.00261732001732,-0.00114140177918,-0.00261732001732,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_03,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,3,2,0,-0.5,0,0.997719232828,0.994782382129,-0.00113936539265,-0.00260029785401,-0.00228076717183,-0.00521761787133,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_03,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,3,3,0,-0.75,0,0.99658189038,0.992199271984,-0.0011373424477,-0.00258311014475,-0.00341810961953,-0.00780072801608,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_03,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,3,4,0,-1,0,0.995446570685,0.989633295052,-0.00113531969535,-0.00256597693235,-0.00455342931488,-0.0103667049484,False,False,2,False,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_03,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,3,5,0,-1.25,0,0.99431327353,0.987084396448,-0.00113329715541,-0.0025488986031,-0.00568672647028,-0.0129156035515,False,False,2,False,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_04,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,5,1,0,-0.25,0,0.998858598221,0.997382679983,-0.00114140177918,-0.00261732001732,-0.00114140177918,-0.00261732001732,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_04,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,5,2,0,-0.5,0,0.997719232828,0.994782382129,-0.00113936539265,-0.00260029785401,-0.00228076717183,-0.00521761787133,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_04,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,5,3,0,-0.75,0,0.99658189038,0.992199271984,-0.0011373424477,-0.00258311014475,-0.00341810961953,-0.00780072801608,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_04,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,5,4,0,-1,0,0.995446570685,0.989633295052,-0.00113531969535,-0.00256597693235,-0.00455342931488,-0.0103667049484,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_04,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,5,5,0,-1.25,0,0.99431327353,0.987084396448,-0.00113329715541,-0.0025488986031,-0.00568672647028,-0.0129156035515,False,False,2,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_05,prospective_subject_002__matched_linear,knee,NEGATIVE,5,1,0,-0.25,0,0.998738331599,0.998738331599,-0.00126166840135,-0.00126166840137,-0.00126166840135,-0.00126166840137,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_05,prospective_subject_002__matched_linear,knee,NEGATIVE,5,2,0,-0.5,0,0.997479723779,0.997479723779,-0.00125860781917,-0.0012586078192,-0.00252027622052,-0.00252027622057,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_05,prospective_subject_002__matched_linear,knee,NEGATIVE,5,3,0,-0.75,0,0.996224027067,0.996224027067,-0.0012556967125,-0.00125569671253,-0.00377597293303,-0.0037759729331,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_05,prospective_subject_002__matched_linear,knee,NEGATIVE,5,4,0,-1,0,0.994971239995,0.994971239995,-0.00125278707211,-0.00125278707214,-0.00502876000514,-0.00502876000524,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_05,prospective_subject_002__matched_linear,knee,NEGATIVE,5,5,0,-1.25,0,0.993721361052,0.993721361052,-0.00124987894262,-0.00124987894265,-0.00627863894776,-0.00627863894788,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,5,1,0,-0.25,0,0.998709614689,0.998593169267,-0.00129038531093,-0.00140683073326,-0.00129038531093,-0.00140683073326,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,5,2,0,-0.5,0,0.997422621642,0.997190769873,-0.00128699304692,-0.00140239939369,-0.00257737835785,-0.00280923012695,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,5,3,0,-0.75,0,0.996138768152,0.995792534306,-0.00128385348987,-0.00139823556698,-0.00386123184773,-0.00420746569393,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,5,4,0,-1,0,0.994858052612,0.994398463623,-0.00128071554039,-0.00139407068351,-0.00514194738811,-0.00560153637745,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,5,5,0,-1.25,0,0.993580473362,0.993008558816,-0.00127757924992,-0.00138990480686,-0.00641952663804,-0.00699144118431,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,5,1,0,-0.25,0,0.998650791163,0.998650791163,-0.00134920883701,-0.00134920883701,-0.00134920883701,-0.00134920883701,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,5,2,0,-0.5,0,0.99730562219,0.99730562219,-0.0013451689732,-0.0013451689732,-0.0026943778102,-0.0026943778102,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,5,3,0,-0.75,0,0.99596407507,0.99596407507,-0.00134154711942,-0.00134154711942,-0.00403592492962,-0.00403592492962,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,5,4,0,-1,0,0.994626147679,0.994626147679,-0.00133792739182,-0.00133792739182,-0.00537385232144,-0.00537385232144,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,5,5,0,-1.25,0,0.993291837822,0.993291837822,-0.00133430985687,-0.00133430985687,-0.00670816217832,-0.00670816217832,False,False,4,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,3,1,0,-0.25,0,0.998852166543,0.997699279074,-0.0011478334572,-0.00230072092584,-0.0011478334572,-0.00230072092584,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,3,2,0,-0.5,0,0.997706579689,0.995413241333,-0.00114558685421,-0.00228603774129,-0.00229342031141,-0.00458675866713,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,3,3,0,-0.75,0,0.996563089623,0.993141808038,-0.00114349006601,-0.0022714332952,-0.00343691037742,-0.00685819196233,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,3,4,0,-1,0,0.995421696598,0.990884945967,-0.00114139302419,-0.00225686207042,-0.00457830340161,-0.00911505403275,False,False,3,False,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,3,5,0,-1.25,0,0.994282400848,0.988642621548,-0.00113929575014,-0.00224232441903,-0.00571759915175,-0.0113573784518,False,False,3,False,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,5,1,0,-0.25,0,0.998852166543,0.997699279074,-0.0011478334572,-0.00230072092584,-0.0011478334572,-0.00230072092584,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,5,2,0,-0.5,0,0.997706579689,0.995413241333,-0.00114558685421,-0.00228603774129,-0.00229342031141,-0.00458675866713,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,5,3,0,-0.75,0,0.996563089623,0.993141808038,-0.00114349006601,-0.0022714332952,-0.00343691037742,-0.00685819196233,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,5,4,0,-1,0,0.995421696598,0.990884945967,-0.00114139302419,-0.00225686207042,-0.00457830340161,-0.00911505403275,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,5,5,0,-1.25,0,0.994282400848,0.988642621548,-0.00113929575014,-0.00224232441903,-0.00571759915175,-0.0113573784518,False,False,3,True,True,False,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
