case_id,guard_context,S0_policy_id,S2_policy_id,S2_first_early_stop_after_iteration,S2_fixed_K_triggered,S0_executed_trials,S2_executed_trials,removed_trial_count,trigger_support_growth,trigger_information_gain,trigger_parameter_change_observed,trigger_prediction_map_change_observed,trigger_exploit_eligibility_after,later_useful_action_under_S0,later_S0_exploit_count,later_S0_accepted_improvement_count,removed_trial_value_classification,future_action_used_by_historical_stopping,data_role
prospective_subject_001__matched_linear,G0,P2_V1_G0_C0_S0,POST_HOC_A2_G0_C0_S2,8,True,13,8,5,550,0.503674225514,False,False,False,False,0,0,REMOVED_LOW_VALUE_EXPLORATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,G0,P2_V1_G0_C0_S0,POST_HOC_A2_G0_C0_S2,,False,0,0,0,,,,,,False,0,0,INDETERMINATE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__hip_knee_coupling_strong,G0,P2_V1_G0_C0_S0,POST_HOC_A2_G0_C0_S2,,False,0,0,0,,,,,,False,0,0,INDETERMINATE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,G0,P2_V1_G0_C0_S0,POST_HOC_A2_G0_C0_S2,4,True,9,4,5,550,0.844640257238,False,False,False,False,0,0,REMOVED_LOW_VALUE_EXPLORATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,G0,P2_V1_G0_C0_S0,POST_HOC_A2_G0_C0_S2,,False,0,0,0,,,,,,False,0,0,INDETERMINATE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,G0,P2_V1_G0_C0_S0,POST_HOC_A2_G0_C0_S2,8,True,13,8,5,550,0.503674225557,False,False,False,False,0,0,REMOVED_LOW_VALUE_EXPLORATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__matched_linear,G2,POST_HOC_A1_G2_C0_S0,P2_V2A_G2_C0_S2,8,True,13,8,5,550,0.503674225514,False,False,False,False,0,0,REMOVED_LOW_VALUE_EXPLORATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_001__nonlinear_stiffness_strong,G2,POST_HOC_A1_G2_C0_S0,P2_V2A_G2_C0_S2,,False,0,0,0,,,,,,False,0,0,INDETERMINATE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__hip_knee_coupling_strong,G2,POST_HOC_A1_G2_C0_S0,P2_V2A_G2_C0_S2,,False,0,0,0,,,,,,False,0,0,INDETERMINATE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,G2,POST_HOC_A1_G2_C0_S0,P2_V2A_G2_C0_S2,2,True,8,2,6,550,1.31547778807,False,False,False,False,0,0,REMOVED_LOW_VALUE_EXPLORATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,G2,POST_HOC_A1_G2_C0_S0,P2_V2A_G2_C0_S2,,False,0,0,0,,,,,,False,0,0,INDETERMINATE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,G2,POST_HOC_A1_G2_C0_S0,P2_V2A_G2_C0_S2,2,True,8,2,6,550,1.31547778813,False,False,False,False,0,0,REMOVED_LOW_VALUE_EXPLORATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
