case_id,subject_id,scenario_name,policy_id,iteration,model_update_count,model_update_success,within_trial_model_fixed,updates_this_trial,mass_scale_before,k_hip_nm_per_rad_before,k_knee_nm_per_rad_before,b_hip_nm_s_per_rad_before,b_knee_nm_s_per_rad_before,mass_scale_after,k_hip_nm_per_rad_after,k_knee_nm_per_rad_after,b_hip_nm_s_per_rad_after,b_knee_nm_s_per_rad_after,mass_scale_delta,k_hip_nm_per_rad_delta,k_knee_nm_per_rad_delta,b_hip_nm_s_per_rad_delta,b_knee_nm_s_per_rad_delta,uncertainty_trace_before,uncertainty_trace_after
baseline__matched_linear,baseline,matched_linear,P0_SUPPORTED_ONLY_GREEDY,0,0,True,True,0,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00353884789436,0.00353884789436
baseline__matched_linear,baseline,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,0,0,True,True,0,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00353884789436,0.00353884789436
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00353884789436,0.00353884789436
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00353884789436,0.00290246545622
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00290246545622,0.00246472233275
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,3,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00246472233275,0.00214369969446
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,4,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00214369969446,0.00189811776118
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,5,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00189811776118,0.00170415912597
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,6,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00170415912597,0.00154709169317
hip_stiff__matched_linear,hip_stiff,matched_linear,P0_SUPPORTED_ONLY_GREEDY,0,0,True,True,0,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00353884789317,0.00353884789317
