case_id,subject_id,scenario_name,policy_id,research_status,model_status,human_readiness,approval_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_accepted_improvements,number_of_executed_false_improvements,number_of_exploit_false_improvements,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_best_equals_last_executed_trial,final_supported_point_count,known_region_growth,final_validation_e_delta_J_bound,stop_reason,trial_budget,trial_budget_status,whole_map_recomputation_count,truth_calls_including_reference_normalization,heldout_final_test_used,global_minimum_executed_directly,support_used_as_reliability_score,model_reliability_status,final_local_recommended_trajectory_id,final_local_truth_best_trajectory_id,final_local_regret,final_local_regret_truth_role,case_class
baseline__matched_linear,baseline,matched_linear,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,1.7386980744e-11,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00590799515327,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
baseline__matched_linear,baseline,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,1.7386980744e-11,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00590799515327,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,5,1,5,0,0,1,0.971228759614,0.028771240386,0,6,0,-5,0,True,12100,4450,1.7386980744e-11,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+1.000_k-5.000_p+0.00000,0.00178449442411,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
hip_stiff__matched_linear,hip_stiff,matched_linear,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,2.53130849615e-14,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00594152473249,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
hip_stiff__matched_linear,hip_stiff,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,2.53130849615e-14,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00594152473249,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,5,1,5,0,0,1,0.971075819116,0.0289241808835,0,6,0,-5,0,True,12100,4450,2.53130849615e-14,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k-5.000_p+0.00000,asym_h+0.000_k-5.000_p+0.01000,6.01922331002e-05,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
knee_stiff__matched_linear,knee_stiff,matched_linear,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00446718793104,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
knee_stiff__matched_linear,knee_stiff,matched_linear,P1_DECISION_GUARDED_EXPLOIT_ONLY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00446718793104,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,6,0,6,0,0,0,1,1,0,0,6,0,0,0,False,14850,7200,0,STOP_MAX_PERSONALIZATION_TRIALS,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,7,7,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00446718793104,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
heavy_leg__matched_linear,heavy_leg,matched_linear,P0_SUPPORTED_ONLY_GREEDY,RESEARCH_ONLY,DIAGNOSTIC_ONLY,NOT_HUMAN_READY,NOT_APPROVED_FOR_ROBOT_PERSONALIZATION,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False,7650,0,1.7763568394e-15,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,6,RESEARCH_ONLY_NOT_HUMAN_SAFETY_THRESHOLD,1,1,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0.00666528974099,POST_POLICY_EVALUATION_ONLY_NOT_POLICY_INPUT,MATCHED_POSITIVE_CONTROL
