case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.99951047583,0.999510094092,1,1,-0.000489524170139,-0.000489905908342,NEUTRAL,NEUTRAL,1.7386980744e-11,-0.00451047584725,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.994092004847,0.994087351107,1,0.994087351107,-0.00590799515335,-0.005912648893,IMPROVE,IMPROVE,1.7386980744e-11,0.000907995135958,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988261894968,0.988257209561,0.994087351107,0.988257209561,-0.00583010987863,-0.00583014154556,IMPROVE,IMPROVE,1.7386980744e-11,0.000830109861245,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.982508999748,0.982504282239,0.988257209561,0.982504282239,-0.00575289522019,-0.00575292732249,IMPROVE,IMPROVE,1.7386980744e-11,0.000752895202806,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.976832998152,0.976828248108,0.982504282239,0.976828248108,-0.00567600159601,-0.00567603413118,IMPROVE,IMPROVE,1.7386980744e-11,0.000676001578627,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.971233542623,0.971228759614,0.976828248108,0.971228759614,-0.0055994555285,-0.00559948849373,IMPROVE,IMPROVE,1.7386980744e-11,0.000599455511108,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,STOP_MAX_PERSONALIZATION_TRIALS
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999931323653,0.999930463492,1,1,-6.86763465457e-05,-6.95365076068e-05,NEUTRAL,NEUTRAL,2.53130849615e-14,-0.00493132365348,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.994058475268,0.994055761441,1,0.994055761441,-0.00594152473249,-0.00594423855895,IMPROVE,IMPROVE,2.53130849615e-14,0.000941524732465,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988196345988,0.988193617024,0.994055761441,0.988193617024,-0.00586212927914,-0.00586214441739,IMPROVE,IMPROVE,2.53130849615e-14,0.000862129279117,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.982412509681,0.982409765163,0.988193617024,0.982409765163,-0.00578383630714,-0.00578385186107,IMPROVE,IMPROVE,2.53130849615e-14,0.000783836307116,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
