subject_id,rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid,mass_thigh_kg,mass_shank_kg,com_thigh_m,com_shank_m,k_hip_nm_per_rad,k_knee_nm_per_rad,q0_hip_rad,q0_knee_rad,gravity_m_s2,tau_gravity_hip_nm,tau_gravity_knee_nm,tau_stiffness_hip_nm,tau_stiffness_knee_nm,tau_total_hip_nm,tau_total_knee_nm,fx_robot_on_leg_n,fz_robot_on_leg_n,force_magnitude_n,force_mapping_valid,invalid_reason
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0523598775598298,0.0872664625997164,-0.0349065850398865,3.0,5.0,0.419424404596921,0.0219811016220364,0.7192416527026497,0.0115112526112861,True,False,0.010981623586204916,55.29623765883066,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.07644923202726,-6.274575368356691,-1.8325957145940472,-1.0471975511965985,33.24385351743321,-7.32177291955329,-428.0748275290632,39.369488592341014,429.881395964119,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0523598775598298,0.1047197551196597,-0.0523598775598298,3.0,6.0,0.419424404596921,0.0219811016220364,0.7190132650232931,0.0062803147491532,True,False,0.013170586371724325,46.06732014967811,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.07166953467368,-6.269795671003116,-1.8325957145940472,-0.837758040957279,33.23907382007963,-7.107553711960396,-368.0649220772683,43.01382431422863,370.5697990202128,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0523598775598298,0.122173047639603,-0.0698131700797731,3.0,7.0,0.419424404596921,0.0219811016220364,0.7186936196748682,0.0010541594987988,True,False,0.015355537269048576,39.473227680032444,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.06497999682185,-6.263106133151281,-1.8325957145940472,-0.6283185307179593,33.2323842822278,-6.89142466386924,-325.1339588736851,45.76309060038418,328.3387757700484,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.0872664625997164,-0.0174532925199432,4.0,5.0,0.4189769011091261,0.0292977189725326,0.7189312096560435,0.0240619970413475,True,False,0.010981623586204916,55.29623765883089,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.04858756843358,-6.277443769269888,-1.5707963267948977,-1.0471975511965985,33.477791241638684,-7.324641320466486,-434.8987598467345,32.010376319496594,436.07521771862184,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.1047197551196597,-0.0349065850398866,4.0,6.0,0.4189769011091261,0.0292977189725326,0.7187941492148548,0.0188278699617823,True,False,0.013170586371724325,46.067320149678224,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.04571916752039,-6.274575368356691,-1.5707963267948977,-0.837758040957279,33.47492284072549,-7.112333409313971,-373.86760663511944,36.77797348371955,375.6722063510176,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.122173047639603,-0.0523598775598298,4.0,7.0,0.4189769011091261,0.0292977189725326,0.7185657615354983,0.0135969320996494,True,False,0.015355537269048576,39.47322768003232,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.04093947016681,-6.269795671003116,-1.5707963267948977,-0.6283185307179593,33.470143143371914,-6.898114201721076,-330.20878848259116,40.3307786412461,332.6626154183091,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.1396263401595463,-0.0698131700797731,4.0,8.0,0.4189769011091261,0.0292977189725326,0.7182461161870735,0.008370776849295,True,False,0.01753581072096824,34.52590016428332,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.03424993231498,-6.263106133151281,-1.5707963267948977,-0.4188790204786397,33.46345360552008,-6.68198515362992,-297.4069287296096,43.12439131048906,300.5172114576456,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.1570796326794896,-0.0872664625997164,4.0,9.0,0.4189769011091261,0.0292977189725326,0.7178353105366498,0.0031509961482351,True,False,0.019710742595069084,30.676415237135632,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.02565259166291,-6.254508792499216,-1.5707963267948977,-0.20943951023932017,33.45485626486801,-6.463948302738536,-271.84236047484825,45.41192325815557,275.609346217689,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.0872664625997164,0.0,5.0,5.0,0.4184017731985331,0.0366054119540164,0.718401773198533,0.0366054119540164,True,False,0.010981623586204916,55.29623765883123,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.01004976554327,-6.2784,-1.308996938995748,-1.0471975511965985,33.701052826547524,-7.325597551196599,-441.42776697749156,24.418658503988667,442.1026400530413,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.1047197551196597,-0.0174532925199433,5.0,6.0,0.4184017731985331,0.0366054119540164,0.7183560817454504,0.0313696900228313,True,False,0.013170586371724325,46.067320149678245,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.00909353481316,-6.277443769269888,-1.308996938995748,-0.837758040957279,33.70009659581741,-7.115201810227167,-379.4243124868222,30.343828193138208,380.63572719269587,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.122173047639603,-0.0349065850398866,5.0,7.0,0.4184017731985331,0.0366054119540164,0.7182190213042619,0.0261355629432661,True,False,0.015355537269048576,39.473227680032366,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.00622513389996,-6.274575368356691,-1.308996938995748,-0.6283185307179593,33.69722819490421,-6.902893899074651,-335.072647454503,34.724666413735704,336.8671570956642,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.1396263401595463,-0.0523598775598298,5.0,8.0,0.4184017731985331,0.0366054119540164,0.7179906336249052,0.0209046250811332,True,False,0.01753581072096824,34.52590016428328,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.00144543654639,-6.269795671003116,-1.308996938995748,-0.4188790204786397,33.69244849755064,-6.688674691481756,-301.7525995636094,38.140363194100246,304.1534458919936,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.1570796326794896,-0.0698131700797731,5.0,9.0,0.4184017731985331,0.0366054119540164,0.7176709882764803,0.0156784698307788,True,False,0.019710742595069074,30.676415237135604,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.99475589869455,-6.263106133151281,-1.308996938995748,-0.20943951023932017,33.6857589596988,-6.472545643390601,-275.7862819423715,40.91269194124247,278.8044505912275,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.1745329251994329,-0.0872664625997164,5.0,10.0,0.4184017731985331,0.0366054119540164,0.7172601826260567,0.0104586891297189,True,False,0.021879670386033213,27.595419393311015,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.98615855804249,-6.254508792499216,-1.308996938995748,-6.661338147750939e-16,33.67716161904674,-6.254508792499217,-254.9669505221963,43.23471774446737,258.60662535409233,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.1919862177193762,-0.1047197551196597,5.0,11.0,0.4184017731985331,0.0366054119540164,0.7167583418090151,0.0052468729737203,True,False,0.024041933417444643,25.073323960125112,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.97565603342344,-6.2440062678801675,-1.308996938995748,0.20943951023931917,33.66665909442769,-6.034566757640849,-237.8903028281393,45.229301150493896,242.15178269470968,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.2094395102393195,-0.122173047639603,5.0,12.0,0.4184017731985331,0.0366054119540164,0.7161656186909298,4.46089324721774e-05,True,False,0.026196873043037673,22.970403083758487,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.96325152400814,-6.231601758464876,-1.308996938995748,0.4188790204786387,33.654254585012396,-5.812722737986237,-223.6201273663684,46.97835005169511,228.50148081999473,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.0872664625997164,0.0174532925199433,6.0,5.0,0.4176991960546747,0.0439019545724144,0.7176535046015922,0.0491376765035995,True,False,0.010981623586204916,55.296237658830904,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.960847562344405,-6.277443769269888,-1.0471975511965987,-1.0471975511965985,33.91365001114781,-7.324641320466486,-447.65611270714504,16.605323716353816,447.9639851816182,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.1047197551196597,0.0,6.0,6.0,0.4176991960546747,0.0439019545724144,0.7176991960546748,0.0439019545724144,True,False,0.013170586371724325,46.067320149678366,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.961803793074516,-6.2784,-1.0471975511965987,-0.837758040957279,33.91460624187792,-7.11615804095728,-384.7300966378255,23.72052680319094,385.46064734389097,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.122173047639603,-0.0174532925199432,6.0,7.0,0.4176991960546747,0.0439019545724144,0.7176535046015922,0.0386662326412294,True,False,0.015355537269048576,39.47322768003225,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.960847562344405,-6.277443769269888,-1.0471975511965987,-0.6283185307179593,33.91365001114781,-6.905762299987847,-339.7211593096793,28.95256903074212,340.95266142998855,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.1396263401595463,-0.0349065850398865,6.0,8.0,0.4176991960546747,0.0439019545724144,0.7175164441604035,0.0334321055616641,True,False,0.01753581072096824,34.52590016428348,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.95797916143121,-6.274575368356691,-1.0471975511965987,-0.4188790204786397,33.910781610234615,-6.693454388835331,-305.90964493324134,33.00771468200767,307.6852614145023,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.1570796326794896,-0.0523598775598298,6.0,9.0,0.4176991960546747,0.0439019545724144,0.7172880564810469,0.0282011676995313,True,False,0.019710742595069084,30.676415237135593,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.953199464077635,-6.269795671003116,-1.0471975511965987,-0.20943951023932017,33.90600191288104,-6.479235181242436,-279.56239788935784,36.27833422346656,281.90645939331927,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.1745329251994329,-0.0698131700797731,6.0,10.0,0.4176991960546747,0.0439019545724144,0.716968411132622,0.0229750124491768,True,False,0.021879670386033213,27.595419393311072,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.9465099262258,-6.263106133151281,-1.0471975511965987,-6.661338147750939e-16,33.899312375029204,-6.263106133151282,-258.43951272347545,38.999851204986946,261.3655871203371,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.1919862177193762,-0.0872664625997164,6.0,11.0,0.4176991960546747,0.0439019545724144,0.7165576054821985,0.017755231748117,True,False,0.024041933417444643,25.073323960125194,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.937912585573734,-6.254508792499216,-1.0471975511965987,0.20943951023931917,33.89071503437714,-6.045069282259897,-241.11558413430666,41.32208176070436,244.63082257447905,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.2094395102393195,-0.1047197551196597,6.0,12.0,0.4176991960546747,0.0439019545724144,0.7160557646651567,0.0125434155921184,True,False,0.026196873043037663,22.970403083758388,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.927410060954685,-6.2440062678801675,-1.0471975511965987,0.4188790204786387,33.88021250975809,-5.825127247401529,-226.64033196028154,43.344904360288716,230.74795948191868,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.2268928027592628,-0.122173047639603,6.0,13.0,0.4176991960546747,0.0439019545724144,0.7154630415470713,0.0073411515508702,True,False,0.028343832847326975,21.18992341415761,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.915005551539394,-6.231601758464876,-1.0471975511965987,0.6283185307179582,33.8678080003428,-5.603283227746918,-214.3558607804767,45.13746659884095,219.05667289973294,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1047197551196597,0.2443460952792061,-0.1396263401595463,6.0,14.0,0.4176991960546747,0.0439019545724144,0.7147796166771458,0.0021500242843948,True,False,0.030482158845558126,19.662789639251635,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.900702835861594,-6.217299042787076,-1.0471975511965987,0.8377580409572777,33.853505284665,-5.379541001829798,-203.79223682287363,46.74916050609463,209.08553225246078,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.0872664625997164,0.0349065850398866,7.0,5.0,0.4168693836893552,0.0511851242301619,0.716686631795084,0.0616549732409122,True,False,0.010981623586204916,55.29623765883178,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.90099594630472,-6.274575368356691,-0.7853981633974492,-1.0471975511965985,34.11559778290727,-7.32177291955329,-453.5784561517118,8.581477501282173,453.6596275194381,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.1047197551196597,0.0174532925199432,7.0,6.0,0.4168693836893552,0.0511851242301619,0.7168236922362725,0.0564208461613469,True,False,0.013170586371724325,46.06732014967797,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.90386434721792,-6.277443769269888,-0.7853981633974492,-0.837758040957279,34.11846618382047,-7.115201810227167,-389.7803450313573,16.91731095307103,390.14729626468875,True,
