subject_id,rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid,mass_thigh_kg,mass_shank_kg,com_thigh_m,com_shank_m,k_hip_nm_per_rad,k_knee_nm_per_rad,q0_hip_rad,q0_knee_rad,gravity_m_s2,tau_gravity_hip_nm,tau_gravity_knee_nm,tau_stiffness_hip_nm,tau_stiffness_knee_nm,tau_total_hip_nm,tau_total_knee_nm,fx_robot_on_leg_n,fz_robot_on_leg_n,force_magnitude_n,force_mapping_valid,invalid_reason
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0523598775598298,0.0872664625997164,-0.0349065850398865,3.0,5.0,0.419424404596921,0.0219811016220364,0.7192416527026497,0.0115112526112861,True,False,0.010981623586204916,55.29623765883066,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.07644923202726,-6.274575368356691,-3.6651914291880945,-1.0471975511965985,31.411257802839163,-7.32177291955329,-378.0418064801404,37.622296997315814,379.90925847907704,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0523598775598298,0.1047197551196597,-0.0523598775598298,3.0,6.0,0.419424404596921,0.0219811016220364,0.7190132650232931,0.0062803147491532,True,False,0.013170586371724325,46.06732014967811,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.07166953467368,-6.269795671003116,-3.6651914291880945,-0.837758040957279,31.406478105485586,-7.107553711960396,-326.3792107306441,40.82916875471817,328.9231068477243,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0523598775598298,0.122173047639603,-0.0698131700797731,3.0,7.0,0.419424404596921,0.0219811016220364,0.7186936196748682,0.0010541594987988,True,False,0.015355537269048576,39.473227680032444,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.06497999682185,-6.263106133151281,-3.6651914291880945,-0.6283185307179593,31.399788567633752,-6.89142466386924,-289.4178864593884,43.265579521308865,292.6339409124207,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.0872664625997164,-0.0174532925199432,4.0,5.0,0.4189769011091261,0.0292977189725326,0.7189312096560435,0.0240619970413475,True,False,0.010981623586204916,55.29623765883089,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.04858756843358,-6.277443769269888,-3.1415926535897953,-1.0471975511965985,31.906994914843786,-7.324641320466486,-391.99370829646284,31.26146585893808,393.23828220515605,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.1047197551196597,-0.0349065850398866,4.0,6.0,0.4189769011091261,0.0292977189725326,0.7187941492148548,0.0188278699617823,True,False,0.013170586371724325,46.067320149678224,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.04571916752039,-6.274575368356691,-3.1415926535897953,-0.837758040957279,31.904126513930592,-7.112333409313971,-338.10975814286775,35.529281899000786,339.97137883017035,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.122173047639603,-0.0523598775598298,4.0,7.0,0.4189769011091261,0.0292977189725326,0.7185657615354983,0.0135969320996494,True,False,0.015355537269048576,39.47322768003232,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.04093947016681,-6.269795671003116,-3.1415926535897953,-0.6283185307179593,31.899346816577015,-6.898114201721076,-299.5623139723852,38.72466496931188,302.0549281661786,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.1396263401595463,-0.0698131700797731,4.0,8.0,0.4189769011091261,0.0292977189725326,0.7182461161870735,0.008370776849295,True,False,0.01753581072096824,34.52590016428332,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.03424993231498,-6.263106133151281,-3.1415926535897953,-0.4188790204786397,31.89265727872518,-6.68198515362992,-270.5994436781699,41.24982934461857,273.7254232618797,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0698131700797731,0.1570796326794896,-0.0872664625997164,4.0,9.0,0.4189769011091261,0.0292977189725326,0.7178353105366498,0.0031509961482351,True,False,0.019710742595069084,30.676415237135632,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.02565259166291,-6.254508792499216,-3.1415926535897953,-0.20943951023932017,31.884059938073115,-6.463948302738536,-248.02561742235872,43.32822823895293,251.78173535836362,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.0872664625997164,0.0,5.0,5.0,0.4184017731985331,0.0366054119540164,0.718401773198533,0.0366054119540164,True,False,0.010981623586204916,55.29623765883123,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.01004976554327,-6.2784,-2.617993877991496,-1.0471975511965985,32.39205588755178,-7.325597551196599,-405.6681109834515,24.418658503988667,406.40237099704075,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.0872664625997164,0.1047197551196597,-0.0174532925199433,5.0,6.0,0.4184017731985331,0.0366054119540164,0.7183560817454504,0.0313696900228313,True,False,0.013170586371724325,46.067320149678245,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,35.00909353481316,-6.277443769269888,-2.617993877991496,-0.837758040957279,32.391099656821666,-7.115201810227167,-349.61248326033837,29.823460778361,350.88221280688884,True,
