subject_id,truth_scenario,trial_id,candidate_id,excitation_duration_s,duration_design_status,trajectory_sha256,executed,temporary_parameter_name,rank,minimum_singular_value,condition_number,maximum_abs_parameter_correlation,highest_correlation_pair,weakest_parameter,training_residual_rmse_nm,within_identification_validation_residual_rmse_nm,all_five_parameters_supported,identification_complete,completion_audit_reason,truth_used_for_selection,heldout_test_used_for_selection,mechanical_personalization_j_used_for_selection
baseline,matched_linear,1,ID-G-coupled-neg-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,80eafeaec97df2d48995a6a716b7c2873eb4339c035d7a812a4ffb1056332407,True,theta_hat_ID_1,5,14.824261384348262,35.480856040866044,0.2667203431591236,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.6529922700413285e-09,4.6197995180118834e-09,False,False,minimum_singular_value_insufficient;one_or_more_parameters_unsupported,False,False,False
baseline,matched_linear,2,ID-F-coupled-pos-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,98e2d347db00f25db75a250a43a41e02b48b645aa1386f2533196df299780aa4,True,theta_hat_ID_2,5,20.963690066710956,35.45718964661014,0.2667255437892656,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,4.6525715770933095e-09,4.619364181774119e-09,True,True,,False,False,False
hip_stiff,matched_linear,1,ID-G-coupled-neg-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,80eafeaec97df2d48995a6a716b7c2873eb4339c035d7a812a4ffb1056332407,True,theta_hat_ID_1,5,14.824261389890687,35.48085602747075,0.2667203431678541,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.2967877981505464e-12,1.2880453292605154e-12,False,False,minimum_singular_value_insufficient;one_or_more_parameters_unsupported,False,False,False
hip_stiff,matched_linear,2,ID-F-coupled-pos-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,98e2d347db00f25db75a250a43a41e02b48b645aa1386f2533196df299780aa4,True,theta_hat_ID_2,5,20.96369007201361,35.457189637445374,0.26672554379959795,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.3017056818636558e-12,1.2926694646149652e-12,True,True,,False,False,False
knee_stiff,matched_linear,1,ID-G-coupled-neg-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,80eafeaec97df2d48995a6a716b7c2873eb4339c035d7a812a4ffb1056332407,True,theta_hat_ID_1,5,14.82426138762287,35.480856032927555,0.266720343184137,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,1.4274188803771192e-14,1.4484754298373196e-14,False,False,minimum_singular_value_insufficient;one_or_more_parameters_unsupported,False,False,False
knee_stiff,matched_linear,2,ID-F-coupled-pos-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,98e2d347db00f25db75a250a43a41e02b48b645aa1386f2533196df299780aa4,True,theta_hat_ID_2,5,20.9636900695542,35.457189641617894,0.26672554380596675,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,1.4196604395596046e-14,1.3993993263898572e-14,True,True,,False,False,False
heavy_leg,matched_linear,1,ID-G-coupled-neg-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,80eafeaec97df2d48995a6a716b7c2873eb4339c035d7a812a4ffb1056332407,True,theta_hat_ID_1,5,14.824261386678227,35.480856035146516,0.2667203431454667,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,3.11201964268001e-12,3.0898047299845564e-12,False,False,minimum_singular_value_insufficient;one_or_more_parameters_unsupported,False,False,False
heavy_leg,matched_linear,2,ID-F-coupled-pos-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,98e2d347db00f25db75a250a43a41e02b48b645aa1386f2533196df299780aa4,True,theta_hat_ID_2,5,20.96369006750635,35.45718964510062,0.26672554377636576,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,3.1119958677120134e-12,3.088103921324904e-12,True,True,,False,False,False
baseline,combined_mild,1,ID-G-coupled-neg-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,80eafeaec97df2d48995a6a716b7c2873eb4339c035d7a812a4ffb1056332407,True,theta_hat_ID_1,5,14.824261386539407,35.48085603531165,0.26672034314182624,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,0.4396786222062216,0.43899615368794265,False,False,minimum_singular_value_insufficient;validation_residual_exceeded;one_or_more_parameters_unsupported,False,False,False
baseline,combined_mild,2,ID-F-coupled-pos-d14,14.0,RESEARCH_DESIGN_RANGE_NOT_HUMAN_SAFETY_LIMIT,98e2d347db00f25db75a250a43a41e02b48b645aa1386f2533196df299780aa4,True,theta_hat_ID_2,5,20.963690070357423,35.45718964046848,0.266725543798855,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,0.438952225173672,0.43827067786982166,True,False,validation_residual_exceeded,False,False,False
