subject_id,truth_scenario,trial_id,envelope_id,patient_hip_min_deg,patient_hip_max_deg,patient_knee_min_deg,patient_knee_max_deg,source_status,values_are_clinical_safety_limits,constraint_layer,auto_expand,is_global_model_rom,is_real_robot_hard_safeguard,candidate_within_envelope,constraint_violation_used_to_expand_envelope
baseline,matched_linear,1,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
baseline,matched_linear,2,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
hip_stiff,matched_linear,1,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
hip_stiff,matched_linear,2,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
knee_stiff,matched_linear,1,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
knee_stiff,matched_linear,2,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
heavy_leg,matched_linear,1,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
heavy_leg,matched_linear,2,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
baseline,combined_mild,1,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
baseline,combined_mild,2,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
baseline,combined_mild,3,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
baseline,combined_mild,4,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
baseline,combined_mild,5,VIRTUAL_RESEARCH_ENVELOPE_DEFAULT,20.0,115.0,15.0,135.0,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,1,LIMITED_ROM_VIRTUAL_SUBJECT_SYNTHETIC_FIXTURE,28.7,112.1,18.2,124.9,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
LIMITED_ROM_VIRTUAL_SUBJECT,matched_linear,2,LIMITED_ROM_VIRTUAL_SUBJECT_SYNTHETIC_FIXTURE,28.7,112.1,18.2,124.9,SYNTHETIC_TEST_FIXTURE_NOT_CLINICAL_SAFETY_LIMIT,False,PATIENT_SPECIFIC_OPERATIONAL_ENVELOPE,False,False,False,True,False
