subject_id,truth_scenario,trajectory_id,data_role,used_for_proposal,used_for_parameter_fitting,used_for_ranking,used_for_stopping,valid_samples,actual_J_vs_frozen_reference,prediction_rmse_hip_nm,prediction_rmse_knee_nm,prediction_rmse_combined_nm
baseline,matched_linear,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.00095576851,2.3847443575e-08,2.20151640869e-10,1.68634076006e-08
baseline,matched_linear,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,1.19304187841e-08,2.19969170407e-10,8.43751381631e-09
baseline,matched_linear,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.0011579096,2.64955774047e-08,2.20086177972e-10,1.87358487923e-08
baseline,matched_linear,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00033271928,1.58948275893e-08,2.19550794596e-10,1.12404125068e-08
hip_stiff,matched_linear,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.00035291104,1.70169583341e-15,2.10211096843e-12,1.48641740762e-12
hip_stiff,matched_linear,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,1.37424335927e-15,1.05192400214e-12,7.43823229948e-13
hip_stiff,matched_linear,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.00039818543,1.66429135733e-15,2.33529539656e-12,1.65130363033e-12
hip_stiff,matched_linear,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00023114833,1.5466598721e-15,1.39619673466e-12,9.87260784702e-13
knee_stiff,matched_linear,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.00060262954,1.71908634774e-14,1.74112258836e-15,1.221796413e-14
knee_stiff,matched_linear,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,9.01326259456e-15,2.08650167387e-15,6.54188015151e-15
knee_stiff,matched_linear,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.00070575008,1.93389457824e-14,2.21590083427e-15,1.37641752474e-14
knee_stiff,matched_linear,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00019275722,1.17776744874e-14,1.89478293589e-15,8.43515911841e-15
heavy_leg,matched_linear,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.00131403063,6.11183739991e-12,3.74937149133e-14,4.32180299074e-12
heavy_leg,matched_linear,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,3.05831507537e-12,3.74242545923e-14,2.16271723476e-12
heavy_leg,matched_linear,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.00160168084,6.79113812585e-12,3.74286764252e-14,4.80213275276e-12
heavy_leg,matched_linear,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00040197738,4.07279802371e-12,3.7499249918e-14,2.88002516792e-12
baseline,combined_mild,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.00066197387,1.66788589574,1.48639213976,1.5797475992
baseline,combined_mild,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,1.66867386986,1.48746191879,1.58066685987
baseline,combined_mild,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.00078385503,1.66755159906,1.48603079846,1.57940113168
baseline,combined_mild,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00023043617,1.66854095893,1.49008495351,1.58183154923
hip_stiff,combined_mild,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.00016288642,1.72358545018,1.48565912137,1.60902607638
hip_stiff,combined_mild,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,1.72442373348,1.48672956845,1.60996925783
hip_stiff,combined_mild,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.00015788709,1.72324770834,1.4852987732,1.60867882282
hip_stiff,combined_mild,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00015696273,1.72428557952,1.48934693796,1.61110444437
knee_stiff,combined_mild,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.00043436175,1.89209230516,1.66022141462,1.77993657708
knee_stiff,combined_mild,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,1.89318654914,1.6615357034,1.78113112986
knee_stiff,combined_mild,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.00049065058,1.89169671402,1.65981006309,1.77953447612
knee_stiff,combined_mild,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00013951657,1.89294259629,1.66422506231,1.78225653749
heavy_leg,combined_mild,heldout_active_reference_nominal,held_out_final_test_only,False,False,False,False,401,1.000975094,1.6514319756,1.48601626282,1.5709029097
heavy_leg,combined_mild,heldout_active_reference_slow,held_out_final_test_only,False,False,False,False,401,1,1.65213293084,1.48708630438,1.57177748073
heavy_leg,combined_mild,heldout_boundary_speed_plus_10pct,held_out_final_test_only,False,False,False,False,401,1.00117162372,1.65112211952,1.48565539881,1.57056935816
heavy_leg,combined_mild,heldout_knee_phase_delay_2pct_intermediate,held_out_final_test_only,False,False,False,False,401,1.00029509683,1.65203580358,1.4897066736,1.57296666679
