subject_id,truth_scenario,iteration,alpha_hip,alpha_knee,alpha_phase,time_scale,parent_reference_id,parent_reference_sha256,trajectory_id,trajectory_feasible,invalid_reason,domain_coverage,trajectory_sha256,reference_deviation,combined_peak_ratio,combined_torque_rate_ratio,mechanical_cost_j_rms,hip_rms_ratio,knee_rms_ratio,hip_peak_ratio,knee_peak_ratio,hip_torque_rate_ratio,knee_torque_rate_ratio,reference_deviation_definition,hip_rms_torque_nm,knee_rms_torque_nm,hip_peak_abs_torque_nm,knee_peak_abs_torque_nm,hip_rms_torque_rate_nm_s,knee_rms_torque_rate_nm_s,reference_hip_rms_torque_nm,reference_knee_rms_torque_nm,reference_hip_peak_abs_torque_nm,reference_knee_peak_abs_torque_nm,reference_hip_rms_torque_rate_nm_s,reference_knee_rms_torque_rate_nm_s,deterministic_rank,mechanically_equivalent_to_minimum,proposed_for_execution
baseline,matched_linear,1,0,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.00000,True,,99.7506234414,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,0,1,1,1,1,1,1,1,1,1,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0318613639,12.3590762995,36.7217569799,17.9359611004,1.91187424495,2.63423471681,30.0318613639,12.3590762995,36.7217569799,17.9359611004,1.91187424495,2.63423471681,3,False,False
baseline,matched_linear,1,1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+1.000_k+0.000_p+0.00000,False,domain_coverage_insufficient,81.7955112219,cb9899a7f1438e33da040300144c74a17ef135c12f8ba2e709e8fd84196a7f82,,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,matched_linear,1,-1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h-1.000_k+0.000_p+0.00000,True,,99.7506234414,7aeaadd85997c9fd9cb282f5595360e5346d2922a64e587007b79390007adcd6,0.467274409324,1.00076735068,0.99700947023,1.00196621019,1.00252842698,1.00140367775,0.999996444319,1.00153766367,0.992443438576,1.00155468582,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.1077947325,12.3764244599,36.721626409,17.9635405761,1.89742704978,2.63833012417,30.0318613639,12.3590762995,36.7217569799,17.9359611004,1.91187424495,2.63423471681,5,False,False
baseline,matched_linear,1,0,1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+1.000_p+0.00000,False,domain_coverage_insufficient,81.2967581047,7b4b75794b39570c6114a71d7d5564b4c586973c370612e91c76d6dedcfb7164,,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,matched_linear,1,0,-1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k-1.000_p+0.00000,True,,99.7506234414,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,0.467274409324,0.99352288116,0.996574931082,0.994087351107,1.00034444918,0.987790618636,1.00000058368,0.987002666362,1.00283518122,0.99027510614,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0422058137,12.2081796236,36.7217784138,17.7028414299,1.91729475489,2.60861706378,30.0318613639,12.3590762995,36.7217569799,17.9359611004,1.91187424495,2.63423471681,1,True,True
baseline,matched_linear,1,0,0,0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.01000,True,,99.5012468828,b95f62c0235fed33f3d5e62264fd19f5463e3d706f212810a5914f84ca3f737c,0.351342066625,1.00001550743,1.00687426011,0.999907964001,1.00007019885,0.999745702828,0.999991496497,1.00003951778,1.01093440763,1.00279767391,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0339695659,12.3559334213,36.7214447163,17.9366698898,1.93277945729,2.64160444656,30.0318613639,12.3590762995,36.7217569799,17.9359611004,1.91187424495,2.63423471681,2,False,False
baseline,matched_linear,1,0,0,-0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p-0.01000,True,,99.7506234414,328fdf1633e441e03afc11e246c786f9359c1b8df11ac69c35c6e22d0a463813,0.354238952104,1.00002440513,1.00288580556,1.00009504195,0.999901902094,1.00028814451,1.00000856603,1.00004024399,1.00723210314,0.998520589876,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0289153012,12.3626374994,36.7220715396,17.936682915,1.92570111668,2.6303376033,30.0318613639,12.3590762995,36.7217569799,17.9359611004,1.91187424495,2.63423471681,4,False,False
hip_stiff,matched_linear,1,0,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.00000,True,,99.7506234414,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,0,1,1,1,1,1,1,1,1,1,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,3,False,False
hip_stiff,matched_linear,1,1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+1.000_k+0.000_p+0.00000,False,domain_coverage_insufficient,81.7955112219,cb9899a7f1438e33da040300144c74a17ef135c12f8ba2e709e8fd84196a7f82,,,,,,,,,,,,,,,,,,,,,,,,,,False
hip_stiff,matched_linear,1,-1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h-1.000_k+0.000_p+0.00000,True,,99.7506234414,7aeaadd85997c9fd9cb282f5595360e5346d2922a64e587007b79390007adcd6,0.467274409324,0.999995342835,1.00690174407,1.0002896589,0.999174397988,1.00140367775,0.998450639562,1.00153766367,1.01222055685,1.00155468582,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.3188632451,12.3764244598,48.6771605341,17.963540576,0.960263723187,2.63833012411,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,5,False,False
hip_stiff,matched_linear,1,0,1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+1.000_p+0.00000,False,domain_coverage_insufficient,81.2967581047,7b4b75794b39570c6114a71d7d5564b4c586973c370612e91c76d6dedcfb7164,,,,,,,,,,,,,,,,,,,,,,,,,,False
hip_stiff,matched_linear,1,0,-1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k-1.000_p+0.00000,True,,99.7506234414,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,0.467274409324,0.993744380615,1.00456362386,0.994055761441,1.00028166405,0.987790618637,1.00044066521,0.987002666363,1.0186517378,0.99027510614,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.3701929284,12.2081796236,48.7741796494,17.7028414298,0.966364794456,2.60861706373,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,1,True,True
hip_stiff,matched_linear,1,0,0,0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.01000,True,,99.5012468828,b95f62c0235fed33f3d5e62264fd19f5463e3d706f212810a5914f84ca3f737c,0.351342066625,1.00002642852,1.01946019247,0.999892301276,1.00003887824,0.999745702828,1.00001333908,1.00003951778,1.03585471629,1.00279767391,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.3589380733,12.3559334213,48.7533463486,17.9366698897,0.982684751667,2.6416044465,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,2,False,False
