subject_id,truth_scenario,trial_id,model_update_success,model_update_error,adaptation_trial_count,mass_scale_hat,K_hip_hat,K_knee_hat,B_hip_hat,B_knee_hat,parameter_delta_mass_scale,parameter_delta_k_hip_nm_per_rad,parameter_delta_k_knee_nm_per_rad,parameter_delta_b_hip_nm_s_per_rad,parameter_delta_b_knee_nm_s_per_rad
baseline,matched_linear,0,True,,1,1.00000000007,15.0000000001,12.0000000003,2.00000007308,1.49999999997,0,0,0,0,0
baseline,matched_linear,1,True,,2,1.00000000007,15.0000000001,12.0000000003,2.00000007308,1.49999999997,0,0,0,0,0
hip_stiff,matched_linear,0,True,,1,1,30,12,2,1.5,0,0,0,0,0
hip_stiff,matched_linear,1,True,,2,1,30,12,2,1.5,0,0,0,0,0
knee_stiff,matched_linear,0,True,,1,1,15,30,2,1.5,0,0,0,0,0
heavy_leg,matched_linear,0,True,,1,1.3,15,12,2.00000000002,1.5,0,0,0,0,0
heavy_leg,matched_linear,1,True,,2,1.3,15,12,2.00000000002,1.5,0,0,0,0,0
baseline,combined_mild,0,True,,1,0.998685623046,15.2370795492,12.1771643428,2.04714068959,1.52591561239,-0.00131437702402,0.237079549152,0.177164342504,0.0471406165163,0.0259156124173
baseline,combined_mild,1,True,,2,0.99747824762,15.4254697958,12.3069909747,2.08461157034,1.54505147373,-0.00120737542538,0.188390246568,0.129826631982,0.0374708807476,0.0191358613396
hip_stiff,combined_mild,0,True,,1,0.999402152197,30.1960827319,12.1798139186,2.03804179052,1.52562110531,-0.000597847802716,0.196082731874,0.179813918635,0.0380417905172,0.0256211053122
hip_stiff,combined_mild,1,True,,2,0.998295419543,30.3775449256,12.3100172392,2.07387876617,1.54470246691,-0.00110673265416,0.181462193747,0.130203320564,0.0358369756528,0.0190813615977
knee_stiff,combined_mild,0,True,,1,0.998483555843,15.2379647116,30.1808639423,2.04639062775,1.52680359702,-0.00151644415739,0.237964711606,0.180863942329,0.0463906277522,0.0268035970229
heavy_leg,combined_mild,0,True,,1,1.29886027958,15.2480555462,12.177831876,2.0515423616,1.52584773818,-0.00113972041721,0.248055546202,0.17783187605,0.0515423615841,0.0258477381829
heavy_leg,combined_mild,1,True,,2,1.29786209197,15.4383241038,12.3084357402,2.09072215485,1.54489155176,-0.000998187612043,0.190268557586,0.130603864129,0.0391797932475,0.019043813579
