subject_id,truth_scenario,iteration,trial_id,executed,trajectory_id,trajectory_sha256,parent_reference_sha256,alpha_current_hip,alpha_current_knee,alpha_current_phase,step_hip,step_knee,step_phase,step_hip_after,step_knee_after,step_phase_after,proposed_alpha_hip,proposed_alpha_knee,proposed_alpha_phase,best_alpha_after_hip,best_alpha_after_knee,best_alpha_after_phase,best_accepted_trajectory_id_after,predicted_J,actual_J,best_J_before,best_J_after,predicted_improvement,actual_improvement,prediction_error,accepted,rejection_reason,trajectory_feasible,domain_coverage,hip_rms_torque,knee_rms_torque,hip_peak_torque,knee_peak_torque,torque_rate,torque_rate_ratio,combined_peak_ratio,predicted_hip_rms_torque,predicted_knee_rms_torque,predicted_hip_peak_torque,predicted_knee_peak_torque,reference_deviation,model_update_success,stop_reason,mass_scale_hat,K_hip_hat,K_knee_hat,B_hip_hat,B_knee_hat,mass_scale_hat_after_update,K_hip_hat_after_update,K_knee_hat_after_update,B_hip_hat_after_update,B_knee_hat_after_update,parameter_delta_mass_scale,parameter_delta_k_hip_nm_per_rad,parameter_delta_k_knee_nm_per_rad,parameter_delta_b_hip_nm_s_per_rad,parameter_delta_b_knee_nm_s_per_rad
baseline,matched_linear,0,0,True,asym_h+0.000_k+0.000_p+0.00000,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,0,0,0,0,0,asym_h+0.000_k+0.000_p+0.00000,1,1,1,1,0,0,0,True,,True,99.7506234414,30.0318613626,12.3590762994,36.7217569687,17.9359611003,2.30157073188,1,1,30.0318613639,12.3590762995,36.7217569799,17.9359611004,0,True,,1.00000000007,15.0000000001,12.0000000003,2.00000007308,1.49999999997,1.00000000007,15.0000000001,12.0000000003,2.00000007308,1.49999999997,0,0,0,0,0
baseline,matched_linear,1,1,True,asym_h+0.000_k-1.000_p+0.00000,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,-1,0,0,-1,0,asym_h+0.000_k-1.000_p+0.00000,0.994087351107,0.994087351107,1,0.994087351107,0.00591264889316,0.005912648893,1.6364687383e-13,True,,True,99.7506234414,30.0422058125,12.2081796236,36.7217784026,17.7028414298,2.28920315379,0.996574931087,0.99352288116,30.0422058137,12.2081796236,36.7217784138,17.7028414299,0.467274409324,True,STOP_MODEL_RELIABILITY_REQUIRES_THRESHOLD,1.00000000007,15.0000000001,12.0000000003,2.00000007308,1.49999999997,1.00000000007,15.0000000001,12.0000000003,2.00000007308,1.49999999997,0,0,0,0,0
hip_stiff,matched_linear,0,0,True,asym_h+0.000_k+0.000_p+0.00000,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,0,0,0,0,0,asym_h+0.000_k+0.000_p+0.00000,1,1,1,1,0,0,0,True,,True,99.7506234414,46.3571357897,12.3590762994,48.7526960326,17.9359611003,1.9797939477,1,1,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0,True,,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0
hip_stiff,matched_linear,1,1,True,asym_h+0.000_k-1.000_p+0.00000,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,-1,0,0,-1,0,asym_h+0.000_k-1.000_p+0.00000,0.994055761441,0.994055761441,1,0.994055761441,0.00594423855895,0.00594423855895,1.11022302463e-16,True,,True,99.7506234414,46.3701929284,12.2081796236,48.7741796494,17.7028414298,1.96707192308,1.00456362386,0.993744380615,46.3701929284,12.2081796236,48.7741796494,17.7028414298,0.467274409324,True,STOP_MODEL_RELIABILITY_REQUIRES_THRESHOLD,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0
knee_stiff,matched_linear,0,0,True,asym_h+0.000_k+0.000_p+0.00000,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,0,0,0,0,0,asym_h+0.000_k+0.000_p+0.00000,1,1,1,1,0,0,0,True,,True,99.7506234414,30.0318613626,37.9385181736,36.7217569687,53.99168542,4.79698483896,1,1,30.0318613626,37.9385181736,36.7217569687,53.99168542,0,True,STOP_PREDICTED_IMPROVEMENT_BELOW_TOLERANCE,1,15,30,2,1.5,1,15,30,2,1.5,0,0,0,0,0
heavy_leg,matched_linear,0,0,True,asym_h+0.000_k+0.000_p+0.00000,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,0,0,0,0,0,asym_h+0.000_k+0.000_p+0.00000,1,1,1,1,0,0,0,True,,True,99.7506234414,34.7561086427,11.1388386375,45.9911516448,16.1063856469,2.91697734218,1,1,34.7561086427,11.1388386375,45.9911516448,16.1063856469,0,True,,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0
heavy_leg,matched_linear,1,1,True,asym_h+0.000_k-1.000_p+0.00000,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,-1,0,0,-1,0,asym_h+0.000_k-1.000_p+0.00000,0.993329429486,0.993329429486,1,0.993329429486,0.00667057051426,0.00667057051426,0,True,,True,99.7506234414,34.767929653,10.9858902762,45.9926928253,15.8660628595,2.90749013437,0.995725980197,0.992584437369,34.767929653,10.9858902762,45.9926928253,15.8660628595,0.467274409324,True,STOP_MODEL_RELIABILITY_REQUIRES_THRESHOLD,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0
baseline,combined_mild,0,0,True,asym_h+0.000_k+0.000_p+0.00000,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,0,0,0,0,0,asym_h+0.000_k+0.000_p+0.00000,1,1,1,1,0,0,0,True,,True,99.7506234414,31.6293995083,14.2488113478,37.3357044424,21.0325963962,2.39830996077,1,1,30.0318613639,12.3590762995,36.7217569799,17.9359611004,0,True,,1.00000000007,15.0000000001,12.0000000003,2.00000007308,1.49999999997,0.998685623046,15.2370795492,12.1771643428,2.04714068959,1.52591561239,-0.00131437702402,0.237079549152,0.177164342504,0.0471406165163,0.0259156124173
baseline,combined_mild,1,1,True,asym_h+0.000_k-1.000_p+0.00000,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,-1,0,0,-1,0,asym_h+0.000_k-1.000_p+0.00000,0.994127934436,0.993146983275,1,0.993146983275,0.00587206556439,0.00685301672549,-0.000980951161101,True,,True,99.7506234414,31.6442239996,14.0460634922,37.3361204145,20.7111195436,2.37834744779,0.99602473465,0.9923926924,30.2579320919,12.4583074596,36.7959985679,18.0626341885,0.467274409324,True,STOP_MODEL_RELIABILITY_REQUIRES_THRESHOLD,0.998685623046,15.2370795492,12.1771643428,2.04714068959,1.52591561239,0.99747824762,15.4254697958,12.3069909747,2.08461157034,1.54505147373,-0.00120737542538,0.188390246568,0.129826631982,0.0374708807476,0.0191358613396
hip_stiff,combined_mild,0,0,True,asym_h+0.000_k+0.000_p+0.00000,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,0,0,0,1,1,0.01,1,1,0.01,0,0,0,0,0,0,asym_h+0.000_k+0.000_p+0.00000,1,1,1,1,0,0,0,True,,True,99.7506234414,48.2576408507,14.2488113478,52.2996996668,21.0325963962,2.27193446139,1,1,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0,True,,1,30,12,2,1.5,0.999402152197,30.1960827319,12.1798139186,2.03804179052,1.52562110531,-0.000597847802716,0.196082731874,0.179813918635,0.0380417905172,0.0256211053122
