case_id,subject_id,scenario_name,iteration,best_alpha_hip,best_alpha_knee,best_alpha_phase,best_actual_J,best_changed_this_iteration,consecutive_trials_without_best_change,six_trial_best_equals_extended_final_best,extended_natural_stop_reason
baseline__matched_linear,baseline,matched_linear,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,1,0,0,0,1,False,1,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,2,0,-1,0,0.994087351107,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,3,0,-2,0,0.988257209561,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,4,0,-3,0,0.982504282239,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,5,0,-4,0,0.976828248108,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,6,0,-5,0,0.971228759614,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,7,0,-5,0,0.971228759614,False,1,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,8,0,-5,0,0.971228759614,False,2,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,9,0,-5,0,0.971228759614,False,3,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,10,0,-5,0,0.971228759614,False,4,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,11,0,-5,0,0.971228759614,False,5,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,12,0,-5,0,0.971228759614,False,6,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
baseline__matched_linear,baseline,matched_linear,13,0,-5,0,0.971228759614,False,7,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,0,0,0,0,1,False,,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,1,0,0,0,1,False,1,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,2,0,-1,0,0.994055761441,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,3,0,-2,0,0.988193617024,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,4,0,-3,0,0.982409765163,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,5,0,-4,0,0.976703932761,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,6,0,-5,0,0.971075819116,True,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,7,0,-5,0,0.971075819116,False,1,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,8,0,-5,0,0.971075819116,False,2,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,9,0,-5,0,0.971075819116,False,3,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,10,0,-5,0,0.971075819116,False,4,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,11,0,-5,0,0.971075819116,False,5,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
hip_stiff__matched_linear,hip_stiff,matched_linear,12,0,-5,0,0.971075819116,False,6,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER
