case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration,distance_to_hip_lower_bound,distance_to_hip_upper_bound,distance_to_knee_lower_bound,distance_to_knee_upper_bound,distance_to_phase_lower_bound,distance_to_phase_upper_bound,distance_to_parameter_bounds_formal_steps,on_generator_parameter_boundary,distance_to_joint_corridor_boundary_deg,distance_to_pull_corridor_boundary_mm,on_joint_corridor_boundary,on_pull_corridor_boundary,outside_joint_corridor,outside_pull_corridor,J_actual,exploit_monotonic_march_toward_boundary,final_best_on_generator_boundary,final_best_on_joint_corridor_boundary,final_best_on_pull_corridor_boundary,final_optimum_diagnostic_status,boundary_is_error_claim
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.99951047583,0.999510094092,1,1,-0.000489524170139,-0.000489905908342,NEUTRAL,NEUTRAL,1.7386980744e-11,-0.00451047584725,False,78.0548628429,5.83095189485,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5.25,1.75,5,2,0.03,0.03,7,False,-0.25,-1.19321590839,True,True,True,True,0.999510094092,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.994092004847,0.994087351107,1,0.994087351107,-0.00590799515335,-0.005912648893,IMPROVE,IMPROVE,1.7386980744e-11,0.000907995135958,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,4,3,0.03,0.03,8,False,-1.27222187259e-14,4.04036248902e-08,True,True,False,False,0.994087351107,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988261894968,0.988257209561,0.994087351107,0.988257209561,-0.00583010987863,-0.00583014154556,IMPROVE,IMPROVE,1.7386980744e-11,0.000830109861245,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,3,4,0.03,0.03,8,False,-1.27222187259e-14,3.51607631899e-08,True,True,False,False,0.988257209561,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.982508999748,0.982504282239,0.988257209561,0.982504282239,-0.00575289522019,-0.00575292732249,IMPROVE,IMPROVE,1.7386980744e-11,0.000752895202806,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,2,5,0.03,0.03,8,False,-1.27222187259e-14,2.92237345434e-08,True,True,False,False,0.982504282239,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.976832998152,0.976828248108,0.982504282239,0.976828248108,-0.00567600159601,-0.00567603413118,IMPROVE,IMPROVE,1.7386980744e-11,0.000676001578627,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,1,6,0.03,0.03,4,False,-1.27222187259e-14,1.66358038456e-08,True,True,False,False,0.976828248108,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.971233542623,0.971228759614,0.976828248108,0.971228759614,-0.0055994555285,-0.00559948849373,IMPROVE,IMPROVE,1.7386980744e-11,0.000599455511108,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,,5,2,0,7,0.03,0.03,0,True,-1.27222187259e-14,-5.55111512313e-14,True,True,False,False,0.971228759614,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,1,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999028756608,0.999028374935,0.971228759614,0.971228759614,0.0277952139849,0.027799615321,WORSE,WORSE,1.7386980744e-11,-0.0327952140023,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.027799615321,,5.5,1.5,5,2,0.03,0.03,6,False,-0.5,-2.66865353592,True,True,True,True,0.999028374935,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,1,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.998550239698,0.998549858084,0.971228759614,0.971228759614,0.0273166970742,0.0273210984702,WORSE,WORSE,1.7386980744e-11,-0.0323166970916,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0551207137913,,5.75,1.25,5,2,0.03,0.03,5,False,-0.75,-4.15303368406,True,True,True,True,0.998549858084,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,1,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.998074939614,0.998074558055,0.971228759614,0.971228759614,0.0268413969907,0.0268457984414,WORSE,WORSE,1.7386980744e-11,-0.0318413970081,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.0819665122326,,6,1,5,2,0.03,0.03,4,False,-1,-5.64241538859,True,True,True,True,0.998074558055,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,1,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.997602870784,0.997602489275,0.971228759614,0.971228759614,0.0263693281611,0.0263737296612,WORSE,WORSE,1.7386980744e-11,-0.0313693281785,False,86.0349127182,1,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0.108340241894,,6.25,0.75,5,2,0.03,0.03,3,False,-1.25,-7.13548657239,True,True,True,True,0.997602489275,True,True,True,True,BOUNDARY_OPTIMUM_DIAGNOSTIC,False
