case_id,subject_id,scenario_name,policy_id,iteration,trajectory_id,incremental_log_information_gain,new_supported_point_count,parameter_uncertainty_trace_change,validation_e_delta_J_change,actual_J,accepted_as_best,later_enabled_reliable_exploit,truth_used_for_ranking,enabled_exploit_within_1_round,enabled_exploit_within_2_rounds,parameter_change_l2,prediction_map_RMS_change,prediction_map_max_abs_change,information_gain_observed,decision_value_observed_within_2_rounds,exploration_decision_value_status,new_stop_threshold_created
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,asym_h+0.250_k+0.000_p+0.00000,1.86854077195,4450,-0.000636382438143,0,0.999510094092,False,True,False,True,True,0,0,0,True,True,DECISION_VALUE_OBSERVED,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,asym_h+0.500_k+0.000_p+0.00000,0.560015947566,550,-0.00013526953344,0,0.999028374935,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,asym_h+0.750_k+0.000_p+0.00000,0.503674225549,550,-0.000113899013428,0,0.998549858084,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,asym_h+1.000_k+0.000_p+0.00000,0.45789598458,550,-9.72235654734e-05,0,0.998074558055,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,asym_h+1.250_k+0.000_p+0.00000,0.419934400545,550,-8.39608872572e-05,0,0.997602489275,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,asym_h+1.500_k+0.000_p+0.00000,0.387926374787,550,-7.3238731363e-05,0,0.997133666081,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,asym_h+1.750_k+0.000_p+0.00000,0.360561521225,550,-6.44469149304e-05,0,0.996668102718,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,asym_h+2.000_k+0.000_p+0.00000,0.336890230185,550,-5.71481449676e-05,0,0.996205813345,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,asym_h+0.250_k+0.000_p+0.00000,1.86854077184,4450,-0.000636382437791,0,0.999930463492,False,True,False,True,True,0,0,0,True,True,DECISION_VALUE_OBSERVED,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,asym_h+0.500_k+0.000_p+0.00000,0.560015947591,550,-0.000135269533438,0,0.999867433694,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,asym_h+0.750_k+0.000_p+0.00000,0.503674225558,550,-0.000113899013404,0,0.999807364527,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,asym_h+1.000_k+0.000_p+0.00000,0.45789598451,550,-9.72235653953e-05,0,0.99975026634,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,asym_h+1.250_k+0.000_p+0.00000,0.419934400524,550,-8.39608872233e-05,0,0.999696149472,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,asym_h+1.500_k+0.000_p+0.00000,0.387926374753,550,-7.32387313274e-05,0,0.999645024248,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,asym_h+1.750_k+0.000_p+0.00000,0.360561521162,550,-6.44469148783e-05,0,0.999596900981,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,asym_h+2.000_k+0.000_p+0.00000,0.336890230122,550,-5.7148144925e-05,0,0.999551789972,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,asym_h+0.250_k+0.000_p+0.00000,1.86854077175,4450,-0.000636382437673,0,0.999624243777,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,asym_h+0.500_k+0.000_p+0.00000,1.31547778803,550,-0.000442868416539,0,0.999254254544,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,asym_h+0.750_k+0.000_p+0.00000,1.02569758574,550,-0.000326430789857,0,0.998885642027,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,asym_h+1.000_k+0.000_p+0.00000,0.844550356014,550,-0.000250677810757,0,0.998518418444,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,asym_h+1.250_k+0.000_p+0.00000,0.719639008175,550,-0.000198582369602,0,0.998152595928,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,asym_h+1.500_k+0.000_p+0.00000,0.627903553845,550,-0.00016120821037,0,0.997788186528,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,asym_h+1.750_k+0.000_p+0.00000,0.557494372698,550,-0.000133481244326,0,0.997425202209,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
knee_stiff__matched_linear,knee_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,asym_h+2.000_k+0.000_p+0.00000,0.501656455078,550,-0.000112342275655,0,0.997063654849,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,asym_h+0.250_k+0.000_p+0.00000,1.86854077191,4450,-0.000636382438035,0,0.99934768035,False,True,False,True,True,0,0,0,True,True,DECISION_VALUE_OBSERVED,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,asym_h+0.500_k+0.000_p+0.00000,0.560015947538,550,-0.000135269533414,0,0.998706043352,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,asym_h+0.750_k+0.000_p+0.00000,0.503674225538,550,-0.00011389901341,0,0.998069276508,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,asym_h+1.000_k+0.000_p+0.00000,0.457895984579,550,-9.72235654676e-05,0,0.997437395699,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,asym_h+1.250_k+0.000_p+0.00000,0.419934400543,550,-8.39608872506e-05,0,0.996810416661,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,asym_h+1.500_k+0.000_p+0.00000,0.387926374763,550,-7.32387313432e-05,0,0.996188354986,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,asym_h+1.750_k+0.000_p+0.00000,0.36056152123,550,-6.44469149309e-05,0,0.995571226126,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,asym_h+2.000_k+0.000_p+0.00000,0.336890230175,550,-5.71481449612e-05,0,0.994959045386,False,False,False,False,False,0,0,0,True,False,INFORMATIVE_BUT_LOW_DECISION_VALUE,False
