case_id,subject_id,scenario_name,policy_id,iteration,model_update_count,model_update_success,within_trial_model_fixed,updates_this_trial,mass_scale_before,k_hip_nm_per_rad_before,k_knee_nm_per_rad_before,b_hip_nm_s_per_rad_before,b_knee_nm_s_per_rad_before,mass_scale_after,k_hip_nm_per_rad_after,k_knee_nm_per_rad_after,b_hip_nm_s_per_rad_after,b_knee_nm_s_per_rad_after,mass_scale_delta,k_hip_nm_per_rad_delta,k_knee_nm_per_rad_delta,b_hip_nm_s_per_rad_delta,b_knee_nm_s_per_rad_delta,uncertainty_trace_before,uncertainty_trace_after,parameter_interpretation
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00353884789436,0.00353884789436,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00353884789436,0.00290246545622,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00290246545622,0.00246472233275,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,3,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00246472233275,0.00214369969446,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,4,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00214369969446,0.00189811776118,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,5,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00189811776118,0.00170415912597,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,6,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00170415912597,0.00154709169317,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,7,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00154709169317,0.00141182215973,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,8,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00141182215973,0.0012979231463,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,9,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.0012979231463,0.00120069958083,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,10,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00120069958083,0.00111673869357,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,11,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00111673869357,0.00104349996221,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,12,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.00104349996221,0.000979053047278,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,13,True,True,1,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,1.00000000003,14.9999999998,12.0000000001,2.00000002369,1.49999999999,0,0,0,0,0,0.000979053047278,0.000921904902311,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00353884789317,0.00353884789317,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00353884789317,0.00290246545538,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00290246545538,0.00246472233203,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,3,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00246472233203,0.00214369969388,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,4,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00214369969388,0.00189811776073,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
hip_stiff__matched_linear,hip_stiff,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,5,True,True,1,1,30,12,2,1.5,1,30,12,2,1.5,0,0,0,0,0,0.00189811776073,0.00170415912558,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
