case_id,subject_id,scenario_name,offline_research_budget,budget_status,executed_trials,EXPLORE_count,EXPLOIT_count,final_best_J,final_alpha_hip,final_alpha_knee,final_alpha_phase,cumulative_regret,natural_stop_observed_within_horizon,stop_reason,human_trial_recommendation
baseline__matched_linear,baseline,matched_linear,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,3,1,2,0.988257209561,0,-2,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_3,False
baseline__matched_linear,baseline,matched_linear,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,6,1,5,0.971228759614,0,-5,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_6,False
baseline__matched_linear,baseline,matched_linear,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,12,7,5,0.971228759614,0,-5,0,0.159684491465,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_12,False
baseline__matched_linear,baseline,matched_linear,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,13,8,5,0.971228759614,0,-5,0,0.184661545196,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
hip_stiff__matched_linear,hip_stiff,matched_linear,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,3,1,2,0.988193617024,0,-2,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_3,False
hip_stiff__matched_linear,hip_stiff,matched_linear,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,6,1,5,0.971075819116,0,-5,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_6,False
hip_stiff__matched_linear,hip_stiff,matched_linear,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,12,7,5,0.971075819116,0,-5,0,0.171908224564,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_12,False
hip_stiff__matched_linear,hip_stiff,matched_linear,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,13,8,5,0.971075819116,0,-5,0,0.20038419542,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
knee_stiff__matched_linear,knee_stiff,matched_linear,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,3,3,0,1,0,0,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_3,False
knee_stiff__matched_linear,knee_stiff,matched_linear,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,6,6,0,1,0,0,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_6,False
knee_stiff__matched_linear,knee_stiff,matched_linear,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,8,8,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
knee_stiff__matched_linear,knee_stiff,matched_linear,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,8,8,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
heavy_leg__matched_linear,heavy_leg,matched_linear,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,3,1,2,0.986776387938,0,-2,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_3,False
heavy_leg__matched_linear,heavy_leg,matched_linear,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,6,1,5,0.967782002335,0,-5,0,0,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_6,False
heavy_leg__matched_linear,heavy_leg,matched_linear,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,12,7,5,0.967782002335,0,-5,0,0.176090699323,False,DIAGNOSTIC_BUDGET_TRUNCATION_AT_12,False
heavy_leg__matched_linear,heavy_leg,matched_linear,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,13,8,5,0.967782002335,0,-5,0,0.203267742374,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,6,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,12,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,20,OFFLINE_VIRTUAL_DIAGNOSTIC_CAP_NOT_HUMAN_THRESHOLD,0,0,0,1,0,0,0,0,True,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,False
