model,selected_by,beta_flex,beta_extend,E2,E3,E3_improvement_pct
LEG_0_NOMINAL,E2,0.0,0.0,1.0,1.0,0.0
LEG_0_NOMINAL,E3,-0.03,0.03,1.0007454122563846,0.9942937692319592,0.5706230768040776
LEG_1_HEAVY_HIP_STIFF,E2,0.0,0.0,1.0,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,E3,-0.03,0.03,1.0002542737484206,0.9943055034855116,0.569449651448839
LEG_2_KNEE_DOMINANT,E2,0.0,0.0,1.0,1.0,0.0
LEG_2_KNEE_DOMINANT,E3,-0.03,0.03,1.0070249119037034,0.9970805252931008,0.2919474706899239
LEG_3_NONLINEAR_COUPLED,E2,0.0,0.0,1.0,1.0,0.0
LEG_3_NONLINEAR_COUPLED,E3,-0.03,0.03,1.0007281969888686,0.9948059637669912,0.5194036233008847
LEG_4_STRONG_STRUCTURAL_MISMATCH,E2,-0.03,0.0225,0.9992936589002313,0.9960646018977192,0.39353981022808293
LEG_4_STRONG_STRUCTURAL_MISMATCH,E3,-0.03,0.03,0.9992936589002313,0.9954003557433764,0.4599644256623625
MYOLEG_NATIVE_P0,E2,0.03,-0.03,0.998879915009168,0.9944341603350352,0.5565839664964822
MYOLEG_NATIVE_P0,E3,0.03,-0.03,0.998879915009168,0.9944341603350352,0.5565839664964822
