model,family,tier,feasible_count,best_E3,improvement_pct,E2,parameter_flex,parameter_extend,share_shift,boundary
LEG_0_NOMINAL,BETA_TIMING,0.0,16,0.9858631791723752,1.4136820827624796,0.9999734934710722,-0.12,0.03,0.05,True
LEG_0_NOMINAL,BETA_TIMING,0.01,109,0.9780171668108556,2.19828331891444,1.0018539002898708,-0.12,0.12,0.0,True
LEG_0_NOMINAL,BETA_TIMING,0.02,168,0.9780171668108556,2.19828331891444,1.0018539002898708,-0.12,0.12,0.0,True
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.0,11,0.9910673397813752,0.8932660218624822,0.9998994830531492,-0.03,0.06,0.05,False
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,104,0.9790644161499702,2.0935583850029804,1.000868792415246,-0.12,0.12,0.0,True
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,162,0.9790644161499702,2.0935583850029804,1.000868792415246,-0.12,0.12,0.0,True
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,3,0.9993687954642728,0.06312045357271812,0.9997407148863044,0.0,0.0,0.1,False
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,36,0.9953067180277868,0.46932819722131924,1.0078821190541944,-0.06,0.03,0.05,False
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,126,0.9912851082819892,0.8714891718010764,1.0173614354666665,-0.12,0.06,0.05,True
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,3,0.9998072233543724,0.019277664562755703,0.9999413368563548,0.0,0.0,0.1,False
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,114,0.9811210808844276,1.887891911557238,1.0028974175266907,-0.12,0.12,0.0,True
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.02,168,0.9811210808844276,1.887891911557238,1.0028974175266907,-0.12,0.12,0.0,True
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,0.0,69,0.9818514687311912,1.8148531268808776,0.9967000196638984,-0.12,0.12,0.0,True
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,0.01,126,0.9818514687311912,1.8148531268808776,0.9967000196638984,-0.12,0.12,0.0,True
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,0.02,200,0.9818514687311912,1.8148531268808776,0.9967000196638984,-0.12,0.12,0.0,True
MYOLEG_NATIVE_P0,BETA_TIMING,0.0,77,0.976183271441628,2.3816728558372025,0.9966352036107472,0.12,-0.12,-0.1,True
MYOLEG_NATIVE_P0,BETA_TIMING,0.01,144,0.976183271441628,2.3816728558372025,0.9966352036107472,0.12,-0.12,-0.1,True
MYOLEG_NATIVE_P0,BETA_TIMING,0.02,189,0.976183271441628,2.3816728558372025,0.9966352036107472,0.12,-0.12,-0.1,True
LEG_0_NOMINAL,KEY_POSTURE_TIMING,0.0,27,0.9756318980405726,2.43681019594274,0.999621396894376,-0.12,-0.09,0.1,True
LEG_0_NOMINAL,KEY_POSTURE_TIMING,0.01,125,0.9743427545055032,2.565724549449677,1.0006885787403113,-0.12,-0.12,0.05,True
LEG_0_NOMINAL,KEY_POSTURE_TIMING,0.02,174,0.9743427545055032,2.565724549449677,1.0006885787403113,-0.12,-0.12,0.05,True
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,0.0,21,0.981496929075323,1.8503070924676956,0.9999749379365336,-0.06,-0.09,0.1,False
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,0.01,120,0.9720814797057832,2.791852029421682,1.0004968902826847,-0.12,-0.12,0.05,True
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,0.02,145,0.9720814797057832,2.791852029421682,1.0004968902826847,-0.12,-0.12,0.05,True
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,0.0,3,0.9993687954642728,0.06312045357271812,0.9997407148863044,0.0,0.0,0.1,False
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,0.01,28,0.9909795719641454,0.9020428035854566,1.0085356262190046,-0.06,-0.03,0.1,False
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,0.02,125,0.98317109501262,1.682890498737999,1.0176232256344988,-0.12,-0.09,0.1,True
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,0.0,3,0.9998072233543724,0.019277664562755703,0.9999413368563548,0.0,0.0,0.1,False
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,0.01,120,0.9739378030329088,2.6062196967091222,1.0036279463913862,-0.12,-0.12,0.05,True
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,0.02,145,0.9739378030329088,2.6062196967091222,1.0036279463913862,-0.12,-0.12,0.05,True
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,0.0,102,0.978170261389997,2.1829738610003036,0.9964993090929178,-0.12,-0.12,0.05,True
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,0.01,135,0.978170261389997,2.1829738610003036,0.9964993090929178,-0.12,-0.12,0.05,True
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,0.02,198,0.978170261389997,2.1829738610003036,0.9964993090929178,-0.12,-0.12,0.05,True
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,0.0,93,0.9701556486606172,2.984435133938279,0.9954072015814512,0.12,0.12,-0.1,True
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,0.01,135,0.9701556486606172,2.984435133938279,0.9954072015814512,0.12,0.12,-0.1,True
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,0.02,192,0.9701556486606172,2.984435133938279,0.9954072015814512,0.12,0.12,-0.1,True
