model,family,tier,method,seed,trial_index,candidate_id,parameter_flex,parameter_extend,share_shift,E3,E2,peak_ratio,feasible,best_E3,best_candidate_id,next_selection
LEG_0_NOMINAL,BETA_TIMING,0.0,REFERENCE,0,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,0,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:35', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,0,1,BETA_TIMING:35,-0.12,0.12,0.0,0.9780171668108555,1.0018539002898708,1.0003461138286633,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:220', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,0,2,BETA_TIMING:220,0.06,-0.09,-0.05,1.016906066357771,1.0522555010572325,1.001135481924644,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:2', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,0,3,BETA_TIMING:2,-0.12,-0.12,0.0,1.0066404137255536,1.0696737903128073,1.0000972178548873,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,1,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:14', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,1,1,BETA_TIMING:14,-0.12,-0.03,0.0,0.994136457842514,1.0159773057335362,1.0000972178548873,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:311', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,1,2,BETA_TIMING:311,0.12,0.03,-0.05,1.005132406878267,1.032904077364609,1.0010746419187448,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:5', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,1,3,BETA_TIMING:5,-0.12,-0.09,0.0,1.002318757358581,1.0510319012876717,1.0000972178548873,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,2,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:218', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,2,1,BETA_TIMING:218,0.06,-0.12,0.0,1.0203003258500623,1.0696737903128073,1.0000224224659369,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:169', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,2,2,BETA_TIMING:169,0.0,0.03,0.05,0.9954974364913016,0.9997070741991981,1.000390989348886,True,0.9954974364913016,BETA_TIMING:169,"{'candidate_id': 'BETA_TIMING:147', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,2,3,BETA_TIMING:147,0.0,-0.09,-0.1,1.0138072029520866,1.0532564849932589,1.002742722844487,False,0.9954974364913016,BETA_TIMING:169,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,3,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:126', 'acquisition_value': None, 'metadata': {}}"
