profile_id,scenario,split,arm,budget,gate_status,gate_evidence_score,gate_interaction_score,recommendation_mode,recommendation_id,recommendation_value,common_id,common_value,oracle_id,oracle_value,common_regret,personalized_regret,improvement_over_common,executed_trials,termination
CTRL_COMMON_DEV_00,COMMON_OPTIMUM,DEVELOPMENT,COMMON,8,PERSONALIZATION_INACTIVE,0.30853753960615016,0.0,COMMON_POLICY,grid:202,1.0,grid:202,1.0,grid:202,1.0,0.0,0.0,0.0,4,RECOMMENDATION_ALREADY_OBSERVED
CTRL_COMMON_DEV_01,COMMON_OPTIMUM,DEVELOPMENT,COMMON,8,PERSONALIZATION_INACTIVE,0.30853753960615016,0.0,COMMON_POLICY,grid:202,1.0,grid:202,1.0,grid:202,1.0,0.0,0.0,0.0,4,RECOMMENDATION_ALREADY_OBSERVED
CTRL_COMMON_DEV_02,COMMON_OPTIMUM,DEVELOPMENT,COMMON,8,PERSONALIZATION_INACTIVE,0.30853753960615016,0.0,COMMON_POLICY,grid:202,1.0,grid:202,1.0,grid:202,1.0,0.0,0.0,0.0,4,RECOMMENDATION_ALREADY_OBSERVED
CTRL_COMMON_DEV_03,COMMON_OPTIMUM,DEVELOPMENT,COMMON,8,PERSONALIZATION_INACTIVE,0.30853753960615016,0.0,COMMON_POLICY,grid:202,1.0,grid:202,1.0,grid:202,1.0,0.0,0.0,0.0,4,RECOMMENDATION_ALREADY_OBSERVED
CTRL_DIVERGENT_A_DEV_00,DIVERGENT_OPTIMA,DEVELOPMENT,A,8,PERSONALIZATION_ACTIVE,1.0,0.12144249781931203,PERSONALIZED_OBSERVED,grid:166,0.8121490235380282,grid:202,1.0,grid:080,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
CTRL_DIVERGENT_A_DEV_01,DIVERGENT_OPTIMA,DEVELOPMENT,A,8,PERSONALIZATION_ACTIVE,1.0,0.12144249781931203,PERSONALIZED_OBSERVED,grid:166,0.8121490235380282,grid:202,1.0,grid:080,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
CTRL_DIVERGENT_A_DEV_02,DIVERGENT_OPTIMA,DEVELOPMENT,A,8,PERSONALIZATION_ACTIVE,1.0,0.12144249781931203,PERSONALIZED_OBSERVED,grid:166,0.8121490235380282,grid:202,1.0,grid:080,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
CTRL_DIVERGENT_A_DEV_03,DIVERGENT_OPTIMA,DEVELOPMENT,A,8,PERSONALIZATION_ACTIVE,1.0,0.12144249781931203,PERSONALIZED_OBSERVED,grid:166,0.8121490235380282,grid:202,1.0,grid:080,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
CTRL_DIVERGENT_B_DEV_00,DIVERGENT_OPTIMA,DEVELOPMENT,B,8,PERSONALIZATION_ACTIVE,1.0,0.12459222888252548,PERSONALIZED_OBSERVED,grid:288,0.8121490235380282,grid:202,1.0,grid:324,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
CTRL_DIVERGENT_B_DEV_01,DIVERGENT_OPTIMA,DEVELOPMENT,B,8,PERSONALIZATION_ACTIVE,1.0,0.12459222888252548,PERSONALIZED_OBSERVED,grid:288,0.8121490235380282,grid:202,1.0,grid:324,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
CTRL_DIVERGENT_B_DEV_02,DIVERGENT_OPTIMA,DEVELOPMENT,B,8,PERSONALIZATION_ACTIVE,1.0,0.12459222888252548,PERSONALIZED_OBSERVED,grid:288,0.8121490235380282,grid:202,1.0,grid:324,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
CTRL_DIVERGENT_B_DEV_03,DIVERGENT_OPTIMA,DEVELOPMENT,B,8,PERSONALIZATION_ACTIVE,1.0,0.12459222888252548,PERSONALIZED_OBSERVED,grid:288,0.8121490235380282,grid:202,1.0,grid:324,0.7430882169641645,0.2569117830358355,0.06906080657386371,0.1878509764619718,8,BUDGET_EXHAUSTED
